feature	X1552	X16971	X1545	X8007	X6952	X13165	X6956	X1543	X1564	X9450	X6939	X1536	X8163	X9467	X8059	X2043	X17130	X16988	X17153	X8071	X6936	X8095	X17167	X2492	X8235	X2479	X8047	X16987	X1468	X9712	X15878	X1522	X2502	X1395	X15888	X8245	X8255	X8130	X5989	X2524	X8249	X7285	X1525	X7298	X19351	X8053	X9422	X9649	X6001
SRR1803914	2195	8102	207	1320	1525	3111	39302	0	0	39892	704	1422	3746	3907	9847	15336	691	2122	1131	865	1034	2797	1752	0	0	284	3136	2331	0	20189	881	0	0	0	663	0	1552	1564	14029	222	0	1117	0	6291	396	0	0	4074	908
SRR1031089	0	0	0	0	0	0	0	0	0	684	0	0	16310	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	38945	493	0	0	0	0	0	0	0	0	307	0	3200	0	0	0	0	0	16750	0
SRR1031159	0	5667	0	1547	0	0	0	0	0	0	6316	0	38174	866	7254	0	0	4540	0	1414	0	6042	0	0	0	274	848	2233	0	23811	12231	0	0	0	0	0	709	14872	62	499	0	5693	0	0	0	836	528	5067	401
SRR1031145	0	2804	0	0	0	421	0	0	0	0	2957	0	21413	1477	0	559	0	6220	0	0	0	0	0	0	0	0	3417	0	0	37260	7062	0	0	2799	792	227	0	1802	0	0	258	0	0	0	0	0	4415	3688	158
SRR1031106	0	0	106	0	256	0	350	1608	856	0	574	60	36693	48	0	0	0	437	0	0	217	58	334	0	0	0	138	0	0	2051	7058	0	0	0	0	452	0	2783	0	226	0	2643	0	0	0	0	0	19110	0
SRR1803305	4199	30206	0	7015	2691	350	20386	0	0	260	591	2679	34840	0	1802	5879	943	0	0	8624	0	13216	5391	58	0	0	933	1315	0	8593	4301	0	0	309	0	1839	10347	3022	0	0	0	8553	0	3473	0	0	0	31022	279
SRR1803835	0	614	0	1124	0	0	0	0	0	0	19910	0	14746	0	0	0	0	20095	197	388	0	112	0	0	0	512	15748	0	0	3776	34829	0	0	0	0	0	0	20021	0	0	72	1161	0	0	0	8919	663	0	0
SRR1803995	0	896	0	201	0	0	0	0	0	1353	0	0	34209	0	0	1666	0	863	0	0	0	0	0	0	0	0	0	0	0	3752	0	0	0	0	0	369	0	1445	0	0	0	11515	0	0	0	654	0	18934	0
SRR1804622	1300	11513	0	566	367	0	2068	0	0	764	3624	533	21755	0	1413	4321	0	1133	338	3539	100	8490	0	0	0	0	0	0	668	32748	2487	0	0	0	0	0	1436	3045	3733	644	0	6458	0	0	0	0	0	0	0
SRR1568918	213	0	0	0	0	5876	59	0	0	702	630	0	11518	28419	0	2627	0	0	97	0	0	0	0	0	0	0	1128	289	0	967	621	0	263	0	0	0	0	1180	595	2992	0	31066	0	0	0	0	0	0	150
SRR549652	0	30633	0	0	0	1656	1192	0	0	2329	0	0	15193	0	20755	137	0	922	0	0	0	1848	0	0	0	0	322	2671	0	9625	1442	0	0	0	0	0	0	2286	896	157	0	1843	0	0	0	0	0	7048	0
SRR549713	0	131	0	0	0	0	1236	0	0	0	0	0	30047	0	0	0	0	433	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	2071	0	0	0	0	0	28512	0
SRR1568944	202	797	0	0	0	741	3074	0	421	3811	0	611	30003	0	722	2739	0	846	0	0	0	171	0	274	0	21	0	182	0	12221	0	0	0	0	0	0	0	1068	4528	589	0	1142	0	76	0	0	0	22885	885
SRR549458	0	11453	0	0	0	0	0	0	0	0	126	0	23273	0	0	0	0	29039	0	0	0	0	0	0	0	0	1568	0	0	213	13748	0	0	0	0	0	0	7436	0	0	747	3472	0	0	0	0	0	0	0
