feature	X1552	X16971	X1545	X8007	X6952	X13165	X6956	X1543	X1564	X9450	X6939	X1536	X8163	X9467	X8059	X2043	X17130	X16988	X17153	X8071	X6936	X8095	X17167	X2492	X8235	X2479	X8047	X16987	X1468	X9712	X15878	X1522	X2502	X1395	X15888	X8245	X8255	X8130	X5989	X2524	X8249	X7285	X1525	X7298	X19351	X8053	X9422	X9649	X6001
01-2020-10-OR	0	0	0	0	0	5049.64708512205	85449.4967685497	0	10062.8784460726	3271.34588807787	15840.8400146257	48445.0517228897	209341.859687536	46508.9490544354	1845.06335802537	13692.312288504	0	0	0	0	0	0	0	125852.742736888	811311.988105397	11646.9624475351	0	0	0	88380.9625643598	0	0	22486.7096759341	202720.267175675	0	441892.674247075	473.404414230192	20222.8654899359	0	2743.31788759035	0	0	7088.92763872903	0	0	0	0	127588.558922399	0
01-2020-44-OR	83828.0600301345	49367.3208938289	26509.9118245377	84998.7339901494	91841.3232864366	244530.376767915	0	2148.18671662737	1334.568314417	0	30332.1623039864	1765.76655635583	86296.2309624993	81439.8851517041	0	4694.4025796598	7322.56561989328	1904.29630829093	0	20845.8009813322	24467.0857643117	8998.5805059813	169507.736040359	1824.30025435657	0	563.87462407385	58348.34129041	0	1465.29357328533	15349.4867390622	54379.7565659594	304.375229603877	67387.8953849918	7156.7201422245	2300.3743314293	154.13873806863	7474.75323469522	25526.5456981252	364.860050871315	2091.60414189331	11283.3458512771	1371.63965648414	6598.69888795073	429.247118672135	0	0	481.927446872806	5024.14241173067	3022.28994010517
01-2020-28-OR	0	55619.2628620505	0	3567.5415900697	0	0	0	0	0	0	10358.335515553	0	0	0	0	0	0	53082.4399145094	0	9826.21304705825	0	0	0	0	0	1611.41125556281	1644.50772573574	6477.88184384825	0	0	4543.24272373937	0	0	0	0	0	291.850691524979	9354.26597887794	0	0	386.841859164185	0	6664.42558482298	0	0	16.763147230448	0	0	521.376861295729
01-2020-50-OR	77485.3426245254	15987.2756462889	55054.9396258143	3628.09995816876	75479.8424196354	4049.99952985158	5048.61336198598	40138.3670942162	21125.7051635911	0	27324.2016719283	3444.92227298435	16085.3643422264	13350.6987711507	444.353610511875	4736.62040141381	3818.36839245709	22553.3093165123	0	0	5391.33290200844	81.5436146949983	12873.2549981539	4976.52407942953	0	10857.118669608	0	0	1101.42969414114	6592.03308360435	19259.6563577447	2022.04528613249	1624.96333631337	510.533935481728	0	0	1740.77890501061	0	0	0	0	0	0	0	631.076670248247	0	640.531002386798	0	0
01-2020-56-OR	3577.03864837565	386.035726647041	0	6578.40998508467	10956.8678320551	414.254712513053	0	12421.9975782184	0	176.086471803914	133169.909339448	0	0	20625.8211491853	0	0	0	59008.1569646999	0	0	0	2027.25194461429	0	10710.7982753034	0	7599.93727343429	15986.619872813	0	0	2720.31023748354	45358.0691215927	617.431410748338	0	322.825198307175	0	0	258.485910532668	1090.3816138627	0	0	2625.49444497374	0	3642.5066955848	0	0	0	4147.06216286909	540.675769192786	0
02-2020-50-OR	160171.930270099	132027.480731167	38122.0042925144	0	144671.696451283	0	0	3631.9552192338	16263.357298827	659.190617995002	22170.4455797369	30795.4493892697	0	153963.00956799	0	0	744.614888145542	17761.1295021331	0	41396.6013149518	408.612758886751	0	0	12527.4692175767	28961.6750567048	24357.3068955907	28.4747567168467	0	6086.47924822599	28655.5714219987	0	7997.1354239264	2663.81349086101	1492.07725196277	0	0	4141.65336446536	8597.95279065187	995.192747253793	0	9688.5359729071	0	0	6974.89165779161	109.62781335986	0	0	9909.21533746266	0
02-2020-08-OR	0	0	0	0	0	24297.5472894073	0	0	0	0	38.9430286464637	0	0	0	0	0	0	642.92279591491	0	0	0	0	0	4943.34581644583	234.141936209794	0	0	3096.57548280763	0	0	0	0	905.123063323399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01-2020-08-OR	8670.82671317136	3598.75287130691	251.849738556844	8559.29325752475	9036.00883407878	0	0	23403.1369553948	0	0	82758.723553131	0	0	0	0	0	0	736.66048527877	0	20344.9615586331	0	0	194.284084029566	0	1098.24475277824	0	8097.86855795454	0	88.1474084948955	36.8779974315379	0	1215.17498853677	0	0	0	0	545.974254657159	0	0	0	0	0	493.805380241813	0	0	0	0	0	0
GBM.BM.270.Or	3917.99027027801	43692.9037579393	0	8418.32028831462	6528.75187740976	0	0	27724.2292242068	0	0	6975.93389586084	551.190114832265	458.797135813447	0	0	0	0	6421.04806186782	0	9378.15135035012	1040.08096381184	0	0	0	0	0	5020.37049994254	0	0	3373.13567400703	8852.83126964313	2238.54989165594	0	0	0	0	888.556478220979	0	0	0	0	0	0	0	0	33809.4948023262	0	0	0
01-2020-41-OR	7101.08476343658	11015.3077701183	0	2520.44070139739	11709.8299339635	0	0	11059.2565967648	742.882211010172	0	12559.7250871799	0	0	0	0	0	382.305778263427	4814.76550659111	0	1098.39390908762	2162.47832525415	0	7668.82518201154	0	0	31.5320577798468	0	0	0	0	5403.09162091872	3000.93698083018	74.6639917377719	792.876043552313	0	0	136.58445753343	0	0	0	0	0	844.340282933928	0	0	4107.33643826605	0	0	41.8249056561698
02-2020-13-OR	8263.7127959179	0	0	0	0	0	12362.7966904153	0	0	0	340773.532916717	17460.1814595874	4315.88660970453	1053.76203437879	66079.4508256864	0	0	1915.93097159781	4305.8027624856	0	0	19804.67593799	0	10280.4822397051	24276.862179588	0	85379.9344027296	0	0	120093.578453916	357.976576272222	0	0	0	0	0	0	0	3393.2145891719	0	0	0	0	0	0	0	0	0	0
01-2020-19-OR	29984.3472485339	8380.41402995808	0	0	33038.9778493255	0	0	1207.86156580921	3185.21022952775	0	16807.4636416076	0	51553.3037808412	0	0	0	37.3084653531801	146249.184184466	0	2072.95160618607	0	1520.31996314209	1070.28659981935	10929.0485693972	0	7097.93553344251	8991.3401501164	3096.60262431395	1625.25002194791	991.006110943846	61584.6174026775	0	4999.33435732613	2574.28410936943	5684.87740819082	0	1373.41788081394	0	0	0	0	0	9107.92910434509	349.766862686063	620.253236496619	0	0	0	0
02-2020-29-OR	152261.106916601	0	69584.9193472235	2669.2237461154	27260.9564904771	77120.4464857543	1773.22301123847	24369.0738791079	777.964709923082	0	10140.3675983078	0	3278.18232940002	273.628966938463	0	0	7929.8747673539	8093.51562013082	0	0	27703.591584054	16795.9898235463	9939.16982850006	18046.0986332847	27212.6690257233	0	0	62280.0989847389	0	5915.21443234619	0	7390.66474426928	35944.6522353772	47246.601624708	5072.86643608465	0	139.497120400001	0	0	0	0	0	0	0	0	0	0	0	0
GBM.BM.282.Or	0	1210.73628700588	0	6920.85522481204	0	83204.5902366041	0	0	0	874.522720204548	112760.151160828	0	0	104441.161923252	0	0	0	14187.1101794528	0	0	0	0	0	19792.506858747	0	0	0	156.164771465098	0	439.098592707746	15629.3377747481	0	8109.54472055225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20518.2137379084	0
02-2020-51-OR	3751.72663050479	2653.7731022974	26680.1782372485	11395.7771419672	1345.84868032161	707.61116181858	0	2152.43290660371	0	0	55680.211106969	1513.2704061898	0	0	0	0	0	1795.38988900636	0	0	296.919193390542	0	23.124547771849	1270.00016362995	4180.91823715031	0	0	0	0	471.74077454572	3581.52995890398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14447.2924659404	0	0	0
01.2020.141.Or	1538.96946892355	0	0	0	1243.82463926698	0	0	0	0	0	34131.3913724278	0	305227.187855376	27759.4253178779	0	0	0	2930.36652301882	0	0	0	0	0	1470.45370489613	56209.2787194167	0	0	0	0	0	0	0	2113.44779807652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
