"","Gene","Subset","Contrast","log2FC","Pr(>|t|)","FDR"
"High...Low.3933","SRSF2","Glioma","High - Low",0.679536163442262,0.000179860527428508,0.00275884224906173
"High...Low.3934","SGTA","Glioma","High - Low",0.94282314747978,0.0168716806106416,0.0440865667363283
"High...Low.3935","SH3BGRL","Glioma","High - Low",0.752848840543858,0.061885364557115,0.115250599276186
"High...Low.3936","SH3BP2","Glioma","High - Low",0.325382466506383,0.337490539592343,0.433330175075715
"High...Low.3937","ITSN1","Glioma","High - Low",0.310758863236283,0.160490261242863,0.240882563126324
"High...Low.3938","SH3GL2","Glioma","High - Low",-0.38062621001616,0.528607260905709,0.618993335208312
"High...Low.3939","SIAH1","Glioma","High - Low",1.15834673418008,0.00609711954691409,0.0222321591053448
"High...Low.3940","ST6GAL1","Glioma","High - Low",0.290490090856457,0.50924152953294,0.600829752000749
"High...Low.3941","ST3GAL1","Glioma","High - Low",-0.140400664829381,0.703725330652013,0.771675695465829
"High...Low.3942","SKI","Glioma","High - Low",0.603406609822808,0.00997028580627843,0.0308923148006176
"High...Low.3943","SLC1A4","Glioma","High - Low",0.339868766744185,0.461102301043697,0.555597085659903
"High...Low.3944","SLC2A5","Glioma","High - Low",-0.318937178217415,0.435549846623412,0.530618691076196
"High...Low.3945","SLC6A1","Glioma","High - Low",1.00170857808533,0.206410398003512,0.293329471614715
"High...Low.3946","SLC7A1","Glioma","High - Low",1.61846849240904,0.00685414042322411,0.0239647836319617
"High...Low.3947","SLC9A1","Glioma","High - Low",0.226573855168268,0.712275502808573,0.779159184108225
"High...Low.3948","SLC16A1","Glioma","High - Low",0.776953202640753,0.0130331439101416,0.0366791160696525
"High...Low.3949","SLC22A1","Glioma","High - Low",0.27974843424218,0.62930608618294,0.706458667050705
"High...Low.3950","SLC22A4","Glioma","High - Low",0.296330160364487,0.495076305952142,0.587664685897683
"High...Low.3951","SLIT1","Glioma","High - Low",0.731581436914289,0.13890848880731,0.215225151158788
"High...Low.3952","SLPI","Glioma","High - Low",0.859204750480084,0.199221662403314,0.285218505085173
"High...Low.3953","SNAI2","Glioma","High - Low",0.620951348905043,0.390067082734647,0.486385904326013
"High...Low.3954","SMARCA1","Glioma","High - Low",1.24644894272796,0.0100256257121797,0.031005088114143
"High...Low.3955","SMARCA4","Glioma","High - Low",1.55347033111637,0.0103683162685178,0.0316463247599002
"High...Low.3956","SMARCB1","Glioma","High - Low",0.653109636565734,0.00145524099275375,0.00901794867918485
"High...Low.3957","SMARCC1","Glioma","High - Low",1.09456695380399,0.000777828783301549,0.00629863332625262
"High...Low.3958","SMARCD1","Glioma","High - Low",1.75442079953053,2.15020987126035e-05,0.000993677236353672
"High...Low.3959","SMARCE1","Glioma","High - Low",0.967919900887337,0.00035091748673108,0.00398864025282705
"High...Low.3960","SNAP25","Glioma","High - Low",-0.1019703844268,0.920084543378113,0.942616932242627
"High...Low.3961","SNAPC1","Glioma","High - Low",1.37527213291375,0.0222759327849865,0.0537660947256429
