feature	X1525	X1522	X1568	X1552	X1545	X1543	X1540	X1564	X1561	X1536	X1466	X1468	X2016	X2043	X2532	X2492	X2502	X2497	X2483	X2479	X9712	X9418	X13165	X9467	X9450	X9447	X19351	X8007	X8095	X8163	X8130	X8047	X8071	X8249	X8255	X8235	X8236	X4482	X5273	X6936	X6956	X6952	X6939	X5868	X14348	X969	X17008	X17130	X15888	X15878	X17167	X17151	X15892	X16971	X16988	X16987
01-2020-28-OR	15256.3601148534	0	0	0	0	0	4241.86832990215	0	2379.2246860829	0	0	0	0	0	0	0	0	0	0	3688.88062370753	0	0	0	0	0	0	0	8166.90028721592	0	0	21414.0061386362	3764.64584323953	22494.3984898847	885.567501023414	668.111481327664	0	0	0	0	0	0	0	23712.5457857369	0	0	0	0	0	0	10400.498317575	0	0	0	127324.927369366	121517.572490433	14829.3197865821
01-2020-29-OR	2443.0010862948	0	99.1727141949289	11467.7180780333	0	0	2810.35916845348	0	0	0	0	0	0	0	0	603.417077918441	213.710215096114	6270.22977494417	733.319365525883	0	2510.04742828574	0	44362.3296173372	0	0	0	0	1597.93781745069	0	4557.7544565923	0	0	0	0	0	0	34743.9731392206	0	0	0	0	409.262045903016	15834.1111001932	0	829.698482137856	0	703.986590904848	0	53993.2572845771	21608.4773041627	0	0	6345.65690968397	0	63534.7898291625	1183.08857638176
01-2020-41-OR	8592.26895835454	30538.4667622013	8068.55287439911	72262.8440413935	0	112542.429965166	76316.2402721343	7559.80010712811	22533.0923360254	0	0	0	0	0	0	0	759.803969421057	18010.8455158388	209.486433582173	320.880013344123	0	0	0	0	0	0	0	25648.7873878745	0	0	0	0	11177.5975632774	0	1389.92586091029	0	0	6986.20630089121	3642.73631729001	22006.0510705845	0	119162.86630266	127811.663346267	6608.79820229476	3441.56283742142	257.701565120928	0	3890.46233795465	0	54983.5384523497	78040.3468723304	0	1406.55176833745	112095.193055375	48996.5491878305	0
01-2020-42-OR	3002.45934244432	0	3700.94814780463	50786.3912733246	40116.1928809921	0	0	2872.14426681739	3492.44402680155	0	0	0	0	0	0	41216.0521192834	0	30134.0580879698	57463.7357484482	1370.91459559524	36665.4496783912	0	0	326434.051842418	42159.5332668223	0	0	0	0	1394751.82922891	0	0	0	0	2491.62424598678	27897.8513902118	16153.8567747134	0	0	0	0	0	60768.526066347	0	0	0	0	0	0	0	0	0	14345.0835250117	41033.6110134057	8465.26731272495	0
01-2020-44-OR	13028.661845533	600.967252484669	14130.4351417549	165512.54510097	52341.9362789051	4241.44195503603	10543.8933977599	2635.01026089432	12308.2716133879	3486.3805352476	19061.4484954753	2893.11799112812	7943.5543245089	9268.76416332125	4129.7236837408	3601.95116072542	133052.608758433	2426.98313503424	0	1113.33035876968	30306.4703544673	29451.2477259314	482807.844996145	160797.263581475	0	704.980815414708	0	167823.957610527	17767.0574901237	170385.773141952	50400.3497708778	115204.651830475	41158.5520868347	22278.1642379413	14758.3688735177	0	0	600.967252484669	0	48308.5214497292	0	181334.163728884	59888.6981226069	2195.8418840786	3197.45397155305	758.913773971025	265.812438598988	14457.8852472754	4541.92558127837	107368.963423078	334680.974321222	51945.143798098	0	97472.2655279943	3759.89768221178	0
01-2020-46-OR	0	0	0	5185.26274368519	0	0	0	0	0	19902.7867898494	57085.7909911023	0	0	25183.851154665	0	4311.0729508699	0	0	0	3760.21362936986	35207.0957654375	0	101202.437521671	0	41158.7714781663	7759.93131156582	0	0	4826.00666444603	64318.8133864507	0	0	0	0	0	0	40440.2593196879	0	0	0	51888.5530447758	6203.15496819614	13040.9956763815	0	0	0	0	0	0	0	0	0	0	0	0	0
01-2020-49-OR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22624.5716512035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197450.807137776	3262.47741678797	0	0	0	0	0	0	0	0	0	0	0	96101.2369510368	194968.487364133	0
01-2020-50-OR	0	3287.01735504704	829.91905165419	125959.427177682	89496.7799545419	65248.543218479	4368.6016746797	34341.7429800239	30562.9217425151	5600.03248974992	0	1790.47350958728	8662.28010164061	7699.80453479165	0	8089.78964471249	2641.524759316	4964.14543859821	0	17649.2276100626	10715.9455327016	2055.58653997681	6583.6402546734	21702.7674225403	0	0	1025.87216107254	5897.80437170918	132.556515194767	26148.2134538546	0	0	0	0	2829.79343307089	0	0	7050.46972122889	130887.071546879	8764.09887418152	8206.97728858033	122699.305347457	44417.959243742	4541.50147710765	0	731.942496945015	0	6207.10290716363	0	31308.3120018712	20926.6394205303	0	839.524596233521	25988.7614138377	36662.4425503902	0
01-2020-52-OR	1740.23038530863	0	0	0	0	0	14088.8517566829	0	0	0	0	0	4445.77090757349	0	0	0	0	0	0	0	0	0	8747.91435532304	0	0	0	0	2962.73388055423	0	0	0	320.65665449065	0	0	0	0	0	0	0	0	0	0	12953.1927720285	0	0	0	0	0	0	0	0	0	0	0	4362.26657046655	1643.36535426458
01-2020-58-OR	197.95151441603	14893.3865463126	3966.61463753195	270801.463895735	0	0	2308.67589993255	25127.7073720977	2681.82588113059	10445.1657338604	0	13096.6542181456	339.020409746994	33188.3537139121	0	2631.76917633573	0	0	422.448251071758	3185.42666876371	10112.9712384036	0	9308.27178708023	6602.93442339448	70438.8848654191	1821.00224564325	4672.7175491079	708.378216339357	0	693.209517916673	1550.99941371947	2480.84062703002	9807.32196518654	270.761266844915	10068.9820129778	924.532168862609	2301.84998564234	9308.27178708023	23202.0411073379	219044.348007694	178596.255228685	0	2443.67731589444	8640.84905648212	321.576406560907	22678.7210117553	430.791035204235	61163.9842148688	0	1808.10885198397	48913.743368709	0	0	121444.391746616	4963.95655882344	7057.23694115388
