feature	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1564	X1561	X1536	X1411	X1468	X2016	X2043	X2048	X2524	X2492	X2502	X2497	X2483	X2479	X9712	X9649	X9418	X13165	X9422	X9467	X9450	X9447	X19351	X19300	X5989	X6001	X6067	X8007	X8095	X8163	X8130	X8047	X8053	X8031	X8028	X8071	X8059	X8249	X8255	X8235	X8236	X7285	X7298	X4303	X4482	X4494	X5266	X5265	X5273	X4498	X3934	X3922	X6936	X6956	X6952	X6939	X5868	X19882	X19831	X19850	X14348	X969	X17008	X17007	X16955	X17130	X15888	X15878	X15873	X15877	X17167	X17153	X17151	X17137	X15892	X15494	X16971	X16988	X16987
GBM-BM-394-Or	64	0	0	0	0	0	0	0	351	0	2446	0	2106	0	13433	0	3534	0	910	0	0	482	63978	49512	376	17902	0	43229	7672	0	0	0	0	0	0	0	59938	133181	3217	347	0	0	0	0	51091	1330	15371	7625	5728	78399	12571	312	0	1132	1272	0	0	0	0	0	0	12495	0	16684	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	167301	197	302
GBM-BM-404-Or	7945	5545	97	0	50414	3730	91752	6217	0	3288	4489	943	28917	422	3481	0	27	0	0	0	0	0	333	0	0	438	0	0	0	0	198	0	0	552	0	27628	1970	49520	2365	1270	26148	0	374	17266	847	5778	3038	1160	0	164	138	0	0	0	0	136	0	1007	0	563	16089	0	17683	35132	6051	0	0	0	0	3892	2484	0	5122	408	3613	163234	0	0	0	0	5015	14226	0	1024	24353	33146	0
GBM-BM-292-Or	0	1097	0	0	19787	17088	0	0	3808	0	0	0	0	0	0	0	1393	3166	0	547	0	0	0	0	0	0	0	0	2985	0	7722	194	16878	1290	3536	2566	0	12020	3637	0	0	0	0	0	37284	0	2410	0	0	10778	37057	0	0	1385	671	22	5408	1383	461	494	6357	4289	17015	1734	1067	0	0	160	0	0	198	0	0	0	0	288	0	5785	1031	0	0	0	0	0	153775	9667	0
GBM-BM-384-Or-PreOp	3906	12781	1760	2658	150047	0	32359	0	28621	789	3651	505	11039	0	0	613	178	624	0	62	0	0	39088	0	438	0	2400	0	0	0	4225	64	4026	2314	0	58259	4103	24772	34545	15286	14672	3982	2736	17377	0	0	1212	346	0	6714	7150	1902	1367	50	2646	0	433	228	5624	4748	71275	19793	77139	82364	13557	209	0	3119	208	8666	675	4251	0	8915	0	29107	4424	3393	30445	12988	236	0	0	0	33078	13018	1108
GBM-BM-351-Or	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2362	6926	0	57726	0	0	5322	0	0	0	0	0	0	0	0	76897	382	0	0	0	0	0	0	372	0	256	132022	0	0	0	0	0	0	0	0	0	0	0	0	1805	0	0	0	0	0	0	0	0	0	0	16079	0	0	0	0	0	0	0	0	0	0	0	0	5835	22136
GBM-BM-304-Or	0	1934	5503	0	10639	0	10614	0	0	0	0	0	0	0	3794	392	3929	2327	1516	0	130	435	112122	27226	4896	128539	1065	36808	29857	4082	0	0	0	2526	0	18550	966	77328	67678	95658	59236	3622	85	14080	23968	19408	315	27157	10561	110495	1923	622	0	0	0	0	0	0	0	0	6914	371	4400	38885	0	0	1042	722	0	0	12771	5207	0	401	11788	61055	1157	717	197	7581	5022	0	0	0	62007	56999	55212
GBM-BM-452-Or-PreOp	7928	2943	0	692	13374	13861	1430	4606	7623	22672	12508	0	889	7012	27802	414	1047	1895	0	383	1327	1429	100493	24	743	48980	0	52	127822	6683	457	373	5347	17009	642	2953	63732	12167	5448	8947	56800	12432	1559	4793	8114	0	5082	0	0	16750	18430	4300	0	599	555	0	1245	92	1082	257	2467	28581	642	60991	0	2565	216	3100	0	166	1731	12239	0	894	13920	20331	8615	10860	7710	12221	0	0	69	0	42044	88046	50274
GBM-BM-281-Or	182	3064	0	0	20601	30006	20338	0	4692	0	0	0	0	33	360	0	0	0	0	0	0	0	5674	0	0	72258	0	16899	3161	0	1713	0	0	0	0	119380	6028	177	5589	10136	0	0	0	28439	0	0	4308	2352	0	0	424	342	920	0	0	2482	6837	595	0	0	13433	0	77909	3633	8858	0	367	1266	0	13027	0	0	0	20335	2134	37500	0	0	34434	1562	0	1219	36	0	49321	32256	1107
GBM-BM-357-Or	667	0	0	0	0	1226	302	0	0	0	1116	0	0	0	0	0	664	18029	2144	2480	0	0	37804	0	0	115755	7008	0	30138	0	0	0	0	0	0	1102	0	1033	0	9763	775	0	0	0	0	0	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	618	22014	0	0	150	0	0	0	0	0	0	0	0	3284	0	0	0	0	0	0	0	0	23569	4471	0
GBM-BM-332-Or	564	285	0	3079	17766	0	0	0	15064	445	13982	340	8913	140	38656	4792	1825	9281	690	3717	0	8584	113122	0	1190	968	0	0	62004	378	3612	0	0	182	819	1545	12182	18107	0	3342	0	0	0	0	16608	0	6235	0	0	2235	3503	10380	32	4172	2558	23	5879	7811	3206	0	1344	59588	931	4683	72	0	86	2079	0	654	319	0	7659	11855	0	481	0	0	11759	2469	0	1208	0	0	102793	28348	3027
