feature	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1564	X1561	X1536	X1411	X1468	X2016	X2043	X2048	X2524	X2492	X2502	X2497	X2483	X2479	X9712	X9649	X9418	X13165	X9422	X9467	X9450	X9447	X19351	X19300	X5989	X6001	X6067	X8007	X8095	X8163	X8130	X8047	X8053	X8031	X8028	X8071	X8059	X8249	X8255	X8235	X8236	X7285	X7298	X4303	X4482	X4494	X5266	X5265	X5273	X4498	X3934	X3922	X6936	X6956	X6952	X6939	X5868	X19882	X19831	X19850	X14348	X969	X17008	X17007	X16955	X17130	X15888	X15878	X15873	X15877	X17167	X17153	X17151	X17137	X15892	X15494	X16971	X16988	X16987
01-2020-123-Or	1994.86408006409	0	1011.23050698901	0	1549.37071831065	0	0	0	0	0	1249.74686438798	3280.09271662712	0	2822.77209748199	15180.2848622268	3591.54382794147	2907.53410878906	4084.34621926165	7338.81321154012	15355.7225135368	6213.25254976482	954.065429595868	14295.2117674158	0	5872.23329497126	675257.548682563	4441.13515057746	83971.5562713933	44640.0118153472	3205.18675314645	0	3157.87772357971	0	3278.12150706184	1515.86015570087	40397.9688308631	37409.6151298975	9629.35872639631	47409.5612545666	182945.988544138	3487.06972098159	16828.2160588015	1785.91586614433	0	44038.7928979365	386.357074795021	3727.55728794584	514.485696538268	6158.05868193697	0	14261.701204806	2136.7911687643	0	0	0	867.332208723516	0	0	0	0	238.516357398967	22722.1326589908	4135.59766795895	20283.7464267386	0	5602.1775845278	18545.139590161	682.038509587129	19485.4065527999	0	26077.1313390986	10358.7062655502	11062.4280803554	0	38022.6613046998	107866.558621726	10573.5681081658	31340.2608783981	9568.25122987261	352.846512185249	500.687229581303	0	5732.27741583633	394.241913056144	36203.2348759457	231445.628688305	617615.438574624
GBM-BM-440-Or-PreOp	758.309103321893	0	0	0	0	0	100572.805450629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28218.1653828533	0	0	0	3420.63345520202	0	0	0	1957.59143520597	0	0	0	0	191104.197149934	298.790271689333	4310.82240257989	42172.7013820268	8508.31056417417	10453.5382639999	0	3400.02722956827	239763.738361464	0	0	17525.5949015019	0	0	0	33726.2094947538	0	0	0	0	0	0	0	0	0	35819.8020191426	0	51109.6214393829	13251.8637050627	1360.01089182731	0	0	0	0	1030.31128168735	0	0	0	0	0	145372.800600959	0	0	0	0	0	1283.76785698244	0	500.731282900054	576090.310665231	115891.473586757	0
GBM-BM-318-Or	13257.4919133769	29493.2587154955	151683.586402049	1729.99326741069	36626.2965516735	0	8065.19618976939	5478.31201346719	76514.5683605732	9291.4765580344	48351.8064752349	0	27662.5228682557	0	5706.43026894236	19352.9969733835	2068.11778821653	17547.7362612728	4993.12648532457	13122.010512917	1073.42955748977	174.852063841375	114745.798425387	124491.195572996	0	11273.9052553618	8265.52338873998	77134.077328488	45637.5466232866	7793.07542816195	4257.82144864064	5273.35297174585	0	6586.4803915877	0	3033.85700175101	257.067272667452	298305.7266382	32485.4291324897	8493.64164421515	9343.58478898051	5638.11058836858	103843.598550774	550.031326653333	0	6623.53513359382	0	299.911818112028	4458.14864761122	304.543660862793	0	644.984103044013	626.456732040954	0	0	0	0	0	0	0	3077.85950788328	0	2261.49722306097	177325.467870284	1208.91095794964	1772.83781285527	26.6330958168982	0	0	0	1549.35140013086	1665.14746889998	1296.91597021417	0	14100.4872940161	87150.4372770171	28379.3005339366	26516.1417874414	0	0	36976.0006793562	0	48092.423281192	0	7611.27560019443	2275.39275131326	658.879631296308
GBM-BM-435-Or-PreOp	0	0	0	0	6576.08043665002	0	0	2228.15912230816	0	0	0	0	941.629899353816	0	3797.17731506864	0	2702.25882744793	0	850.751664881297	0	489.42856396646	0	146951.200060552	0	0	0	3285.85038134977	0	0	0	0	0	326.285709310973	330.665383261456	0	13896.7054448821	20349.060092431	90960.353359091	53690.4229589694	146146.43497215	89163.5921209054	2818.32018713572	1324.85137002107	34773.5162483463	26920.7608551305	4392.81297233431	4564.71517489077	1775.9577869208	0	13821.1560692363	8198.74963530392	0	0	0	0	0	0	0	0	0	2283.99996517681	9171.03725231112	16328.5194058877	107000.909202734	0	0	0	0	0	175.186958019315	11488.9796906042	2726.34703417558	0	684.324054762948	12927.7025833378	275257.03319541	0	0	10610.8550635324	124.820707588762	7775.0161805947	0	0	2078.15528950412	190210.334587958	129802.586707436	1983.99229956874
GBM-BM-287-Or	1560.90578056272	34942.5094039459	5927.81195269516	5149.17406913538	205199.214922185	52372.0189513224	79575.3396944317	9860.93151836889	106019.987627919	3671.75859776556	0	0	27450.1616572448	2274.20342214545	3867.77932369669	7808.15891625676	4397.76128639938	77664.1376166031	0	11478.1025073007	6310.7783709495	1324.95490675673	55161.6842823978	0	0	2419.40395987221	0	0	0	0	6051.23240976291	0	0	0	0	7198.31665780435	20237.3249456678	419791.08962857	9637.68569161399	36136.7838267485	2413.95893970746	199.650739374301	0	22172.1221108769	0	2357.69373133834	30149.076652241	0	1009.14373720101	25646.0449759898	491.866821549415	2951.20092929649	2818.70543862081	0	2321.39359690665	2971.16600323392	3709.87373891883	3103.66149390959	7312.66208126417	5049.34869944823	46769.0932017908	0	40732.3808458006	26693.3038543441	15926.6839819045	2885.86068731944	0	7098.4912881172	366.63135776008	11229.4465864436	0	3535.63309364671	0	4622.82211987586	5258.07447243046	3335.98235427241	0	12225.8852765936	1669.80618385779	9151.26389022933	0	2344.98868428725	0	715.112648304315	108435.761574348	16776.107127606	0
GBM-BM-458-Or-PreOp	1133.64951080684	19272.0416837163	0	644.598384633192	96547.3924075752	0	22096.9380809943	272.866800856995	24307.5546270676	827.827782310112	12859.0127650241	0	27178.5879230412	1568.65455565133	15631.1812780785	2259.38983898015	672.280523850568	1348.5156390179	2036.61452813555	0	0	276.821392173763	28835.561684767	12099.7312322046	547.05179881958	32123.1452661069	2983.0800499487	48464.834784098	26872.7661945445	1605.56407460783	18570.7608235428	0	3153.12747656972	5380.88058501573	0	137379.865950311	19550.1812729956	269614.808597506	53580.7577508903	28976.6087750651	72395.3850389671	5931.88697515207	0	93823.9971874276	771.14530676977	5069.78606809664	12095.7766408879	0	0	62072.5835050969	18913.492070996	1678.06491541524	0	0	0	1874.47628414806	6440.71105790956	2414.93709743969	1464.51698430977	2494.02892377505	52656.7015798722	32518.6043977837	12919.6498318812	50562.0863790907	3062.17187628406	25.0457450061976	0	0	151.592667142775	960.965689974636	10912.0356400686	4789.01008460611	0	0	9052.05952408207	54079.0362568031	6612.07668163618	3296.81096107896	9376.33601205705	13684.204153123	0	1718.92902568851	8122.73056464157	0	90502.1404813424	81786.2212191856	11751.7271963291
GBM-BM-327-Or	8203.09205269123	0	0	0	63565.9000806512	27211.0432311422	21738.7314948121	0	0	0	0	0	0	0	0	0	0	0	0	2273.85841303302	0	0	6684.49866810061	0	0	13344.8073530839	0	38846.4251105984	0	0	0	0	0	0	0	35559.2751825376	35814.613893221	509857.649716665	0	19064.3944723915	48.3799662347451	0	1179.93362094739	0	2593.70374536272	2198.60068777897	7544.58695671831	29484.9016441752	38972.7505779891	0	0	0	0	0	0	4746.61224280888	0	0	0	0	7786.48678789203	0	72535.0082653926	178503.260974896	4085.41937093403	0	0	0	0	9219.07134362087	0	0	0	11662.2596384755	0	38666.344125169	0	0	28544.1800784996	0	5781.40596505204	499.926317759033	2795.28693800749	0	62020.4289370413	32532.8395169642	843.961633206109
GBM-BM-386-Or-PreOp	0	0	0	0	5794.89290262751	0	0	0	0	0	84.245587369455	0	3249.47265567898	0	8827.73404792789	0	370.078830230106	0	0	0	0	0	6005.50687105115	0	0	0	0	0	0	0	0	0	0	0	2626.65706334051	28279.4384173395	15425.9688015427	451613.514948851	38289.6194594173	8442.61136281038	69662.0744416068	0	87.2543583469355	34937.848590504	15025.8022615378	27361.763269208	4004.67417102659	9916.90914177584	2728.95527657485	616572.392560199	11114.3999908131	0	0	0	0	0	0	0	0	0	3619.55148590908	0	5797.90167360499	2094.10460032645	0	0	1323.85923009144	2933.55170304352	0	0	0	0	2018.88532588944	0	0	38593.5053281428	0	0	15410.9249466553	0	0	0	0	0	219113.74643502	126287.14423779	1591.6398470872
GBM-BM-322-Or	1731.79151837809	0	0	0	3040.86227242767	0	0	0	0	0	0	0	0	0	4345.38764191457	0	2281.78305046142	2249.96535852271	19299.7028531059	11136.1921785468	5931.72685428716	3472.67380588152	48058.3509811326	62158.1338945416	11813.4544783849	198342.400776762	11668.0021723794	767256.368794496	78953.3298536152	12436.172163471	0	0	0	0	0	0	34408.5611394282	37003.975724714	0	2418.14458734158	0	0	0	0	0	6713.53299906676	3772.66918701788	48326.5286703303	0	631.808454211429	0	0	0	0	0	0	0	0	0	0	0	3286.31303881196	0	0	0	0	0	0	0	0	0	0	28490.470438829	0	8149.87452087116	5931.72685428716	0	0	0	0	0	0	0	0	39003.9449322897	2290.87381958676	84766.8767092729
GBM-BM-394-Or	91.3989278285871	0	0	0	0	0	0	0	501.265994809907	0	3493.15277294881	0	3007.59596885944	0	19183.778086272	0	5046.9345460348	0	1299.57850506272	0	0	688.348175209047	91367.509447146	70708.4955413907	536.968700992949	25565.9938435526	0	61735.6914234686	10956.4464734519	0	0	0	0	0	0	0	85597.9521279665	190196.884486548	4594.22423163382	495.553561820621	0	0	0	0	72963.4784639116	1899.38396893783	21951.4518695814	10889.3253858278	8180.20404065855	111962.258481772	17952.7487770808	445.569773164362	0	1616.61853596813	1816.55369059317	0	0	0	0	0	0	17844.2125502843	0	23826.5579983148	0	0	0	74.261628860727	0	0	0	0	0	0	0	0	0	0	0	202.791371119678	0	0	0	0	238923.937885163	281.33732472237	431.288690691145
GBM-BM-404-Or	13810.4802185852	9638.65485362553	168.611275167119	0	87632.668312115	6483.7119213748	159488.883702408	10806.7659558142	0	5715.40074999473	7803.05169304329	1639.1797163154	50265.2808660576	733.545960005406	6050.88503976023	0	46.9330353557961	0	0	0	0	0	578.840769388152	0	0	761.358129105137	0	0	0	0	344.175592609171	0	0	959.51983394072	0	48024.6629929605	3424.37332040438	86078.6633636675	4110.98624505399	2207.59092229115	45452.0373512354	0	650.109452706213	30012.8069797472	1472.30670171701	10043.6695661404	5280.83560781143	2016.3822597305	0	285.074733272243	239.87995848518	0	0	0	0	236.403437347714	0	1750.42839271432	0	978.640700196785	27966.8742903483	0	30737.661636909	61068.5703007344	10518.2147014045	0	0	0	0	6765.31013350957	4317.83925273324	0	8903.37063305139	709.210312043141	6280.33543483301	283743.225676593	0	0	0	0	8717.37675219694	24728.4948507983	0	1779.97882238279	42331.8596303594	57616.3848112303	0
GBM-BM-292-Or	0	4541.63198881547	0	0	81919.1177417427	70745.1298312478	0	0	15765.3004680121	0	0	0	0	0	0	0	5767.08601679121	13107.3900424702	0	2264.60592332002	0	0	0	0	0	0	0	0	12358.0414645526	0	31969.4459595561	803.169194011123	69875.7198789677	5340.66113543479	14639.2075774398	10623.3616073842	0	49763.3696495551	15057.3523640127	0	0	0	0	0	154357.526956241	0	9977.51421426189	0	0	44621.4307889272	153417.7361983	0	0	5733.96563765673	2777.97179990445	91.0810426198181	22389.376294908	5725.68554287311	1908.56184762437	2045.1834115541	26318.2812697356	17756.6632634727	70442.9063716457	7178.84217739839	4417.43056706118	0	0	662.407582689586	0	0	819.729383578363	0	0	0	0	1192.33364884125	0	23950.1741616203	4268.38886095602	0	0	0	0	0	636635.787675569	40021.8381366264	0
GBM-BM-384-Or-PreOp	5328.97671173337	17437.1867262325	2401.17742259363	3626.32363025788	204709.925413583	0	44147.5569418792	0	39047.7835295752	1076.4369241059	4981.07884652804	688.974203641923	15060.5668000063	0	0	836.319181846532	242.846352966856	851.326540737742	0	84.5869319322757	0	0	53327.9676672386	0	597.565744940915	0	3274.33284899132	0	0	0	5764.19011957846	87.3155426397685	5492.69335418293	3157.00258856913	0	79483.0656039105	5597.7448664214	33796.5722230054	47129.9284451688	20854.7716373672	20017.0881501669	5432.66391861809	3732.7394478501	23707.5341320509	0	0	1653.53808874062	472.049652396248	0	9159.94614505321	9754.78327928663	2594.90878282562	1865.0054185713	68.2152676873191	3609.95196601293	0	590.744218172183	311.061620654175	7672.85330946965	6477.72181958782	97240.8640882734	27003.6958667021	105241.150682642	112369.646155967	18495.8876807397	285.139818932994	0	4255.26839833497	283.775513579248	11823.0701955661	920.906113778808	5799.66205877587	0	12162.782228649	0	39710.8359314959	6035.686884974	4629.08806526148	41536.2764948086	17719.597934458	321.976063484146	0	0	0	45128.4924912228	17760.5270950704	1511.65033195099
GBM-BM-351-Or	0	0	0	0	1419.59391335218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12896.4647051456	37815.7978610661	0	315182.608623722	0	0	29057.9954110011	0	0	0	0	0	0	0	0	419855.819827086	2085.71105730974	0	0	0	0	0	0	2031.11129141158	0	1397.75400699291	720837.029340697	0	0	0	0	0	0	0	0	0	0	0	0	9855.25774461801	0	0	0	0	0	0	0	0	0	0	87790.9635876526	0	0	0	0	0	0	0	0	0	0	0	0	31858.9634015768	120862.041792169
GBM-BM-304-Or	0	1297.09655789655	3690.75613138818	0	7135.37242991802	0	7118.60541133094	0	0	0	0	0	0	0	2544.56274077535	262.906851445424	2635.10464114559	1560.67409008546	1016.75200712057	0	87.1884966528191	291.746123415202	75198.066320826	18259.9539220743	3283.65292009386	86208.6320865901	714.274991809633	24686.4168061305	20024.5149581786	2737.71879489852	0	0	0	1694.13955803862	0	12441.1277916138	647.877598204794	51862.4005320707	45390.3313574576	64155.9785601182	39728.4445209723	2429.20565289624	57.007863196074	9443.18486824379	16074.8760598059	13016.5718695224	211.264434197216	18213.6769507739	7083.05933192633	74106.8687511788	1289.71906971824	417.163422446565	0	0	0	0	0	0	0	0	4637.08666044301	248.822555832276	2950.99527132619	26079.4207103452	0	0	698.849334709519	484.231496794888	0	0	8565.26377502425	3492.23463131715	0	268.942978136773	7905.98460418024	40948.4127933682	775.97762021009	480.878093077472	132.124106466195	5084.43071634632	3368.15869377275	0	0	0	41586.9008611643	38228.1316978003	37029.6252091958
GBM-BM-452-Or-PreOp	8495.9214035413	3153.82147964456	0	741.571343497803	14332.0450114734	14853.9312026345	1532.4378919102	4935.95030079607	8169.07276225976	24296.1062135581	13404.0091972117	0	952.683416718998	7514.30384480722	29793.5931964247	443.656844231345	1122.00172925173	2030.74811550338	0	410.436162658466	1422.05949829709	1531.36625702075	107691.804945267	25.7192373467446	796.224722859635	52488.676885148	0	55.72501425128	136978.514838983	7161.73596617893	489.737144477595	399.719813763989	5730.03175387681	18227.4378346158	687.989599025418	3164.53782853903	68297.4347742803	13038.5816999101	5838.26687771103	9587.9173558885	60868.8617206289	13322.5649456137	1670.67879264895	5136.34602512279	8695.24549297857	0	5446.04850817317	0	0	17949.8843982488	19750.231012521	4608.03002462508	0	641.909298779167	594.757363643469	0	1334.18543736238	98.5904098291877	1159.5089503824	275.410166588057	2643.72327226746	30628.3967753045	687.989599025418	65360.0835423042	0	2748.74349143333	231.473136120701	3322.06815728785	0	177.891391648317	1854.99999363395	13115.7394119503	0	958.041591166237	14917.1576611119	21787.408937361	9232.13457259187	11637.9548994019	8262.30499764171	13096.4499839402	0	0	73.9428073718908	0	45055.8172919388	94353.1654763115	53875.3724320933
