contrast,ratio,SE,df,null,z.ratio,p.value,fold_change,modelest_cpc_1,modelest_cpc_2,term,target,counts_1,propnz_1,ncells_1,counts_2,propnz_2,ncells_2,padj,log2fc,sig_level
Within30micronTumor / Within30um16StumorHigh,1.22540797,0.468377751,Inf,1,0.531821516,0.594849619,1.22540797,0.035667577,0.029106696,tumor16SProximity_v3,ACER3,209,0.028436019,6330,8,0.021472393,326,0.9263506,0.29326214,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.474387305,0.231266543,Inf,1,-1.529686939,0.126094238,0.474387305,0.009173325,0.019337207,tumor16SProximity_v3,ACHE,55,0.008530806,6330,5,0.015337423,326,0.711771628,-1.075862693,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.972142452,0.119239211,Inf,1,-0.230342624,0.817825542,0.972142452,0.288546247,0.296814779,tumor16SProximity_v3,ACIN1,1855,0.187045814,6330,87,0.187116564,326,0.978606194,-0.040760362,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.214071085,0.716727376,Inf,1,0.328583225,0.74247073,1.214071085,0.012631236,0.010404033,tumor16SProximity_v3,ACKR1,77,0.011848341,6330,3,0.009202454,326,0.96127407,0.279852895,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.98114757,0.367479345,Inf,1,-0.050815362,0.95947265,0.98114757,0.031408213,0.032011712,tumor16SProximity_v3,ACKR3,179,0.025118483,6330,9,0.027607362,326,0.999992957,-0.027457953,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.434736258,1.044246623,Inf,1,0.49596769,0.619917207,1.434736258,0.010275254,0.007161772,tumor16SProximity_v3,ACKR4,60,0.009320695,6330,2,0.006134969,326,0.933432719,0.520785556,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.902957475,0.154964303,Inf,1,-0.594806251,0.551972989,0.902957475,0.1237503,0.137049976,tumor16SProximity_v3,ACLY,776,0.097314376,6330,39,0.113496933,326,0.915098115,-0.14727005,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,2.59715754,1.082587221,Inf,1,2.289674957,0.022040166,2.59715754,0.053953676,0.020774125,tumor16SProximity_v3,ACO2,330,0.047235387,6330,6,0.018404908,326,0.535425665,1.376933528,P < 0.05
Within30micronTumor / Within30um16StumorHigh,0.792621666,0.231498863,Inf,1,-0.795738757,0.426183895,0.792621666,0.035714558,0.045058771,tumor16SProximity_v3,ACOT11,216,0.033017378,6330,13,0.036809816,326,0.88152647,-0.335295692,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.651400786,0.859786799,Inf,1,0.963473836,0.335309788,1.651400786,0.023032998,0.013947552,tumor16SProximity_v3,ACOT12,136,0.020695103,6330,4,0.012269939,326,0.850297735,0.723690297,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.167262017,0.340320397,Inf,1,0.530469925,0.595786156,1.167262017,0.051280752,0.043932511,tumor16SProximity_v3,ACOT13,311,0.045023697,6330,13,0.039877301,326,0.9263506,0.223128441,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.00886504,0.241492912,Inf,1,0.036871555,0.97058742,1.00886504,0.068042789,0.067444888,tumor16SProximity_v3,ACOT7,419,0.058451817,6330,19,0.058282209,326,0.999992957,0.012733193,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.733541983,0.230007429,Inf,1,-0.988241911,0.323034187,0.733541983,0.02973644,0.040538157,tumor16SProximity_v3,ACOT8,181,0.026698262,6330,12,0.036809816,326,0.847794617,-0.447048556,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.539517831,0.207111604,Inf,1,-1.607468419,0.107951652,0.539517831,0.014868416,0.027558711,tumor16SProximity_v3,ACOT9,91,0.013902054,6330,8,0.024539877,326,0.695888541,-0.890257453,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.295786041,0.510550242,Inf,1,0.657645031,0.510766251,1.295786041,0.031821269,0.024557502,tumor16SProximity_v3,ACOX1,202,0.030331754,6330,7,0.021472393,326,0.905218998,0.373827521,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.979701628,0.343483342,Inf,1,-0.05849178,0.95335691,0.979701628,0.03071917,0.031355639,tumor16SProximity_v3,ACOX2,185,0.027330174,6330,9,0.027607362,326,0.999992957,-0.029585657,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.691025914,0.198628708,Inf,1,-1.28575545,0.198528423,0.691025914,0.030424232,0.044027628,tumor16SProximity_v3,ACOX3,187,0.028436019,6330,13,0.039877301,326,0.78341559,-0.533188281,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.566693506,0.223755221,Inf,1,-1.438384431,0.150325008,0.566693506,0.018981366,0.033494942,tumor16SProximity_v3,ACP3,108,0.015165877,6330,10,0.024539877,326,0.735866785,-0.819359426,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.980562016,0.236722136,Inf,1,-0.081309802,0.935195579,0.980562016,0.065284129,0.066578277,tumor16SProximity_v3,ACP5,396,0.057503949,6330,19,0.052147239,326,0.997133334,-0.028319217,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.048511157,0.463710062,Inf,1,0.107112717,0.914699559,1.048511157,0.022517576,0.021475762,tumor16SProximity_v3,ACSBG1,128,0.018799368,6330,6,0.015337423,326,0.994967651,0.068342213,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.097183281,0.354684059,Inf,1,0.28690217,0.774187229,1.097183281,0.041986813,0.038267821,tumor16SProximity_v3,ACSF3,254,0.036176935,6330,11,0.033742331,326,0.971584541,0.133804544,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.953292393,0.82823472,Inf,1,1.578974141,0.114341989,1.953292393,0.039389633,0.020165764,tumor16SProximity_v3,ACSL1,239,0.034281201,6330,6,0.018404908,326,0.70099496,0.965907926,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.237356091,0.261679478,Inf,1,1.007065167,0.313903459,1.237356091,0.110531012,0.089328377,tumor16SProximity_v3,ACSL3,688,0.08657188,6330,26,0.073619632,326,0.843586849,0.307260744,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.881053454,0.261536665,Inf,1,-0.426609207,0.669663991,0.881053454,0.038467707,0.043661037,tumor16SProximity_v3,ACSL4,237,0.03507109,6330,13,0.036809816,326,0.947293939,-0.182698544,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.906458824,0.14638766,Inf,1,-0.608132031,0.54309991,0.906458824,0.14171544,0.156339633,tumor16SProximity_v3,ACSL5,873,0.109952607,6330,46,0.116564417,326,0.91197389,-0.141686609,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.428052345,0.679276014,Inf,1,0.749079154,0.453809499,1.428052345,0.025254213,0.017684375,tumor16SProximity_v3,ACSM2A,147,0.02164297,6330,5,0.012269939,326,0.88421137,0.514048863,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,2.437056448,0.955840606,Inf,1,2.271202735,0.023134708,2.437056448,0.06071823,0.024914577,tumor16SProximity_v3,ACSM3,360,0.050394945,6330,7,0.021472393,326,0.539982377,1.285139668,P < 0.05
Within30micronTumor / Within30um16StumorHigh,0.482801755,0.075445648,Inf,1,-4.659668259,3.17E-06,0.482801755,0.08853779,0.183383324,tumor16SProximity_v3,ACSS1,535,0.07535545,6330,52,0.141104294,326,0.001223725,-1.050497174,P-adjust < 0.05
Within30micronTumor / Within30um16StumorHigh,1.089741315,0.327464484,Inf,1,0.285993585,0.774883035,1.089741315,0.045928546,0.042146283,tumor16SProximity_v3,ACSS2,277,0.041390205,6330,12,0.036809816,326,0.971830964,0.123985706,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.621264228,0.323590543,Inf,1,-0.913874133,0.360782987,0.621264228,0.008522805,0.013718486,tumor16SProximity_v3,ACSS3,52,0.00821485,6330,4,0.012269939,326,0.854871761,-0.686721107,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.85506834,0.204311572,Inf,1,-0.655280408,0.512287233,0.85506834,0.098526622,0.115226605,tumor16SProximity_v3,ACTA2,610,0.06271722,6330,48,0.095092025,326,0.905218998,-0.225888365,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.935220857,0.365580431,Inf,1,-0.171327937,0.863965914,0.935220857,0.025013625,0.026746222,tumor16SProximity_v3,ACTG2,149,0.021800948,6330,8,0.021472393,326,0.987923212,-0.09662099,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.920981678,0.201960395,Inf,1,-0.375374256,0.707382149,0.920981678,0.072997437,0.079260466,tumor16SProximity_v3,ACTL6A,446,0.062559242,6330,23,0.067484663,326,0.95634745,-0.11875564,NS or |log2FC| < 1
