contrast,p.value,fold_change,counts_1,ncells_1,counts_2,ncells_2,target
16Spos_tumor / 16Sneg_tumor,0.219539367,0.703089083,13,164,2304,39686,STARD7
16Spos_tumor / 16Sneg_tumor,0.332900818,1.204250215,38,164,3173,39686,STAT1
16Spos_tumor / 16Sneg_tumor,0.84975885,0.966558625,36,164,4704,39686,STAT3
16Spos_tumor / 16Sneg_tumor,0.630311096,1.190235071,10,164,1172,39686,STAT4
16Spos_tumor / 16Sneg_tumor,0.986875443,0.993508356,7,164,980,39686,STAT5A
16Spos_tumor / 16Sneg_tumor,0.25672589,1.331205772,20,164,1962,39686,STAT5B
16Spos_tumor / 16Sneg_tumor,0.466035621,0.833654289,18,164,2872,39686,STAT6
16Spos_tumor / 16Sneg_tumor,0.262446207,1.141721143,100,164,10252,39686,STAU1
16Spos_tumor / 16Sneg_tumor,0.34364005,0.806048836,22,164,3875,39686,STK11
16Spos_tumor / 16Sneg_tumor,0.547761884,1.356305985,4,164,527,39686,STK17A
16Spos_tumor / 16Sneg_tumor,0.050341967,0.671558998,26,164,5298,39686,STK24
16Spos_tumor / 16Sneg_tumor,0.896089471,1.021288537,50,164,5592,39686,STK25
16Spos_tumor / 16Sneg_tumor,0.907091701,1.062083381,4,164,580,39686,STK26
16Spos_tumor / 16Sneg_tumor,0.995321355,0.998490042,18,164,1784,39686,STK3
16Spos_tumor / 16Sneg_tumor,0.45439895,1.171250685,28,164,3016,39686,STK39
16Spos_tumor / 16Sneg_tumor,0.749406148,1.135022887,7,164,774,39686,STK4
16Spos_tumor / 16Sneg_tumor,0.571047259,1.062596466,138,164,14029,39686,STMN1
16Spos_tumor / 16Sneg_tumor,0.186740974,0.256820152,1,164,518,39686,STMN2
16Spos_tumor / 16Sneg_tumor,0.49484392,1.327019322,7,164,677,39686,STMN3
16Spos_tumor / 16Sneg_tumor,0.293008548,0.757668645,18,164,2502,39686,STON2
16Spos_tumor / 16Sneg_tumor,0.181732104,1.228076925,51,164,4610,39686,STRAP
16Spos_tumor / 16Sneg_tumor,0.36663267,1.159970617,50,164,4892,39686,STRN3
16Spos_tumor / 16Sneg_tumor,0.139719341,0.756741442,32,164,6003,39686,STT3A
16Spos_tumor / 16Sneg_tumor,0.932111026,1.022466879,17,164,1764,39686,STT3B
16Spos_tumor / 16Sneg_tumor,0.274822661,0.81082514,31,164,5362,39686,STUB1
16Spos_tumor / 16Sneg_tumor,0.212403638,1.414270781,15,164,1205,39686,STX12
16Spos_tumor / 16Sneg_tumor,0.43727164,1.151322103,38,164,3915,39686,STX18
16Spos_tumor / 16Sneg_tumor,0.327554328,0.820783603,29,164,4778,39686,STX4
16Spos_tumor / 16Sneg_tumor,0.619142117,1.113508855,25,164,2903,39686,STX7
16Spos_tumor / 16Sneg_tumor,0.997658125,0.998560331,5,164,572,39686,STXBP1
16Spos_tumor / 16Sneg_tumor,0.7822078,1.062203714,23,164,3576,39686,STXBP2
16Spos_tumor / 16Sneg_tumor,0.885762892,1.051070015,9,164,945,39686,STXBP3
16Spos_tumor / 16Sneg_tumor,0.076882124,0.502895006,7,164,1688,39686,SUCLA2
16Spos_tumor / 16Sneg_tumor,0.946833612,1.013693369,29,164,3711,39686,SUCLG1
16Spos_tumor / 16Sneg_tumor,0.192873028,0.394753297,2,164,702,39686,SUCLG2
16Spos_tumor / 16Sneg_tumor,0.519385403,0.885814568,33,164,3959,39686,SUCO
16Spos_tumor / 16Sneg_tumor,0.928255388,1.01897343,28,164,3172,39686,SUDS3
16Spos_tumor / 16Sneg_tumor,0.113430361,1.739839983,9,164,658,39686,SUGT1
16Spos_tumor / 16Sneg_tumor,0.020632569,1.639255356,27,164,2709,39686,SULF2
16Spos_tumor / 16Sneg_tumor,0.290013725,1.241258879,32,164,2964,39686,SUMF1
16Spos_tumor / 16Sneg_tumor,0.149619666,1.172572106,114,164,12402,39686,SUMF2
16Spos_tumor / 16Sneg_tumor,0.943418251,0.969643962,6,164,861,39686,SUMO1
16Spos_tumor / 16Sneg_tumor,0.182501801,0.752345443,25,164,4995,39686,SUMO3
16Spos_tumor / 16Sneg_tumor,0.568638782,0.895212274,31,164,4720,39686,SUN1
16Spos_tumor / 16Sneg_tumor,0.992283955,0.99788408,25,164,3714,39686,SUN2
16Spos_tumor / 16Sneg_tumor,0.331538052,1.306659127,16,164,1410,39686,SUPT20H
16Spos_tumor / 16Sneg_tumor,0.510803813,1.20561239,14,164,1299,39686,SUPT3H
16Spos_tumor / 16Sneg_tumor,0.253144882,1.197855818,51,164,4808,39686,SUPT4H1
16Spos_tumor / 16Sneg_tumor,0.901931645,0.952723388,7,164,790,39686,SUPT7L
16Spos_tumor / 16Sneg_tumor,0.927184148,0.979763666,23,164,3427,39686,SURF4
16Spos_tumor / 16Sneg_tumor,0.608598114,1.174015325,12,164,1130,39686,SUV39H2
16Spos_tumor / 16Sneg_tumor,0.657021167,1.114007651,20,164,2400,39686,SUZ12
16Spos_tumor / 16Sneg_tumor,0.704068538,0.816374633,4,164,600,39686,SV2B
16Spos_tumor / 16Sneg_tumor,0.504178223,0.731102125,5,164,819,39686,SV2C
16Spos_tumor / 16Sneg_tumor,0.038451674,1.454336349,38,164,3151,39686,SVIL
16Spos_tumor / 16Sneg_tumor,0.531214378,1.300488548,7,164,630,39686,SVIP
16Spos_tumor / 16Sneg_tumor,0.718734748,0.918070196,20,164,2224,39686,SYF2
16Spos_tumor / 16Sneg_tumor,0.879929849,0.957404977,14,164,1655,39686,SYK
16Spos_tumor / 16Sneg_tumor,0.926259132,0.952902621,4,164,549,39686,SYN2
16Spos_tumor / 16Sneg_tumor,0.048141586,1.894479145,16,164,711,39686,SYN3
16Spos_tumor / 16Sneg_tumor,0.627722834,0.816359973,7,164,884,39686,SYNDIG1
16Spos_tumor / 16Sneg_tumor,0.465478594,0.680151246,4,164,806,39686,SYNE1
16Spos_tumor / 16Sneg_tumor,0.701471202,1.080251298,30,164,3149,39686,SYNE2
16Spos_tumor / 16Sneg_tumor,0.016076913,1.817252804,21,164,1215,39686,SYNGR1
16Spos_tumor / 16Sneg_tumor,0.110316971,0.4368089,4,164,1136,39686,SYNJ1
16Spos_tumor / 16Sneg_tumor,0.620822105,0.868335513,14,164,2440,39686,SYNJ2
16Spos_tumor / 16Sneg_tumor,0.618114078,1.322052458,4,164,473,39686,SYNPO2
16Spos_tumor / 16Sneg_tumor,0.509732385,0.756158485,7,164,1045,39686,SYP
16Spos_tumor / 16Sneg_tumor,0.221857422,0.743243255,19,164,3008,39686,SYPL1
16Spos_tumor / 16Sneg_tumor,0.378024774,0.529416587,2,164,454,39686,SYT10
16Spos_tumor / 16Sneg_tumor,0.029111778,2.274414825,10,164,628,39686,SYT14
16Spos_tumor / 16Sneg_tumor,0.149036879,1.426943097,21,164,1753,39686,SYT17
16Spos_tumor / 16Sneg_tumor,0.578787332,0.847032778,14,164,2154,39686,SYTL3
16Spos_tumor / 16Sneg_tumor,0.82967471,0.960146576,33,164,4691,39686,SYVN1
16Spos_tumor / 16Sneg_tumor,0.305269582,1.258102627,23,164,2070,39686,SZT2
16Spos_tumor / 16Sneg_tumor,0.856212138,1.049376049,18,164,1964,39686,TAB1
16Spos_tumor / 16Sneg_tumor,0.335542445,1.266053546,20,164,1905,39686,TAB2
16Spos_tumor / 16Sneg_tumor,0.366436194,0.683080741,6,164,977,39686,TAB3
16Spos_tumor / 16Sneg_tumor,0.387865878,1.407689124,8,164,643,39686,TAC1
16Spos_tumor / 16Sneg_tumor,0.871131427,1.063580915,8,164,978,39686,TAC4
16Spos_tumor / 16Sneg_tumor,0.488359104,1.215148575,15,164,1447,39686,TACC1
16Spos_tumor / 16Sneg_tumor,0.147131383,1.344860037,37,164,3441,39686,TACC3
16Spos_tumor / 16Sneg_tumor,0.550138968,0.647155595,2,164,382,39686,TACR1
16Spos_tumor / 16Sneg_tumor,0.655471018,0.789649552,4,164,650,39686,TACR3
16Spos_tumor / 16Sneg_tumor,0.065386992,0.79563487,127,164,18315,39686,TACSTD2
16Spos_tumor / 16Sneg_tumor,0.548699289,1.188997638,14,164,1457,39686,TADA2A
16Spos_tumor / 16Sneg_tumor,0.987371277,0.996583356,24,164,3053,39686,TADA3
16Spos_tumor / 16Sneg_tumor,0.586475799,1.147364687,19,164,1535,39686,TAF1
16Spos_tumor / 16Sneg_tumor,0.10834375,1.359021129,32,164,3005,39686,TAF10
16Spos_tumor / 16Sneg_tumor,0.277199986,0.634954529,6,164,1129,39686,TAF11
16Spos_tumor / 16Sneg_tumor,0.354273334,0.714063725,9,164,1347,39686,TAF12
16Spos_tumor / 16Sneg_tumor,0.795503451,1.03993444,53,164,6488,39686,TAF15
16Spos_tumor / 16Sneg_tumor,0.337678575,1.252832437,22,164,1914,39686,TAF2
16Spos_tumor / 16Sneg_tumor,0.17177878,0.447943139,3,164,818,39686,TAF3
16Spos_tumor / 16Sneg_tumor,0.45266033,1.233181781,15,164,1530,39686,TAF4
16Spos_tumor / 16Sneg_tumor,0.288310987,0.677189097,9,164,1122,39686,TAF4B
16Spos_tumor / 16Sneg_tumor,0.061218189,0.374988335,4,164,1307,39686,TAF5
16Spos_tumor / 16Sneg_tumor,0.437232217,1.24506047,15,164,1535,39686,TAF5L
16Spos_tumor / 16Sneg_tumor,0.984539897,1.0065374,10,164,1245,39686,TAF6L
16Spos_tumor / 16Sneg_tumor,0.647593644,0.899367463,21,164,2626,39686,TAF7
16Spos_tumor / 16Sneg_tumor,0.428601525,0.86721116,41,164,3284,39686,TAF8
16Spos_tumor / 16Sneg_tumor,0.132336524,0.555046164,7,164,1570,39686,TAF9
16Spos_tumor / 16Sneg_tumor,0.985189813,0.99259035,7,164,851,39686,TAL1
