SampleID,Sample_ID,FileVersion,SoftwareVersion,Date,Plate_ID,Well,SeqSetId,Raw,Trimmed,Stitched,Aligned,umiQ30,rtsQ30,DeduplicatedReads,roi
DSP-1001660022407-Y-B02,DSP-1001660022407-Y-B02,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,B02,A00728:1032:HNTG7DMXY,15059039,15045590,14949801,14155572,0.9946,0.9943,926425,13
DSP-1001660022407-Y-B03,DSP-1001660022407-Y-B03,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,B03,A00728:1032:HNTG7DMXY,29156980,29129967,28938370,27321320,0.9944,0.994,2188896,14
DSP-1001660022407-Y-B04,DSP-1001660022407-Y-B04,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,B04,A00728:1032:HNTG7DMXY,22746563,22720510,22575671,21199109,0.9945,0.9941,1614948,15
DSP-1001660022407-Y-B05,DSP-1001660022407-Y-B05,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,B05,A00728:1032:HNTG7DMXY,39380501,39326611,39104139,36887195,0.9946,0.9936,1800877,16
DSP-1001660022407-Y-B06,DSP-1001660022407-Y-B06,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,B06,A00728:1032:HNTG7DMXY,22178193,22157431,22025143,20697705,0.9947,0.9942,1408081,17
DSP-1001660022407-Y-B07,DSP-1001660022407-Y-B07,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,B07,A00728:1032:HNTG7DMXY,12661954,12644792,12575452,11836132,0.9944,0.9945,662662,18
DSP-1001660022407-Y-B08,DSP-1001660022407-Y-B08,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,B08,A00728:1032:HNTG7DMXY,26775984,26732315,26575550,24873444,0.9946,0.9934,1180230,19
DSP-1001660022407-Y-B09,DSP-1001660022407-Y-B09,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,B09,A00728:1032:HNTG7DMXY,20701052,20678641,20549558,19324741,0.9943,0.9942,1397829,20
DSP-1001660022407-Y-B10,DSP-1001660022407-Y-B10,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,B10,A00728:1032:HNTG7DMXY,23085399,23062930,22937783,21464440,0.9945,0.9941,1233812,21
DSP-1001660022407-Y-C01,DSP-1001660022407-Y-C01,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,C01,A00728:1032:HNTG7DMXY,22662845,22638809,22482757,21181718,0.9944,0.9937,1303529,24
DSP-1001660022407-Y-C02,DSP-1001660022407-Y-C02,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,C02,A00728:1032:HNTG7DMXY,29783910,29753486,29556947,27892205,0.9945,0.9938,2037673,25
DSP-1001660022407-Y-C03,DSP-1001660022407-Y-C03,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,C03,A00728:1032:HNTG7DMXY,13189016,13169703,13075948,12311256,0.9945,0.9935,1213461,26
DSP-1001660022407-Y-C04,DSP-1001660022407-Y-C04,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,C04,A00728:1032:HNTG7DMXY,17912885,17896367,17784545,16750753,0.9946,0.9942,1126696,27
DSP-1001660022407-Y-C05,DSP-1001660022407-Y-C05,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,C05,A00728:1032:HNTG7DMXY,26329356,26301214,26132614,24576989,0.9945,0.9938,1720400,28
DSP-1001660022407-Y-C06,DSP-1001660022407-Y-C06,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,C06,A00728:1032:HNTG7DMXY,4286834,4271863,4244955,4015038,0.9935,0.9937,463200,29
DSP-1001660022407-Y-C07,DSP-1001660022407-Y-C07,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,C07,A00728:1032:HNTG7DMXY,7853529,7836923,7790096,7365322,0.9946,0.9934,661763,30
DSP-1001660022407-Y-C08,DSP-1001660022407-Y-C08,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,C08,A00728:1032:HNTG7DMXY,9619763,9609192,9547275,8985668,0.9936,0.9938,946980,31
DSP-1001660022407-Y-C09,DSP-1001660022407-Y-C09,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,C09,A00728:1032:HNTG7DMXY,5504374,5493133,5454958,5051544,0.9941,0.9934,608101,32
DSP-1001660022407-Y-C10,DSP-1001660022407-Y-C10,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,C10,A00728:1032:HNTG7DMXY,8213491,8203451,8143845,7638931,0.9945,0.9944,797102,33
DSP-1001660022407-Y-C11,DSP-1001660022407-Y-C11,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,C11,A00728:1032:HNTG7DMXY,26705775,26682624,26529911,25106559,0.9947,0.9943,2292776,34
DSP-1001660022407-Y-C12,DSP-1001660022407-Y-C12,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,C12,A00728:1032:HNTG7DMXY,33753150,33720106,33487367,31760813,0.994,0.9937,2205199,35
DSP-1001660022407-Y-D01,DSP-1001660022407-Y-D01,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,D01,A00728:1032:HNTG7DMXY,20660008,20642573,20517434,19319335,0.9945,0.9942,1155494,36
DSP-1001660022407-Y-D02,DSP-1001660022407-Y-D02,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,D02,A00728:1032:HNTG7DMXY,24981089,24957987,24799015,23327042,0.9944,0.9941,1951566,37
DSP-1001660022407-Y-D03,DSP-1001660022407-Y-D03,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,D03,A00728:1032:HNTG7DMXY,107645791,107574386,106858989,99653589,0.9945,0.994,6200226,38
DSP-1001660022407-Y-D04,DSP-1001660022407-Y-D04,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,D04,A00728:1032:HNTG7DMXY,14882319,14862780,14780093,13907269,0.9945,0.9941,1405349,39
DSP-1001660022407-Y-D05,DSP-1001660022407-Y-D05,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,D05,A00728:1032:HNTG7DMXY,23354020,23317910,23186625,21654769,0.9948,0.9937,1927670,40
DSP-1001660022407-Y-D06,DSP-1001660022407-Y-D06,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,D06,A00728:1032:HNTG7DMXY,36675935,36643119,36408966,34359435,0.9942,0.9938,2355054,41
DSP-1001660022407-Y-D07,DSP-1001660022407-Y-D07,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,D07,A00728:1032:HNTG7DMXY,32725660,32566346,32371579,30443339,0.994,0.9938,2169626,42
DSP-1001660022407-Y-D08,DSP-1001660022407-Y-D08,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,D08,A00728:1032:HNTG7DMXY,39235794,39199629,38951834,36610412,0.9946,0.9941,2797258,43
DSP-1001660022407-Y-D09,DSP-1001660022407-Y-D09,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,D09,A00728:1032:HNTG7DMXY,38760399,38712867,38468172,36191090,0.9944,0.9942,2962113,44
