Species,log2fc,qval,groupings,sample_type,method
Prevotella jejuni,-2.465669281462294,0.01028141590050104,N,Saliva,AncomBC2
Prevotella nigrescens,2.5132719851937293,0,Y,Oral swab,Maaslin2
Bacteroidaceae unclassified SGB1468,2.6444825728105887,0,Y,Oral swab,Maaslin2
Neisseria elongata,-2.251458808774864,0,N,Oral swab,Maaslin2
Streptococcus sanguinis,-2.9909662117506595,0,N,Oral swab,Maaslin2
Gemella haemolysans,2.0489144650289135,0,Y,Oral swab,Maaslin2
Lachnoanaerobaculum orale,2.529578118150758,0,Y,Oral swab,Maaslin2
Veillonella atypica,2.539381253252369,0,Y,Oral swab,Maaslin2
Actinobaculum sp oral taxon 183,2.2833449988055516,0,Y,Oral swab,Maaslin2
Neisseria sicca,-11.36744578069404,2.31122564585928e-7,N,Oral swab,Maaslin2
LKT p  Bacteroidetes,6.2192412879349295,0.00844494505909776,Y,Oral swab,Maaslin2
Veillonella parvula,2.2743190051048403,0.0826114747723212,Y,Oral swab,Maaslin2
Prevotella histicola,4.505635570563355,0.174576609958629,Y,Oral swab,Maaslin2
Granulicatella adiacens,-2.700515763170473,0.11031719941968064,N,Oral swab,AncomBC
Abiotrophia defectiva,2.29022771785802,0.00129215383998589,Y,Oral swab,AncomBC2
Bacteroidaceae unclassified SGB1468,2.25527915682597,0.00353079322033039,Y,Oral swab,AncomBC2
Veillonella parvula,2.0990735298542336,0.07545284938651131,Y,Oral swab,AncomBC2
