feature	X1525	X1522	X1568	X1552	X1545	X1543	X1540	X1564	X1536	X2043	X2492	X2502	X2497	X9712	X13165	X9434	X9467	X9450	X9463	X8007	X8095	X8163	X8130	X8047	X8071	X8059	X8255	X8235	X4482	X6936	X6956	X6952	X6939	X5868	X969	X15878	X16971	X16988	X16987
02-2020-30-OR	0	0	0	16087.7874909255	0	0	0	0	0	0	0	3695.06024418634	0	4336.42008500256	37513.3439796118	0	0	21111.0832764151	0	0	9214.89268063044	12802.3699837766	62348.4521381857	3277.14189629964	0	9649.36225021562	4928.12626072333	0	0	0	18107.0365381405	35299.6180774397	22335.8736821029	0	0	0	97925.303179075	76164.5844509944	0
02-2020-34-OR	1610.04113831155	0	174.282803631662	0	0	0	6224.38584398793	0	0	0	0	0	0	6950.56419245319	44537.555509015	0	24362.2461933688	0	142094.429637119	0	0	81053.9524604108	0	17751.9484270536	0	0	0	0	0	991.75214447541	0	0	22416.0882194819	0	0	19781.0982121936	142210.618172874	26881.0476649025	19278.997754112
02-2020-35-OR	46553.9281276421	0	0	9277.92630320458	0	0	0	0	0	0	0	0	0	193.290131316762	0	0	0	0	0	1338.53415936858	0	0	0	0	671.683206325748	0	3290.76448566787	0	0	11858.3495562834	0	57513.4785733026	55682.0545790762	0	0	0	64008.0269855458	5450.78170313269	0
02-2020-37-OR	144.273869213706	252.738756500269	0	14346.4274839701	7624.71829671858	2257.5227736677	309.82553928267	1947.17826363246	484.718682897846	1667.97199875126	8134.34757573966	6825.50333776496	19062.314712549	5000.28320098581	66707.9815642465	375.734824858716	31852.8678803224	11.4173565564803	1044.16915416538	278.168323376066	498.730893217163	14676.4928826029	8733.75879495488	6511.52603246175	6083.37516159374	133.375483409793	0	2906.23621437681	597.335336204948	4628.18117139507	6500.62764665784	13183.4140274668	172882.131948978	293.737445953085	134.932395667495	32489.1260229699	5656.26223223086	10958.0674404583	371.06408808561
02-2020-40-OR	0	0	0	9011.4887866444	0	0	0	0	0	0	0	0	0	9856.31586039231	246.407896509808	0	0	20205.4475138042	0	0	0	0	0	0	0	7629.84450978583	0	0	0	0	0	0	0	0	0	0	4470.54326524937	68263.787615235	0
02-2020-41-OR	0	0	0	0	0	0	0	0	0	799.529012126427	0	2631.41691353698	0	17176.6947110677	778556.751116034	0	20541.745388479	694.096614922942	0	0	0	0	0	2038.35967926737	0	2785.17249279206	0	0	0	0	0	0	17690.6776474347	0	0	95350.4242209016	0	0	122679.380179355
02-2020-44-OR	0	0	0	118149.269144035	72185.749787388	0	0	0	0	0	0	0	0	74687.1658067973	14752.6694781076	0	1506.53464805338	0	0	0	753.267324026691	0	0	8442.27906550668	0	0	3951.10030338528	0	0	0	56452.4115289437	66799.1777910462	11370.0728154972	0	0	0	174814.86953827	0	0
02-2020-47-OR	0	0	0	18835.9807308231	0	0	0	0	0	0	1524.19024894772	0	0	15791.3636656411	0	0	0	0	0	1870.42605858523	451.61192561414	109651.375539113	131686.27407637	1392.47010397693	0	3473.64839451543	0	8990.84075243484	0	5272.56923154509	22328.4462889058	0	60711.6965333943	0	0	17349.4248090099	3082.25139231651	4685.4737282467	0
02-2020-50-OR	0	1644.58459684304	306.840779329091	32938.8306443722	7839.664797057	746.89964510354	0	3344.50593728645	6332.98287871014	0	2576.23284095102	547.804482943443	0	5892.92401293569	0	0	31661.986523519	135.560382470772	0	0	0	0	1768.14071218357	5.85574006353226	8513.07490436321	0	851.717392240768	5955.87321861867	65.2915017083847	84.029869911688	0	29751.2585407884	4559.27921346622	611.632049635945	297.764382230616	0	27151.0171655769	3652.51786462825	0
02-2020-51-OR	0	0	0	4836.23995159152	34392.6294782312	2774.63766453488	641.493366360019	0	1950.7121698234	0	1637.11968775522	0	2291.72908948691	608.107094504851	912.160641757276	0	0	0	0	14689.959616274	0	0	0	0	0	0	0	5389.49817090574	0	382.749759482465	0	1734.89376961678	71775.7150212039	0	0	4616.84445082899	3420.90049830278	2314.38405967434	0
