feature	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1564	X1561	X1536	X2043	X2048	X2492	X2502	X2497	X9712	X13165	X9434	X9467	X9450	X9463	X8007	X8095	X8163	X8130	X8047	X8053	X8071	X8059	X8255	X8235	X8236	X4482	X4494	X5273	X749	X6936	X6956	X6952	X6939	X5868	X969	X17130	X15888	X15878	X15877	X15892	X16971	X16988	X16987
02-2020-37-OR	2676.82082230823	4689.2508649788	0	0	266179.981337729	141467.091803426	41885.5056728086	5748.42457164753	36127.4522492823	3591.56175079485	8993.34765480535	30947.1299384843	0	150922.624348414	126638.659910064	353677.358360444	92773.9878523014	1237682.99164992	6971.28876025596	590990.041765511	211.834741333745	19373.2499801588	5161.06460704033	9253.32665553312	272303.93113265	162043.948268436	120813.204523386	76713.062918452	112869.401723371	2474.61493285329	0	53921.5705213168	129768.036770676	11082.8085125064	3379.72700946111	62539.3929528487	1088.06026230514	85870.1010551971	120610.998633931	244601.724277324	3207611.28212744	5449.93016340452	2503.50148848971	1800.59530133683	172029.067666758	602795.014168928	44311.9763462679	113620.452169918	104944.856627113	203313.207421001	6884.6290933467
02-2020-40-OR	0	0	0	0	8630.99403492865	0	0	0	0	0	0	0	0	0	0	0	9440.14972570321	236.00374314258	0	0	19352.3069376916	0	0	0	0	0	0	0	0	7307.68733230775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4281.78219701538	65381.465555607	0
02-2020-41-OR	0	0	0	0	0	0	0	0	0	0	0	142.424433394176	0	0	468.748547269842	0	3059.77766247927	138688.53094899	0	3659.21236566575	123.643189430109	0	0	0	0	0	363.104049971965	0	0	496.137861384107	0	0	21785.460446486	0	0	0	0	0	0	0	3151.3362268041	0	0	0	5723.58409804946	16985.2875100032	0	0	0	0	21853.5424558558
02-2020-44-OR	0	0	0	0	250869.933426728	153274.196063317	0	0	0	0	0	0	0	0	0	0	158585.528708944	31324.7913986459	0	3198.87079793494	0	0	0	1599.43539896747	0	0	17925.7476789939	0	0	0	8389.49133798032	0	0	0	0	0	0	0	119867.120843373	141836.724059379	24142.4211164901	0	0	0	0	0	0	0	371189.724666036	0	0
02-2020-47-OR	0	0	0	0	37291.8027203867	0	0	0	0	0	0	0	0	3017.61840194937	0	0	31264.0168261224	0	0	0	0	0	3703.10208831812	894.109156133148	217089.703109128	260714.779018791	2756.83656474387	6236.41136402871	0	6877.1895925908	0	17800.2231166841	0	0	0	0	0	10438.7243978545	44206.2468611497	0	120198.074222833	0	0	0	0	34348.6934147818	0	0	6102.29499060873	9276.38249488141	0
02-2020-52-OR	0	335.022238989367	1158.32157097387	0	78613.5029888107	0	0	0	31701.4793643688	0	1363.25538737694	63150.8010329025	103268.823135286	14633.1655077723	2084.08781115992	0	23185.1427679317	17341.855950665	3654.05904812604	6764.59797448742	43710.6010055887	0	10679.7248843791	71741.9830231565	56335.4151126109	10733.1858799625	267.304977917048	360.861720188015	61706.4631355574	12916.1765329517	10745.6601122653	0	0	0	10884.6587007822	16375.9939637914	5495.7903459745	34632.9239555258	324894.05337609	61656.5662063462	4193.12408692542	12965.1824455699	1395.33198472699	14975.3158795061	0	0	0	0	195069.371701338	0	7485.4303982704
02-2020-53-OR	2908.09876748591	4582.36878711446	1210.10127193702	1982.72720659289	265317.669806682	0	0	15382.8192326014	811.183083026411	3683.69063663182	0	6864.65537720157	4030.7049719667	36482.4771947582	26441.305978722	3658.48019346647	20798.6156114176	22069.5185404005	1296.11337214823	47615.1123031298	50462.4094135699	37255.1031294141	1966.41456689766	0	0	6120.2058202011	0	858.638034867079	0	0	3750.42416265776	2503.24870959521	0	4156.75718779347	5942.24975079859	3363.36971170731	6224.01352735255	2624.85202368692	35367.2858265025	22892.565361387	81216.1841408125	1321.32381531359	50.4208863307093	0	1514.1095571663	0	339.599499109777	1032.14520253452	2202.20635885598	20675.5293300808	0
02-2020-55-OR	26205.0695227338	0	0	0	251750.781829055	47648.2950251019	0	4358.80393086772	0	0	0	0	0	2351.06718873858	0	0	140541.57194904	92355.8901379403	0	40826.4683250795	15293.1322848424	6336.68585155255	22114.9589848648	42371.455334822	2082.37379573988	0	0	0	42961.0880583469	0	1134.48321488338	0	0	3179.53848381789	0	649.342366413512	0	10165.566701784	0	363907.882289927	130704.408283143	4127.4290646744	701.588303941036	0	0	0	0	0	388664.992972612	47312.4282838535	0
02-2020-56-OR	2165.09271593106	32604.7027495325	167.63343315955	6025.14570047536	1004841.01827613	35699.7126173116	76389.796656336	27.9389055265917	14945.5898329286	868.865469401044	2494.49586133718	0	518.766838419678	85.5413403777129	210.749028107994	8703.4864586727	75317.0806540187	18811.8514631455	156.250916093161	440.468917993304	919.914333820001	0	0	1042.01769871399	709.510230471595	0	0	0	8860.08229952545	0	10716.8122803852	0	0	22603.2644205319	84.5065660989503	2728.00992357795	4015.26912635869	52446.8444695661	1909.50346907669	520539.061834439	2645.57290603652	19247.4914345046	6700.50837974779	2805.61799448515	0	55.5328862935959	133.83080671997	565.676605723585	203359.70498335	5927.1870687525	7.24341995133859
02.2020.043.Or	76.8574157328672	25097.4082825349	0	475.338881987507	491298.56670764	0	19678.9604733677	0	5313.20161825366	1157.01569089749	0	451.104561711378	0	0	0	0	15775.1576814587	0	0	0	3517.09228121711	0	71709.3536970666	68446.0293695981	92.0904170492913	454.220402889738	0	0	187268.632706337	1044.1529993258	18269.5616470231	0	0	973.527265949651	4652.29708386608	258.96102237921	0	228581.570890205	278852.552461857	0	2531.10165055402	14479.3139558365	13262.7510779748	5467.60885887014	0	274.886432846381	0	0	243797.261977861	809.080092647345	99.7069177075034
02.2020.110.Or	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14790.5227322795	1020222.18846745	0	1312901.80253468	0	0	0	0	0	0	388548.111777182	0	0	0	0	0	0	0	0	0	0	0	279724.411673987	0	0	0	0	0	0	0	0	0	64344.171886413	91550.0969122117	0
GBM.BM.277.Or	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25315.7849352049	0	0	0	0	0	2029.62171393356	0	0	0	0	0	0	0	0	0	0	27127.4606932798	24566.5957119408	0	0	0	0	0	0	0	0	0	0
GBM.BM.298.Or	0	0	0	0	0	0	0	0	0	0	0	0	0	654.475076250868	0	0	0	0	0	19694.3438114932	0	0	0	0	1378.18603881171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1408.23180079528	0	0	0	0	0	0	0	0	0	0
