feature	X1934	X1867	X4837	X9226	X17248	X17244	X1836	X15342	X1814	X2303	X1871	X1812	X1855	X1830	X2301	X1877	X4868	X10068	X2318	X4933	X4198	X1815	X4608	X15286	X1790	X14861	X14809	X4938	X15106	X1949	X4581	X15300	X9712	X4532	X1844	X4874	X4584	X5090	X15271	X4826	X2290	X9283	X15078	X8071	X4285	X4041	X4951	X4540	X15132	X4820	X4303	X15452	X4575	X1861	X2295	X4811	X15249	X4914	X2325	X4262	X1965	X4749	X4910	X13976	X4716	X15346	X4993	X5082	X5087	X4577	X5089	X4925	X15254	X15154	X2328	X14027	X5792	X5062	X4557	X5825	X14853	X15120	X9262	X4644	X15234	X15126	X4670	X5075	X4046	X15143	X14797	X4705	X5111	X4936	X5190	X5045	X4940	X4721	X9260	X15265	X15124	X4652	X5121	X15236	X6754	X4552	X15350	X14993	X5043	X3813	X4643	X4959	X4768	X4871	X14837	X4166	X4714	X6747	X4121	X5051	X79840
02-2020-29	1130186.50647996	30857.8654508389	418910.19536867	985584.408163734	0	0	0	0	930171.183194537	2681879.58478532	1503580.71034001	0	162315.48204493	0	0	247760.775899762	0	76409.8848233856	0	92203.3626456142	0	0	75482.1673273446	119731.494988537	111981.711838165	105106.55248963	49403.2084056775	0	44857.534890329	569685.383737759	1905.21033039791	74383.7915285061	2433.30296738802	79644.8077630809	0	60967.6786744153	0	1333.5050160262	79777.067947749	51277.1313805625	0	0	32758.8093236668	28206.0250457018	313097.307125794	206398.891911736	5889.13359903787	0	30116.923986193	33348.5285700005	3413.16605595047	56803.1420353146	0	265754.797726397	0	83457.5986780822	26572.4458472566	3864.4624566817	0	147018.809504179	0	0	876.994056042829	4814.46034225458	5673.44046633545	0	7034.4404311457	18667.6480718435	0	97283.7655097283	16923.14097658	21456.4891700597	0	0	0	0	0	15009.3977310422	0	51998.6367607232	36471.5755111952	0	0	166.86589606869	0	5895.29625997223	0	0	1091.26503622194	4250.81389218165	0	41737.8063050221	0	2426.19220477146	1724.5969599372	561.27619586741	4620.57354824295	33289.7462657036	0	0	9204.17113087977	0	0	0	0	0	0	0	22504.6155797412	3046.25070493579	0	0	0	0	1149.09923883666	7592.39827112538	0	0	5760.19177025752	0	0
GBM-BM-396	520650.254813707	10186.2431392046	76658.3557738453	0	0	0	4434858.4609914	166800.327602567	572808.843649026	152524.165550361	339821.78356532	0	99.3663487123905	2365947.73979676	123146.70328624	211986.578481435	0	151031.285527306	876777.658737336	14078.2242855715	0	43522.460736027	24985.4696510332	676119.638939903	29861.5751150476	1202118.9830375	3671.78531762025	2976.22087663352	587823.496404863	1178503.17913711	26757.3703812725	79574.9568412514	0	16910.5626892695	0	172057.999845637	0	5051.78516853793	231110.228489226	35702.7265577568	797908.600437337	0	283360.23436536	153.421642411931	166631.007344361	0	0	4967.52250482983	218225.195318993	20249.2720060058	484405.385457376	138084.247755476	4525.54098575711	40453.2329569987	381196.34130758	64418.8064048479	26355.1354016848	2183.67487930349	13081.3810752888	1823.57123156979	85610.0713966472	3643.16780919109	0	85749.1842848445	1535.01135490901	0	127630.907870933	37671.7701238415	0	0	59762.8967695801	34264.696759191	0	136927.623456464	0	146343.57866045	617.661223596219	78682.2495644193	934.83860868617	27174.7090458646	35895.8947396536	133661.25284159	46754.6493269437	10061.4390052218	3600.24154654733	40353.8666082863	5267.2114125464	0	489.67736645466	145362.634065961	71610.5452592559	7149.60752255392	0	9762.54502829494	0	4373.70920492458	266.301814549207	62336.0877358362	91835.9693415707	0	22448.8455011033	32480.8720671062	4245.72534778302	0	0	330.691208514836	7013.67435751537	19707.9241382207	0	7784.75722352352	2436.46287042782	2282.24629722619	0	1608.14498756133	6336.39332469172	147.062196094338	0	0	2210.70252615326	0	2475.41447912307
GBM-BM-428	193659.267389348	0	68685.7629919062	368960.781989901	178640.299587906	0	5146358.6623726	383014.284465834	254934.318869742	3949166.35597624	163742.362742255	0	162607.175846555	203642.234501533	928045.89276379	32383.4320565004	19707.1783878505	308870.999180017	534063.699614502	4479.53652469848	513855.703478549	0	1316.0377491816	293555.714210947	127153.452762101	3865714.81637776	765835.197634484	0	3665465.62211963	467769.341369788	5585.50905175913	338678.00215461	0	26245.6323214166	0	470700.516356601	0	2428.96607829924	1182009.18166638	41156.0896107701	0	189050.35294639	226024.6143605	0	147986.079922772	202598.864192986	2897.78713694004	0	32920.4199752996	18507.9981132263	69830.688010486	350238.54517332	0	354332.730264061	731858.886906934	40353.390053394	280734.779859512	19228.6192063299	0	0	49176.1293824741	0	0	126928.084775455	221.19450541213	18573.3826525619	4472.5807226415	2933.95730763636	0	0	34076.4742771706	17883.367088509	331712.461974745	54263.6030069531	335994.453721025	0	0	108770.659085901	0	54167.6129385667	150936.731155345	0	3932.81048301944	0	0	0	19928.3728932626	367.26634860882	0	27620.0988078769	82429.0366960976	0	0	9778.46653170982	702.536007755507	0	0	0	0	39424.0948985808	12665.1243853587	0	0	0	0	0	20163.4790027888	0	511.947031394112	32521.1569372287	116.857474557352	0	806.873038610285	0	0	812.437680255873	0	0	3265.05348554886	0	2676.59263152791
01-2020-64	157828.410217378	0	86209.3402700435	279149.833142283	75617.2379664882	0	1736576.01058089	395939.910777446	2301854.16911508	83667.3768393793	236153.871193531	0	0	0	90068.1501274883	269177.345450123	112793.232636532	7380.2494816387	239296.485941434	338915.96222807	83580.0574848908	0	25917.9720368035	360406.225582731	37598.4792235787	263410.298992317	3878.21415844223	0	143937.135737418	191266.871911211	0	128225.385018425	0	183810.769252946	530793.187607018	440533.640510601	0	141839.26619549	13658.4228679912	29573.0367337752	25317.3207195647	0	4481.07050988532	56193.0916612132	113987.479161556	0	4065.64206580384	21502.1705393641	0	293917.388215014	55950.9789055861	30431.6770529118	23815.6924264676	211716.800128305	59611.335684648	47165.2406221558	263489.239216829	20308.3650211809	0	88790.1123027026	0	18596.376464998	2267.21616881414	80339.9802251598	2441.41387095021	66204.387955368	2592.67921736205	178201.603244164	80638.1008495749	41152.9943608364	2476.25341137743	58600.9890122588	0	18723.386435163	23196.9598287538	7767.89449474658	0	181928.552056194	121709.508944854	0	1040.33513756712	0	25853.5850380393	102237.733900767	97315.6565500309	0	93350.564043941	92543.0805183432	454.237046076359	72.7661287403875	11276.5449205558	9855.62087933443	0	6015.77431604622	970.656056712685	65241.2290149498	5215.78790674281	12399.7893442029	0	20258.0902413239	1872.07403941179	45177.6227904411	0	0	43936.188533446	0	52.4798140612492	2167.54862278185	851.143202842109	4029.03849801322	0	6358.87763822817	0	0	381.02991049512	9528.39380342311	1730.06983665782	4640.27397943247	5216.22891358366	0	0
01-2020-12	975559.937397139	0	1636.65439523905	0	0	0	26819.8116798369	8560.5594836546	61580.4280180559	0	0	4855295.16649228	0	3277507.02847662	0	0	844214.764267082	0	283647.047366967	170075.146679717	0	0	83582.2468741048	11977.0494057724	0	433793.888805037	0	0	432303.550894686	641690.801710365	0	3255.5417887418	0	0	0	115351.736214128	23965.5951067859	2960.81858346886	968365.346811682	0	0	0	125887.568243761	0	0	0	4108.35787208475	0	57171.0762342031	16266.2126484678	225222.874951479	170260.132521325	14110.134731879	752925.819110415	0	24532.0489268495	80421.8108005397	0	0	0	410876.546800694	0	16536.8981455093	16822.2152910395	0	0	0	0	0	7650.26192410592	13177.8896995972	0	51439.6504976188	17609.1889561832	0	0	0	241945.804056345	0	0	12229.9679010775	0	247518.371895052	0	180656.963890314	98.241068424311	0	0	0	118071.132597533	0	3078.91688912788	0	0	0	0	0	42025.229812872	0	118904.091443641	19857.2372347012	0	0	105175.424690219	0	682.461890224203	0	0	0	0	0	4419.8029613448	0	0	838.184434854228	0	0	0	0	0	0
GBM-BM-Kit-259	312078.018289365	1705.27110615977	147585.136156571	10925.0959795302	42671.5408043711	178371.357704312	684464.238710233	95371.1209157715	390830.414527652	1030635.63656868	606803.170536288	0	9084.17572608496	79798.9623562041	0	192340.266040687	0	1829.55935333757	191319.375557012	86189.695884765	515963.231019456	0	59467.2683055335	46260.676366383	43622.6753613844	358829.712758401	326.739487096303	12074.3646344211	505058.130224115	313374.296991649	65474.4578464598	24299.3748042697	0	120293.300263943	0	96257.9527781755	100.430356951715	250542.157292229	21570.713816412	95202.2979401717	185684.369103613	20488.7016901584	0	0	0	0	37648.4324307703	16576.2349110825	0	156773.832163646	66347.8838467368	47177.9554410755	13818.7172369512	78067.1067437924	33962.9564358454	178169.133682396	9678.35080171558	37700.9197892677	0	150960.686796559	36617.3171369991	587.81297157033	24228.4827875979	206007.201652199	1272.64803006008	9085.99347010219	7666.10817464684	69445.7740880935	87907.4639810432	35600.5165773635	13554.9171364513	73235.0887100024	24623.6148933424	22729.9800633976	60138.2430658919	18061.5589911579	0	127741.960810529	781.175491402704	0	5085.13888818863	12148.6649211252	5697.94583999581	4022.89472812242	0	5869.26821361933	20346.4632208105	2020.64969314841	4447.3379561446	58.6222445555258	4138.32147321624	42417.0566419595	41249.3833288942	34357.6341055855	883.196374369491	0	4826.79201974044	26212.3231643975	0	15040.6956525311	0	15302.9052270159	23250.7637243327	0	4007.21668597385	5584.56405692137	967.948689172635	8614.06167962999	4630.02122987577	5668.63471771805	833.208413895787	15087.956996979	0	7518.64369124941	978.855153275989	0	0	649.161832151694	0	0	19.5407481851753
01-2020-22	717805.441765039	227123.574620645	301101.488640111	22771.8517096233	585799.82563077	172428.040033721	1170201.04677932	2902352.80538408	385722.874581376	1709706.14592753	564528.795886312	345241.078850512	0	1387564.3819805	111153.861694108	0	0	2675.40489793472	650063.406285989	24250.638768285	34491.3615656645	568487.122007324	1733.41264492133	82556.2255373231	0	315028.773711629	7655.29376766633	0	17914.9910678681	583193.585856026	65715.4361614878	22807.3523923229	288.902107486888	46299.0110477186	0	14852.7511446543	94507.7139923845	16665.7342852818	252370.068746729	48361.1110479799	0	216467.249003385	233937.257376035	28.7677946014486	0	45953.185431765	561949.487663961	2325.29471682773	178090.398924317	151628.924536874	6775.12166900925	34589.2944834566	24647.8791660794	337498.257537569	0	62493.4431661256	2911.05598137212	11007.6599598394	0	0	394134.088058251	25766.1506711187	44470.1138079499	55071.3521589518	16573.3100941154	185841.789367567	8722.15049086473	13776.1011296767	0	1862.56168025975	1599.3669636933	118349.482828887	0	30583.2260650209	185050.981056395	0	66789.6378535206	56929.017193322	0	13042.2163269716	17231.2968855315	26993.984627938	23726.0855773607	0	0	0	0	3242.19165965688	4058.09528101286	120399.341214424	23328.8451795662	20988.8605250697	0	16410.4966182859	0	0	0	12650.484655803	0	0	0	0	0	0	0	0	11053.5660150545	3800.40929107222	7289.26948741811	36933.5637031066	1162.34131804576	0	0	17158.4592779236	2943.49626039077	0	0	0	0	0	0
01-2020-29	352489.936391762	0	261288.90327337	0	41969.7176558615	7983.2156397984	544431.790382512	820821.183535724	1275752.83648064	1572454.92267427	664848.15819675	0	833596.366068578	513930.702500462	487852.282973337	0	50337.9376336881	125743.180865965	634077.524829973	204155.448056998	0	0	206056.274325675	598289.100636479	836086.796555029	194020.113350162	16739.4113232015	0	313087.904778605	0	44018.2633397913	40613.5006106573	3400.09343727257	38448.6471112702	0	79868.2372896404	3070.27163942478	70464.7079618128	28271.7132587597	77087.8862267022	0	0	40931.4369383123	44157.9176145556	409427.281349954	190.592004161721	33278.0430963617	8312.18847548957	112007.397652893	108067.788765087	209182.577467437	69369.54677977	12080.7314887362	0	152520.296247991	84482.346610883	306527.549713306	3664.96963013875	8605.9293816809	250718.050980186	0	0	7395.30934633741	73195.819219667	16425.2953252512	40807.0639823672	38910.0580433945	5609.51744988227	0	37623.4558950333	14553.7582509772	6678.78528614814	17843.9110889672	9279.15637188244	65768.2493113779	0	0	22869.3425750932	0	36359.3512438226	8860.61802866761	52925.1498059948	79672.9759936173	369.72301920904	0	92864.1499832156	24287.1093766526	13540.5219170484	3094.89154196683	3160.68610910506	0	8536.31448483787	2417.84422206049	3162.80851449662	0	118.43022084882	0	48309.342560439	0	0	0	1701.74464294953	672.378028044912	0	2574.90222103563	1744.61723185896	5600.17886615942	4402.71774424358	0	5113.2990693365	7157.59994248315	0	172.763798872651	0	1858.80264192467	6233.50463499971	1659.72101619672	869.337248381301	1233.96649465061	0	0
GBM-BM-260	123387.857221346	12037.6196715892	617709.193326018	74258.1527904556	0	0	689281.693199188	666227.783901598	1777283.89950788	138214.586092813	321028.453823012	654862.630066857	0	760061.429232496	5132.51429858945	0	166085.828921096	0	94296.1911524864	149067.270434715	216552.645655486	0	87947.4640434261	271988.972894382	50911.3178555266	422914.847475662	8922.50288354341	982870.172534722	140918.885200566	245928.215011459	161850.737724991	31585.4436713382	16163.8411749671	75326.3990572194	0	24732.6679296496	0	9699.02649299835	2371.07363940462	44005.0095024967	21410.6385764198	0	34708.3798295799	2076.34353202048	155632.5339492	0	409272.452443867	0	9738.12334397788	209612.653861612	10983.2076751721	20220.2898365969	14250.5014370305	176801.975029577	41366.8742964011	117506.487853995	20585.9957657593	13147.9702394078	0	0	1863.41606668582	363464.175876192	276648.716041127	233129.710470806	22993.7602960832	0	27861.0174980269	189599.878080215	0	13630.9667215087	236878.19624472	50280.3548297185	18681.0768880337	6783.60438995568	7781.47632495626	181627.729420481	75556.769732991	76649.0756003576	32718.0493697144	0	40574.7119465544	11247.2617917877	50314.0382705624	10799.7532205758	255.633256404608	12854.4431120538	2668.8111968641	0	0	2804.74794026985	5768.89073453316	49342.0304062098	0	58532.1963464592	17258.5530023939	0	37144.4143906121	103743.794819186	39335.0410254958	0	1258.91860154081	0	0	5049.50867650984	0	22202.8009262665	0	180.447004520899	2402.95261020331	0	12126.6401938195	22874.0637830843	20942.6793446956	0	104.659262622122	0	12672.1916374877	0	174.432104370203	0	2555.12958401594
GBM-BM-430	293768.936811648	0	60024.5113998542	748346.548643105	114587.896560957	0	1064824.90291298	808696.833344413	1011237.79684697	0	195487.399080979	0	103108.290719465	522924.434152801	1528526.24880369	0	0	1343151.35258829	1251011.63035884	421913.374112025	0	142869.806849807	135571.131845186	0	71440.1074712524	508015.882171883	106246.330667976	0	165756.682288538	124030.118256774	0	0	0	34354.5119736209	0	245840.19034102	18918.2696929037	0	87126.1439767266	0	0	0	338028.310201522	4539.48963032485	36273.2438625361	49339.5634358705	52682.1224059011	4749.2126981938	368576.062270772	98677.0452532014	157903.776347738	403836.598713772	0	0	0	0	68933.8387495231	0	0	0	0	0	5446.03450433905	4140.85967998335	226922.961457386	223059.997852445	214124.129866396	0	792.055854333878	46105.7690345363	73903.182608284	0	0	67376.7880818707	0	6597.68996139613	0	19601.5609785413	0	40299.0941182042	49349.4511239338	123634.610734242	0	0	0	71649.3101344864	0	1345.24598124381	31864.3757955738	120209.307427261	0	0	0	13882.3140408742	0	0	22847.3246864785	65910.2878206927	0	0	53863.961331783	1748.55957329949	0	0	0	5318.01496415105	29829.5936730735	0	0	2809.66462388213	16317.8077322556	0	0	0	15351.4163252267	6734.5563803776	0	0	200.355784440567	0	300.273474343395
