feature	X1934	X1867	X4837	X9226	X17248	X17244	X1836	X15342	X1814	X2303	X1871	X1812	X1855	X1830	X2301	X1877	X4868	X10068	X2318	X4933	X4198	X1815	X4608	X15286	X1790	X14861	X14809	X4938	X15106	X1949	X4581	X15300	X9712	X4532	X1844	X4874	X4584	X5090	X15271	X4826	X2290	X9283	X15078	X8071	X4285	X4041	X4951	X4540	X15132	X4820	X4303	X15452	X4575	X1861	X2295	X4811	X15249	X4914	X2325	X4262	X1965	X4749	X4910	X13976	X4716	X15346	X4993	X5082	X5087	X4577	X5089	X4925	X15254	X15154	X2328	X14027	X5792	X5062	X4557	X5825	X14853	X15120	X9262	X4644	X15234	X15126	X4670	X5075	X4046	X15143	X14797	X4705	X5111	X4936	X5190	X5045	X4940	X4721	X9260	X15265	X15124	X4652	X5121	X15236	X6754	X4552	X15350	X14993	X5043	X3813	X4643	X4959	X4768	X4871	X14837	X4166	X4714	X6747	X4121	X5051	X79840
SRR513158	0	4243658	28783	150063	0	0	14719602	1749483	14670049	1260874	0	0	0	0	3741692	0	43828	4443	7930462	2019663	121853	0	0	0	0	1353473	8418	450283	97046	0	42393	0	10362	54	0	215899	1000	43286	49432	5067	1214319	0	713279	0	0	5591	126172	2341	64562	18833	47638	0	35631	0	635486	10573	88117	4123109	0	151891	0	13484	598	40684	0	0	989733	202634	61741	0	89258	2559	0	19913	339109	110215	350915	81164	158560	0	15388	110840	0	144326	0	5851	9781	0	14941	201964	2885	80478	683117	41562	0	0	933	709302	515801	0	24192	0	0	652382	625	0	18359	3638	0	1995	8553	0	0	0	10051	36281	9358	449	1055	0	5769
SRR514242	572103	185724	271947	184581	0	0	14530975	840777	9000085	575653	3320251	0	0	3262035	801379	0	40080	5004	3169956	2951676	1582366	0	111879	320611	553978	2330051	763	1826	1464538	3732229	25349	281415	22968	29672	747479	57331	1028	17927	26735	6545	0	0	86757	2225	0	2226	939926	180300	7877	25465	40025	23372	32486	2906573	3725028	49749	1377956	822054	0	121592	0	104337	0	1207704	17199	0	845916	872641	0	6299	719273	293842	362355	43205	0	0	602911	150817	27373	27955	24276	0	0	819042	80934	10611	2212	0	5081	21342	5118	91432	24047	11998	46232	103015	142757	124682	0	515	0	22817	0	50737	27090	10345	108397	17103	2101	6556	189301	8524	10055	128166	12365	4625	82656	0	17641	0	8487
SRR059896	156983	13506728	39785	0	26503	0	875828	95632	11020460	0	0	0	281280	626551	0	0	0	21528	8596	105089	0	0	12758	74868	0	2101	3306	0	0	0	19698	8491	173	2117	0	2843	14881	0	9737	7176	232648	227418	8018	0	56456	1643	261963	6115	13700	0	181	5393	5557	0	0	54	0	5202	0	0	0	0	0	0	0	0	0	0	0	5388	35086	3544	0	240	0	0	43112	1437	0	25276	6273	0	0	0	0	0	0	0	0	1026	0	708	0	0	0	0	0	2837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1681	0	2479	8802	4189	0	0
SRR1804717	73249	67545	3176	1736	0	0	172865	112766	1223080	28134	22852	0	0	125444	3559	348811	736	6655	692494	84585	5024	0	12456	31478	69900	131839	0	7971	57408	545477	5288	77291	94	0	3062	14724	0	5862	5756	901	14686	149861	23635	0	0	0	3689	805	0	261	0	2812	3184	69760	289449	579	101166	154880	6401	26935	6945	1310	136494	92753	6069	18743	0	37863	299	2175	1015	0	201055	1000	9347	9730	375137	24073	1622	0	0	0	95	0	0	1612	86	62683	0	6232	0	2374	39558	385	4065	7977	12067	0	0	0	2376	4716	0	6986	2834	0	0	0	0	0	0	165	3768	7774	0	0	0	0	1115	1172	0
SRR061143	2034771	5682	28896	0	533	0	1643745	958	12432209	410741	9421500	0	524055	0	0	0	6950	0	489673	78419	298314	0	14938	197037	0	158939	0	0	10403	0	0	6920	0	948	1680889	0	1913	795	11163	2810	0	0	96110	0	255396	0	201418	1169	19597	11883	2239	0	2679	0	0	301	38787	23985	37874	0	0	0	0	29315	5128	15799	132768	28894	0	7304	28538	0	124813	24033	0	25399	14837	13369	0	0	5234	349	0	29955	0	27522	251	56415	1626	22478	0	0	0	4793	0	10955	6424	7122	300431	586	1370	0	0	0	16410	2991	3826	2430	0	0	386	3927	0	7980	0	0	0	715	497	9151	0
SRR060035	351037	0	45991	1347995	0	0	2450641	0	11266754	0	4798959	0	0	9127593	0	0	0	41498	0	79034	0	0	181759	0	0	8121	4387	0	18336	0	22105	0	1546	60556	0	28162	7027	0	119646	11668	0	0	190571	0	0	0	0	19592	43751	7555	9076	0	6227	2753294	0	6417	102181	5352	97	0	0	0	0	773	0	0	0	0	0	19372	7396	3279	0	3085	0	0	270886	33885	0	17400	1657	1391	0	0	0	0	0	0	0	9429	0	1342	0	44608	0	34943	0	11278	0	0	1645	0	0	0	176	1396	632	0	0	0	0	154	0	461	0	0	0	0	31827	0	0
SRR1804676	258	0	30161	130506	919	0	1281	1412911	10423158	387065	665	569	11333	738	68206	835285	70574	6961	814905	163032	2225	1190	273455	660357	132271	855073	741	2343	1577472	1144	59803	293428	39	9932	0	100100	1629	95600	139763	12114	0	0	27325	0	437099	0	32948	8764	395	133824	79183	0	44079	880916	0	5942	244396	421727	50086	1624250	0	417	5488	1294191	6271	0	96022	80299	0	29439	65760	45848	10058	41071	0	4148	0	187763	0	739230	110074	0	147632	103926	0	0	0	63512	1762	3184	4867	58475	0	2190	21702	0	25116	125372	0	211331	13826	0	0	95342	28792	7695	0	8754	788	24257	0	40577	9964	50226	2602	210647	0	0	52846	29174	151
SRR514839	0	0	22329	632243	0	0	1517208	1588772	10025565	143048	2037186	0	0	1507866	2805638	4458625	35819	29678	4461450	594423	408334	0	238991	68861	0	4688273	8552	2629	2693699	2781685	37921	1132024	0	2551	2309238	203476	0	28842	93385	33304	1404300	0	205758	0	1674194	12442	0	7811	5521	83371	158973	468346	0	0	4147166	93356	2007642	361551	373449	188355	0	0	0	9822932	0	53197	72621	564578	212354	105874	39019	3998	458165	45970	0	302041	0	159463	0	298867	5665	37294	33256	16946	393315	3901	0	0	25540	112047	14237	4288	0	3885	0	0	2521	72881	0	0	34406	12713	375920	308734	0	0	2732	24436	0	1726	49	9423	0	1993	5809	189407	0	5742	18124	0	1653
SRR059854	2375440	68292	16956	0	8137	52123	3707505	393293	9518842	44779	163120	0	75571	0	11874	0	22632	17563	1964715	372186	2372	0	32924	52566	470575	383324	0	31975	125696	0	13073	924	38	2072	1670621	7364	0	6529	5944	2316	246855	0	36695	0	232143	2032	4038	1593	669	19751	15134	32673	4691	25122	591231	13466	208157	5407	62400	152373	0	0	109021	1496103	261	0	46331	27012	3374	24663	678	43341	17295	11231	174	606	171377	10167	25614	20957	52	0	91128	24268	84	0	8080	15607	2092	7131	1688	0	95647	671	0	0	4076	9309	0	0	8817	12050	19601	834	7603	1049	1686	1054	3681	613	1506	0	3223	0	0	11322	0	2722	3238	1889	287
SRR060370	2482779	0	608	25525	0	0	0	227516	5220252	0	2039620	0	22015	0	840713	1305679	135	0	810155	13797	0	0	0	6181	60995	527441	0	0	112562	4202082	0	29710	1223	0	9138988	4898	0	39945	13176	0	119994	0	47910	619	0	0	115813	2278	0	3468	27929	0	1881	0	891826	1262	3434226	7858	9896	141955	0	0	2604	419904	10806	611	53575	1067	0	0	75545	0	456616	1663	50566	914	0	30844	0	3893	0	0	524684	146346	0	2278	0	64481	0	34998	0	0	0	24842	17388	5858	0	8297	0	4833	7382	107	17931	6897	0	0	0	2897	0	3526	269	4923	0	0	0	0	726	0	0	0	3237
SRR060358	252608	0	76893	380	0	0	0	1569	6484736	37272	8803068	0	75071	0	1493	2058972	0	77049	53397	237999	0	1318262	92756	2491	165236	9512	0	0	5300	0	2021	0	0	10717	595439	1625	27691	17742	0	175	4709	0	0	0	0	0	4684	1022	0	1512	4126	0	21793	0	0	5211	1387	453702	0	50559	0	1470	140898	29074	624	0	3424	241326	160248	2773	2723	29095	10517	0	0	1250	0	61919	12189	0	0	0	9407	10152	398	0	0	296108	0	323	0	0	0	17793	8711	0	6184	41157	8006	0	0	4602	47394	0	4856	0	206	0	4939	0	4145	995	365	569	0	416	0	5239	3601	38875	0
SRR1803906	0	0	35844	0	18793	0	0	0	8335022	0	0	0	234747	0	0	0	0	57249	0	30658	0	0	39045	0	0	981	8616	3153	2601	1112307	0	0	0	5086	0	102201	7030	0	31583	30204	0	0	0	0	0	1320	1583	34054	289141	686	1360	0	0	0	0	0	0	12638	0	11309	0	0	0	0	46253	0	0	0	0	0	18022	96896	0	0	0	0	0	4568	886	13978	0	0	0	0	0	0	13557	9602	0	0	0	0	0	1599	0	0	6964	3440	0	0	0	0	0	0	0	0	6637	5760	0	0	0	0	0	14919	4811	0	0	727	4387	0	0
SRR1804055	215583	0	1046	0	5141	0	822530	533182	8091348	34056	358431	0	31696	721413	31425	197073	1340	0	281393	117155	44430	0	27428	96238	100237	232031	0	17490	155933	154688	504	71798	241	0	0	10271	18941	0	7694	1687	54518	86185	35166	0	17631	0	90478	0	38295	4145	4366	13767	134	131076	42407	0	11887	54691	1563	26293	145448	12999	6785	20010	10052	0	58100	0	28016	1711	43614	195261	88703	2450	8896	0	117600	30763	0	0	13854	6351	360	2538	0	1989	1250	0	3457	4787	0	20686	0	1195	0	44978	297784	38109	4927	0	2187	0	0	29514	6974	0	0	0	0	1333	0	1719	0	0	1453	25011	0	26679	5354	0	92
SRR059344	202037	200198	53866	0	0	0	0	22983	0	618182	616760	0	473357	7963384	324776	0	0	0	504863	10700	0	0	32091	0	0	24595	0	0	86536	0	7705	1364	0	0	6089220	0	25562	11968	5482	558	60319	0	55813	0	0	0	85286	15283	803	1636	8064	0	3101	2887245	0	0	21002	1310	0	20845	0	14709	0	12764	608	0	31778	49433	0	0	0	0	0	0	0	0	15139	16515	0	0	14274	1652	0	0	0	3518	0	0	8159	41504	0	0	0	14769	0	2414	68377	3873	0	0	12189	0	0	0	0	2412	0	0	0	11823	5416	0	0	0	5703	13977	0	1552	3795	0	3147
SRR061164	0	7814771	5896	38545	0	0	2181307	4852	5430337	0	191640	0	0	0	48876	0	13998	2123	0	32419	74636	0	5127	6671	67588	64665	0	130878	25341	1279298	5152	0	1330	2764	0	26117	3102	2258	243	6902	0	0	1665	0	48663	0	0	809	0	11919	1542	0	3977	1062325	45126	5110	8311	282585	2302	183210	0	0	164	199771	115	626	19508	0	0	1983	2291	37926	0	0	0	8421	0	6927	0	15201	1519	0	0	18993	283	0	0	47622	0	4154	0	95	0	15403	0	0	148432	5768	61496	0	945	15241	0	0	0	0	718	0	0	460	9634	0	0	25905	0	2773	0	1699	0	0	0
SRR061494	4325149	3476520	10740	5349	1920	0	0	20902	0	243530	4677081	0	7083156	0	19255	0	0	20316	180125	0	0	0	0	0	53158	5740	3787	0	10433	0	8279	0	0	3978	0	13485	113686	0	912	9308	0	0	19980	0	0	1918	65851	9491	46609	604	6603	27855	2986	1608901	163543	898	0	20344	0	0	227080	48285	0	0	10158	0	0	48618	0	5907	11337	34534	0	15310	0	0	24591	78144	0	0	0	1550	190693	0	0	0	3569	30036	3489	8023	477	0	0	1613	19413	0	17496	13021	0	0	0	0	0	0	23305	146	7586	15806	13191	0	0	0	0	0	4378	1651	0	3555	0	0	0
SRR1803879	583200	261133	6323	0	0	0	101985	69720	383903	225036	56901	0	310597	172780	625310	155292	0	0	542029	7303	0	0	6875	4786	357796	21893	0	5445	75684	1030434	2303	98166	0	0	0	0	0	0	1415	0	1586	125901	7322	0	16048	1095	0	0	0	1411	461	10116	3575	155887	37839	0	8225	6691	5129	0	73771	2611	14671	3083	935	1974	10219	2115	0	0	326	1544	182196	0	7193	686	0	4566	0	0	0	4367	0	2004	1281	1101	0	10999	0	2011	0	1393	4057	0	14381	1684	90166	2049	0	0	470	1562	5298	59	1780	1280	0	0	1298	0	0	0	65	1259	0	0	0	0	0	0	173
SRR1804615	613467	2022	32111	0	8347	0	544960	119700	315805	1224365	6715054	0	0	1433088	12549	0	105	536	3005085	173886	4163	820615	120359	12974	0	45801	0	11061	456167	1939	17093	149880	2076	368	0	1365	3338	1740	88275	6903	281038	0	58586	0	0	0	0	1273	89538	2873	47536	4851	7559	4353080	0	1413	407	122793	0	265	3103193	520	4520	1390	16152	0	42338	0	0	3238	0	5135	0	17342	261937	0	0	13283	3089	1146512	16646	0	170337	0	658	0	773	0	0	24747	728	8706	0	7269	0	5188	6737	23752	0	0	7612	0	0	0	2173	0	6023	0	3035	0	0	7499	3972	21692	13634	0	0	1960	1318	0	0
