feature	X1525	X1522	X1568	X1552	X1545	X1543	X1540	X1564	X1561	X1536	X1468	X2016	X2043	X2492	X2502	X2497	X2483	X2479	X9712	X9418	X13165	X9467	X9450	X9447	X8007	X8095	X8163	X8130	X8047	X8071	X8249	X8255	X8235	X8236	X4482	X6936	X6956	X6952	X6939	X5868	X969	X17130	X15888	X15878	X17167	X15892	X16971	X16988	X16987
01-2020-22-OR	70076.2878594184	11661.8652979644	16182.8957047377	50307.4635418865	41036.8504279835	31793.4609952864	0	17091.406926376	34550.6501034642	6989.5218723956	968.02345497218	760.363747169123	6437.45094189479	13264.8969447856	2531.80235214765	1948.70908724943	6882.5264741678	5288.35835146019	155412.398698035	7152.23085076568	4859.1105408185	1529.59101845179	5308.61783514829	795.817843623303	69934.4714736017	18663.4162387998	15432.0285905474	3337.749937615	8087.33264474469	44234.0501975123	2738.1958422202	12005.0103029316	0	215.89012305135	4453.92086705643	25294.5984934621	125639.821200637	226699.190707818	21255.9970420118	14341.182015716	815.444218446153	11865.7263525759	868.625363127424	12138.5962735001	6218.39527451717	719.844779792916	232350.320439068	75283.6082761262	6153.81817026134
01-2020-24-OR	0	0	1880.94036723394	127191.206932157	0	0	0	0	0	19425.6640550832	729.19159365928	0	7196.93405721359	59964.9772184691	6875.3418671895	522.026392178644	0	16419.898911579	25670.5356520627	0	34761.8720751624	6057.15150466309	149092.382961611	9052.44620477121	0	19640.308144704	4695.24597435175	0	1619.17928233061	0	814.450918456365	5250.92736316083	0	32702.9341701942	0	0	110051.838981501	0	16798.3306514678	0	0	0	0	0	3179.27534835446	0	3016.9834757144	6515.60734765092	0
01-2020-27-OR	0	6596.70223705855	13364.8075519058	166149.805080296	14362.1219852172	9231.94183456729	0	19232.2194734308	0	46829.4385733083	8659.4952620296	0	219720.877450647	13798.2786559662	0	0	0	16908.6819980784	56844.9373349098	0	557.887237744819	97.9446158792802	355904.262587499	0	110907.718148492	52553.24251074	11168.9951499636	569.799420757164	0	6295.58872202427	0	10024.7637928334	0	0	0	199663.408409638	255646.036052043	25174.4134327555	0	1762.34129788191	13014.0599409868	70275.9236813287	0	0	32949.098212146	0	105904.601283307	0	0
01-2020-28-OR	25294.4152297616	0	0	0	0	0	7032.84257049354	0	3944.65630606666	0	0	0	0	0	0	0	0	6116.011783062	0	0	0	0	0	0	13540.383515448	0	0	35503.5381261078	6241.62738916917	37294.7840417659	1468.23435709677	1107.70125385412	0	0	0	0	0	0	39314.4219685279	0	0	0	0	17243.5968383476	0	0	211099.473120358	201471.118480819	24586.3999953394
01-2020-29-OR	8494.03303131302	0	344.81208989321	39871.9332115951	0	0	9771.2947164104	0	0	0	0	0	0	2098.01158920939	743.045771178326	21800.8657962059	2549.66686188641	0	8727.14543011406	0	154242.703873357	0	0	0	5555.8455047582	0	15846.7866101626	0	0	0	0	0	0	120800.787662024	0	0	0	1422.95693434804	55053.3781835131	0	0	0	187728.328659465	75130.1835302529	0	22063.1172448571	0	220903.136913839	4113.46253717675
01-2020-41-OR	7513.59084124035	26704.6510394549	7055.62235923751	63190.9273072118	0	98413.7921119197	66735.4579710942	6610.73869100617	19704.2756716971	0	0	0	0	0	664.417765953336	15749.7541763074	183.187392801139	280.596561989046	0	0	0	0	0	0	22428.8246725648	0	0	0	0	9774.3558873179	0	1215.43381255359	0	0	6109.15416309829	19243.3994533006	0	104203.095271714	111766.117631647	5779.12608241687	225.349570509337	3402.05158059257	0	48080.8751375116	68243.1192912115	1229.97249452193	98022.7015669712	42845.4957607108	0
01-2020-42-OR	5019.55215764544	0	6187.2951943199	84905.3761665616	67066.7941063182	0	0	4801.68965080319	5838.7151833723	0	0	0	0	68905.5536640668	0	50378.5260822019	96068.6510171585	2291.91357198047	61297.7949251354	0	0	545736.865139562	70482.8782136047	0	0	0	2331764.98173205	0	0	0	0	4165.53113082382	46640.0054647888	27006.2363481653	0	0	0	0	101593.644190678	0	0	0	0	0	0	23982.3047531949	68600.5461544876	14152.3484444726	0
01-2020-43-OR	0	0	0	91730.0169807802	0	1267.30087662454	0	0	0	67817.7969655996	0	0	179237.07371144	12606.9605120891	5914.0707575812	0	3514.31752323462	48273.0177565062	27321.961136001	10170.0551347796	151.360582441585	65145.5946828582	1420037.46436105	50796.6114673959	10800.2655598545	2435.52937201459	196.76875717406	0	3160.68416243928	423.809630836438	0	165933.85452012	19306.7302930716	0	2406.6332608212	17447.74713963	258488.098672559	71250.9301764337	20177.7416447582	3537.70961324832	0	820.099155774406	7694.62160921221	0	0	0	1913111.07372805	24846.5276104336	1663.59040156251
01-2020-44-OR	4841.17742192206	223.306823719645	5250.57326540807	61500.9895787875	19449.1654735822	1576.03085202134	3917.88959308121	979.114534770753	4573.49552425812	1295.46586837358	1075.02195265034	2951.65814429429	3444.07831967607	1338.40948831967	49439.5581899302	901.816018867799	0	413.690205480625	11261.2486038619	10943.4658162608	179401.266686767	59748.8898849872	0	261.956081671122	62359.8619777092	6601.86583971157	63311.7788865141	18727.712658488	42807.6318162564	15293.6545167993	8278.09847160711	5483.90026711514	0	0	223.306823719645	17950.4331374638	0	67379.9711494066	22253.3838560616	815.928778975627	281.996437645962	5372.24685525531	1687.68426388117	39896.0543839118	124360.429001869	0	36218.6490625286	1397.09910224599	0
01-2020-49-OR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9449.19398578771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82465.6929668746	1362.57969701014	0	0	0	0	0	0	0	0	40136.858466277	81428.9475452364	0
