feature	X1524	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1542	X1564	X1561	X3323	X1536	X1457	X1458	X1528	X1411	X1469	X1468	X2036	X2043	X2048	X1341	X2532	X2492	X2502	X2497	X2483	X2480	X2479	X9712	X9649	X9418	X9416	X13165	X9434	X9422	X9467	X9450	X9463	X9447	X19351	X19300	X5989	X6001	X6055	X8007	X8095	X8163	X8130	X8047	X8053	X8028	X8026	X8071	X8059	X8249	X8255	X8235	X8236	X6833	X6602	X7298	X4482	X4481	X4494	X5266	X5265	X4799	X5286	X5285	X5273	X3934	X3922	X749	X6936	X6956	X6952	X6939	X5870	X5868	X5825	X5884	X5880	X5898	X19882	X19831	X19850	X19800	X14348	X969	X985	X17008	X17007	X16955	X15897	X17130	X15888	X15887	X15878	X15875	X15872	X15877	X17167	X17168	X17153	X17154	X17151	X17132	X17137	X15892	X17234	X17300	X16971	X16988	X16987
02-2020-30-SL	0	0	6893.25077718186	0	7375.09411404625	686149.73012825	0	0	0	0	2882.38684112274	0	0	3453.8530386439	0	0	0	0	0	24485.3510061005	0	10417.452943008	0	0	2790.83660711851	3866.31093499981	32706.5620196806	0	0	888.519113177922	50494.2906433661	88580.1516758007	3227.38667031764	8868.80845832583	0	317213.851331277	6501.99398764798	5635.63966796582	0	470433.286647434	0	681.326478326238	8072.80326582587	0	24043.9825095327	0	0	21515.2686776684	108676.87356974	65622.2440475603	196196.969904439	60849.1039525817	2512.33115841089	0	0	0	220853.857138464	19165.8005671177	90982.6225534065	14632.6184538976	0	0	0	7471.46278141912	55661.5785878998	0	0	3271.71625730916	0	0	0	0	51248.8573088958	0	0	0	12171.3626891943	99650.020496923	475380.854030358	75661.9318144666	0	15963.469750317	0	0	0	0	0	0	0	0	0	0	0	231.284801694904	4390.55648550826	0	874.063813071991	0	0	0	21061.3722543422	0	0	0	0	0	62.6396337923698	0	488.589143580484	10801.000239152	0	0	0	0	976922.91019243	218906.246370858	11908.2762272664
02-2020-34-SL	0	29843.9805139123	80887.4782204659	3228.80996077241	37021.9723788964	312898.699146726	0	37459.3410588417	101340.895900259	31213.9735849174	169750.502957581	56369.1045741224	0	7711.8389302114	0	0	3936.3181195074	29721.7745592218	0	7223.01511144904	0	17256.7671807816	0	0	424.504895240995	0	16446.3487444125	0	0	0	0	62382.9239233698	0	0	0	182164.055197204	0	0	47660.3223293298	20241.1652321729	346749.748596019	1659.42822685116	2585.62072555879	0	13262.562030105	11712.4759732402	4489.46086179112	43042.223620496	0	60627.0173112366	2868.62398905278	110236.203023264	0	0	0	14632.55510111	17597.6574754449	0	4856.07872586289	0	4630.96249353812	437.368679945267	15713.1130162689	6213.20801216365	1659.42822685116	0	791.122759312763	0	0	643.189235213628	0	0	5936.63664102179	7145.83240322341	0	3376.74348487155	143283.26592854	42193.213830014	82489.0194161478	99231.2352087585	7422.40377436527	10149.5261316711	0	3736.92945659118	829.71411342558	0	0	1575.81362627339	990.511422228987	0	63585.6877932193	4521.62032355181	2244.73043089556	424.504895240995	8554.41682834125	0	0	0	939.056283411897	0	27522.0673747911	0	1498.63091804775	0	0	0	0	0	0	0	0	0	17636.2488295577	3672.61053306982	363678.489266842	62466.5385239476	102582.251124222
02-2020-35-SL	0	245759.431552947	13556.4652622693	2898.33868593157	7229.92177699413	249847.797411623	0	72125.4911753799	5098.87555037511	0	0	12939.7358515766	0	0	0	0	0	1992.06495096995	0	2791.20728595208	0	0	0	0	0	0	0	0	0	0	0	29301.8856160114	0	0	0	3025.73818860988	0	0	0	0	0	0	1728.57961588526	0	0	0	9951.63842512167	92761.3151660236	0	0	0	0	0	0	30601.9396319787	155276.830218919	0	11552.8185383286	157853.774704912	0	0	0	0	0	8891.90619829754	0	0	0	11749.7086788315	20696.6282987401	0	0	0	0	0	0	285340.140680504	0	1484702.22244006	461623.41162513	0	34919.0455068279	243.217232385866	0	3486.11366419741	0	0	0	130.294945920999	0	914.960064689685	62257.8206042962	654.370172847686	0	0	34117.007728603	0	20378.1295420443	0	0	0	0	0	0	78.1769675525997	0	0	0	0	6650.83312845635	73509.5130453852	0	0	153817.526824604	2389166.305375	48585.5376123194	0
02-2020-37-SL	891.049296274458	6318.69622222586	46612.9368668768	3614.40609694211	17257.8834458179	220460.340793931	401687.183650402	94782.9855567725	5210.2868265749	78805.1115850607	117328.693642393	7580.27457679419	1142.72941134199	16183.7940658579	1262.84946626059	6211.28728422987	0	0	0	36416.0788715648	15785.3005503343	15105.2557949751	8757.95955967335	3274.38371926249	2148.81431576601	26980.6167799168	35711.2474382065	25855.6829322664	6787.10088082378	11991.6677047835	11401.8718795747	65431.7454707903	9150.73307258177	1840.56973039289	2008.99202961738	380352.845007506	2136.73875468953	5936.09160285552	129720.761530239	2681.41011482307	10572.4715003749	658.435856590826	19843.3246278753	1098.24050211288	5254.77573580401	1756.04080285758	4332.58420306917	21238.3697101309	24494.9578657018	31114.2720031472	45336.1051720014	25093.0159169102	16253.7052089322	255.493450144317	0	38160.0441133459	6007.2738576221	10496.2047988393	9020.4441241251	4673.87769244106	17339.8701499686	7211.65218603871	58841.6669022669	92.7911535350006	27132.5146271419	7762.04354878742	5797.54042839915	1299.07614949001	25800.3895736531	32619.9038026295	0	10989.3961354363	207575.717125335	76431.9460556108	3458.69491464023	17416.1368515043	198770.726433048	75209.7721635025	273439.640571494	202993.359474736	0	42096.0414684299	849.738166275999	3973.49515000564	7722.00353048122	0	1201.20054918597	3643.00611001797	32234.1214040285	0	11557.5830618766	45142.8961947778	0	3463.77936140927	104553.385579331	0	0	25173.7315093688	27907.8927594206	2893.0502115844	64206.3937994514	0	54359.7270753571	12203.943357391	16644.5720543023	0	1557.74737886498	8290.19045692156	6737.52752482563	12970.4237078239	3084.35252126958	1254.5872402609	0	0	200582.696150365	50862.8988099491	14050.233090399
02-2020-40-SL	0	9792.56197051956	2328.67070854631	155.772757147656	2959.68238580545	97204.8406763599	143559.11690079	11065.1461899292	0	0	69435.0464445117	6072.49731253572	0	10970.0984059069	0	0	0	0	0	3775.50919866352	0	0	1887.75459933176	0	4100.25579407303	31278.6415920047	61076.1218829952	0	72347.204938306	506.921514785591	22346.7901101315	146790.741557548	0	74834.2886202228	557.085623019582	254118.171232283	3287.06919743782	11162.8341901744	130223.384759217	252417.871984773	0	6228.27006968338	9528.5403482354	0	0	0	0	0	17641.9248010277	0	6861.92196316537	23262.9451394575	0	0	0	0	106448.237672528	0	26919.6446080931	0	0	541.244325682532	0	0	5386.0410945969	0	8533.17883222411	0	3081.13233205617	2888.39654778873	0	0	57807.5341991173	2199.30011362707	0	2943.84108846841	17599.6813414622	53720.4794861584	166048.478686955	32147.2727293196	0	3796.63092844625	0	887.112650874784	0	0	0	0	176.894486930388	0	0	89.767351576615	0	0	0	27592.8997449178	0	5050.73363429602	0	0	11115.3102981632	0	0	0	337717.97771234	0	0	0	0	0	0	0	0	271.942270952687	245352.653372449	68004.0492517316	37258.7313367409
02-2020-41-SL	0	5104.97614520218	0	0	2856.69613533914	0	240.60540456429	0	1401.2306552699	0	0	8537.54751113782	0	0	9227.80891767471	0	0	391.969870140596	11042.7033730049	0	3911.80999961697	68978.8084429559	7403.54662897005	0	2469.16365995485	7091.44986444301	12249.1817028591	2455.35843182411	0	18486.1865547818	5679.86528807505	39686.0865249772	0	11512.08112945	0	632435.250248132	4256.94070288542	155.308816470802	113059.394908264	125105.442540057	0	462.968186241534	794.293661379246	0	9879.61290299027	280.541957371068	0	0	0	146.927070819997	0	4420.63126500703	0	0	0	0	83925.9261576507	2270.9600275064	5975.19856130048	0	48435.6428966942	0	0	2140.79644798801	0	0	9429.46385715585	1014.19122374743	0	32180.479816612	0	0	0	0	0	2046.13202652009	0	124998.945065905	0	18673.5432222704	0	0	0	17.2565351634225	0	0	0	0	0	0	0	0	0	660.678774828175	2199.96171140546	1385.94629555373	4200.24065877703	0	52967.7020744708	0	3436.51571683013	0	0	0	2638.27770455639	0	0	0	0	0	631.589186981263	1063.98865379045	0	0	104123.467956782	1006.30252195844	72047.5134388743
02-2020-44-SL	3089.07919506035	30235.9289536965	158781.939492975	38482.1904521856	81250.9549972698	581858.303408192	3266980.73689397	2074.6408421146	68387.9638517011	39192.624185935	1485.15518266923	11193.689795716	2673.93310217922	8968.68107743976	3807.14028484686	0	1849.0890278721	1682.37681734504	0	12190.6941920054	0	10098.6193932343	3187.14520125274	0	593.844148609485	8200.49736226602	9011.1763467898	5745.57834058314	665.759219817239	0	5324.98413624689	64794.3895358954	0	0	0	29286.8679382124	2366.65961610973	0	57850.2266751831	15033.5187492937	5654.05006813691	0	33417.6260434941	136.202786378322	0	0	0	0	48532.8664646148	326.886687307973	0	29867.6366193295	0	0	0	0	0	0	29564.7216224241	8464.18595669445	2065.92386378639	0	1111.41473684711	0	163391.041784017	1129.93831579456	17354.4142291803	82546.5159013004	0	5039.50309599792	0	0	24382.4780063017	65152.8752696432	2134.57006812107	0	69843.6992325126	73303.250006522	711236.785377815	114018.076533021	849.905387000731	329925.643877646	817.216718269933	0	19055.3146254728	411.877226008046	794.334650158375	0	12827.0336099649	4598.20606813216	6123.67727556937	93936.3377094013	2120.40497833772	0	0	1699.81077400146	0	40453.3171766527	2898.3952941307	0	8061.02570901462	0	2332.8813250879	0	191485.862935847	205413.415059748	20544.8282973061	3938.98458206108	1147.37227245099	51371.332532739	2592.21143035223	0	16906.5794675684	11394.1802972649	422180.694391994	5543.99821674323	4058.843034074
02-2020-47-SL	0	6377.75950716681	20632.4013352351	0	10002.1367670038	661788.531321233	0	51813.8897050683	0	1782.57879183097	80951.3011624323	5568.64572931445	0	0	0	0	357.979615530072	753.886439396974	699.98988018148	58740.5956486892	0	22029.7195371183	850.367934288908	0	5370.35962257103	67195.0361597024	81458.9934424499	8937.51337509281	0	0	12111.4218622275	267869.891638726	0	0	0	0	0	8428.49031583536	0	78905.8934707233	0	60972.9778236026	33558.9254818944	218.913184961698	120681.715369311	5189.37364594616	4205.92778766838	98862.9243417149	30058.976080987	155472.942427342	63102.2246074245	26161.1236873529	2541.7883481875	0	0	15131.625347155	79040.967563572	592.196761750491	7377.8401059432	18417.9846800602	0	3233.1281633097	28858.6132066074	17758.5835666954	4724.93169122499	548.281046834163	31916.7438998717	68842.5408586846	0	66101.8010141338	1055.30793723177	16774.4723187976	119508.633469349	6444.96385878119	24447.7454159961	0	243957.119477165	609305.925048121	10133.8839117528	118185.17351528	0	56790.3386726322	0	717.290010300033	2513.17659452989	0	5.98850657949935	10960.9632093436	11187.8610697447	0	0	6850.85152694726	0	15154.913983853	494.384487618669	0	0	55203.3844290649	4695.65454794744	387.256758807625	77589.7528024734	0	0	67.869741234326	43511.8234170223	68284.2789675513	5211.99689302427	0	0	9.98084429916558	2282.95178602914	0	0	0	148426.466352131	26089.2616083989	1754.63242779331
02-2020-50-SL	0	0	32296.6247532814	0	11096.8383167198	476477.782718581	75202.6009622866	32691.6999828673	0	50771.1983816791	40602.1976528093	0	0	68674.5564897494	0	0	0	0	0	22643.3305446638	0	0	0	0	238.161519875946	3068.19020527683	1499.36321432317	0	0	0	22207.0111977036	120939.846281275	2121.43614254081	0	0	0	426.395950298731	217.074301970263	132196.389263016	9952.54663919088	0	0	2255.40199747103	0	10727.191791079	0	154.432860544558	921.015252645258	0	70.3940950674995	4658.41452028184	86.5196146424334	0	534.002782846847	0	220473.065326826	0	7559.45751304157	16317.7853852503	10185.4363545904	0	2820.10528873939	1343.68992919593	28170.9725912637	10082.4811142274	0	0	0	199473.297354223	18683.2750644349	0	11432.3731663367	19734.8450044079	0	4561.66140283224	0	7695.90421713716	0	764905.648171053	14011.2158737435	0	36101.9372668201	302.353492030009	0	0	0	0	0	0	0	0	95921.1026607655	0	0	0	0	0	14626.1563606106	0	0	0	335.534849616892	0	0	0	0	0	168357.866909805	166.527000225759	9040.52446477011	45410.083335305	0	0	3688.40249662044	624985.135031643	14047.1881866414	0
02-2020-51-SL	0	13268.210177748	50543.2190376379	145497.539204355	659.473354531985	362031.185866282	523415.142894736	204190.667757702	81341.6089828705	0	0	0	0	33101.6252431502	0	0	0	0	0	0	0	0	0	0	0	106194.895851427	7854.62293905259	160448.882869043	76341.4229514936	0	21614.9774112274	53781.5284949666	0	0	0	225539.887249939	0	50454.6330646411	10049.5864921964	0	0	0	34843.8160454213	9222.78407755925	0	0	1978.42006359595	877070.032869874	0	0	0	0	203127.63608174	4665.52791116658	0	33505.1835645802	0	0	4084.79764374289	4596.62770994682	0	0	0	0	53604.356548973	23426.0684147183	6821.1199207562	0	2972.5515383382	0	0	0	2647.73630401648	0	0	0	107277.613299166	0	206041.130304747	887188.51956329	0	0	0	33652.8268529083	0	0	0	0	0	0	1771.71945993668	629.944696866373	0	0	1210.67496429006	0	0	0	8602.68226658141	0	162515.888905636	15315.5304425637	11388.2189730374	66311.5222310743	223650.05315934	0	0	0	62738.5546535354	0	0	75435.8774497482	5403.74435280686	0	309105.988443619	60228.6187519584	0
