feature	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1564	X1561	X1536	X1468	X2043	X2048	X2524	X2492	X2502	X2497	X2479	X9712	X13165	X9434	X9467	X9450	X9447	X19351	X19300	X6001	X8007	X8095	X8163	X8130	X8047	X8053	X8071	X8059	X8249	X8255	X8235	X7285	X7298	X4303	X4482	X4494	X5265	X5273	X3934	X749	X6936	X6956	X6952	X6939	X5868	X969	X17007	X17130	X15888	X15878	X15874	X15877	X17153	X17137	X15892	X16971	X16988	X16987
GBM-BM-283-Or	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38750.1628479113	104224.806954522	0	23548.8973738603	294.779938677057	0	0	0	0	11295.43128658	1761.9800880015	223034.521329498	13372.289945441	85988.6480209097	6176.97962409651	542.663068928218	7027.82171982347	3731.64604188911	0	12682.2369071743	0	0	0	0	0	0	0	0	0	0	0	0	4301.10728706069	0	0	0	0	0	3711.54740970658	0	0	0	0	0	9660.74253573445	22912.4406880803	19020.005588731
GBM-BM-301-Or	503.678776338448	2087.9774728212	0	0	12024.1860605888	0	0	0	0	0	63060.5827975737	0	0	0	0	15870.4603526278	0	0	1497.2996351152	44946.4624412564	0	0	0	11360.2458554154	0	183.155918668527	0	1240.88134897927	0	0	1300.40702254654	4166.79714970898	2875.54792309587	0	13947.3232066083	0	659.361307206696	3305.96433196691	0	0	0	0	0	0	0	0	0	0	0	0	5357.3106210544	2454.28931015826	0	0	0	0	0	29442.3139259656	6909.55703177017	0	0	0	1373.66939001395	15783.4612912603	16456.5592923671	0
02-2020-56-OR	3521.33424598776	50585.8710759006	286.14193974507	8913.76851983977	1740865.65366674	62869.8551298003	113202.222330958	71.0883881554157	20799.3893420006	1311.7819550188	4532.22006749339	487.335491128322	0	1073.92646760571	274.964520223778	422.506457904829	729.214849569076	14616.040862822	662.150332441325	213870.53350752	37700.0947549746	1634.58583079371	781.525172928721	2307.46648597547	105.067743500143	11611.5504954988	1193.74840487396	146.647744119348	260.657423236524	2301.6542278244	1841.14454354718	0	0	0	20181.9486876444	0	0	28934.7623663776	0	0	424.741941809088	740.839365871219	48657.0955633065	444.861296947413	6750.26719729853	4649.35942407653	1885.4071248515	5829.24782874409	87938.5716321535	3427.44392200891	774361.788305916	5152.34330253466	27813.8907367825	14867.7563504415	0	5205.10072267516	0	572.730976270991	0	360.360005366447	15465.971843221	7165.17300992888	819.528399301113	410818.006763024	9740.89756441536	19.2251615766219
02-2020-43-OR	131.595904533493	30242.5415454204	0	741.6240428093	677323.760097162	0	22737.609083039	0	5756.32934734724	1245.65438400881	0	806.160116539424	1142.54088073052	0	0	0	0	0	0	37691.9513521903	119.698192616766	0	0	6972.05918320187	0	19980.5847488812	0	0	184033.807927929	101399.51168884	592.722375487841	854.472037655829	0	0	350995.48086553	2934.76893945926	0	39148.8802569022	0	0	14720.353934789	0	2311.04040564298	6957.27717748715	972.728083373598	465.45291165134	44.3460171441633	0	295489.049406752	370956.957167999	0	3445.28894170426	16645.2595082255	25274.7060150998	0	7654.19466642753	0	894.85215082775	0	0	21826.8933163223	18866.8868061306	0	419459.602211797	1073.6783663034	219.92740209707
02-2020-16-OR	895.181870591126	12004.0954996814	1637.23111104116	1178.90658017496	135103.409661089	25548.8197502682	652828.373988232	1616.83727945695	44193.7908295027	383.547148390762	6901.34416540057	0	444.728643143393	6247.66819514878	0	0	26808.943870261	2915.24455698501	0	3369.991222661	3912.75337201621	0	7653.4114283832	21699.0368055998	0	15399.1317786739	220.39649571708	514.854800871555	118807.307079229	373.886912377189	0	0	199.287091094827	0	79877.9870906045	0	39.7143036113569	24592.8141714435	12282.8111979989	0	2229.72558654033	1425.06370526157	23569.5447270428	0	18034.2294912653	22175.9662354551	33243.3766283389	8287.40914008883	86312.7776352013	5889.52388960852	419752.281823559	20544.4597087182	50533.052373521	21260.3905332797	3042.97434427559	251838.775008666	5437.99730260373	2798.60615178409	3430.09935785656	3985.38403537752	474457.482795386	57777.8715971819	3511.31689767438	396077.905646443	16540.1129878326	0
02-2020-20-OR	0	0	19774.5704061665	5922.41180078087	39939.7782600905	0	0	123469.474298304	0	0	3360.06220534098	0	177627.875502147	20193.2486608176	1503.56740411661	0	41102.021359607	122162.192542442	0	95610.4491874307	49711.5160002851	7282.8743973031	0	0	0	0	16267.5356957285	624.633146661949	10336.4215755669	0	69324.61003572	18562.0472391168	0	80691.7729957167	0	70.5854794215516	1009.46904816575	0	944946.184579448	126556.863829715	0	0	25305.3778348141	32299.1418438015	16560.5137815468	0	953.387434378765	464.123700306092	974.659770642794	68487.2535264178	0	939228.760746302	970.792073140243	35789.7388398536	2884.33541252724	0	6287.90921477191	612016.717408629	63482.4529581171	40663.0376930675	0	0	14139.33514495	487.329885321397	46667.6380657776	19132.532620743
02-2020-52-OR	0	402.252326673279	1636.9112021849	0	98953.2973089741	0	0	0	30589.7780908304	0	2271.67932462308	0	110659.692573084	119275.177858826	1040.89571237421	23930.5257001236	2883.19586748477	0	13138.692566022	46757.3764230165	24104.1374942948	4682.86812670511	8790.64718521836	110617.839729847	2653.78028233007	13840.890269232	0	4920.03423838531	15467.7257869338	89621.6633722761	59586.8229806712	11791.6510558907	1531.50404143815	983.541816085532	98242.574026586	18743.8733492612	142.609688069139	19480.948421836	0	0	104325.962296448	3460.61009363428	0	17114.7126736018	0	21740.2269040183	6817.3631318269	5309.88572261779	38989.7987391637	370517.795814633	62955.9768613046	5185.1022455573	14398.1531264152	4044.99979365673	78.2803179075167	18156.3834386286	0	0	0	0	32139.8833959297	13761.834898672	0	300309.651283421	0	7435.85514856154
02-2020-37-OR	1532.04230401368	2670.8148201667	324.875042145757	218.863186287668	140913.694596401	70904.8328826329	18278.495792306	2445.11215930754	13901.2320665527	1597.01731244283	4196.01764960888	5064.63092018807	25312.8953890831	937.008016294078	3994.25314974994	103730.891088497	66647.2599618806	166353.120265056	27429.7127689591	112998.379132866	689196.75388258	1419.1909735841	286751.810884274	2705.01219302415	0	4250.7334461808	17420.1417335841	0	4657.68218318443	4678.2006068989	142647.501400273	80315.9498930026	102270.663267484	41224.9329796537	80032.1116982858	3378.70043831587	13860.1952191237	1323.43832958324	29885.0841401239	0	0	12830.8542961145	11726.279152819	2958.07275216926	7694.40889292583	35814.9085936054	3867.72287017738	608.713236862576	38817.4379304894	55994.7783167855	105666.462392229	1461157.98955476	2366.45820173541	1720.12785472964	585876.231268373	1644.89363444325	93967.5411376959	381252.831038546	7533.68124049582	19280.4788170292	2958.07275216926	0	41963.5962333746	63894.3714468561	90062.2011573754	4421.72031046804
02-2020-22-OR	2442.19585714492	0	0	0	47575.0870340404	0	0	0	0	0	0	0	0	0	0	1302.66557842762	0	0	0	0	0	454.362019933939	4860.22352174017	33413.7346095568	2983.5633702577	0	0	0	0	0	0	0	877.305389553297	0	0	0	5657.77387587953	5014.8999540581	703.294403195618	178.844624867614	0	0	11374.7598235058	0	0	0	0	0	3615.56160543177	0	12977.1109895494	14680.9685643017	0	0	0	0	0	7779.74118174122	0	0	0	169.177347847743	0	401555.727622521	6098.84338991115	2326.18853290647
02-2020-41-OR	0	0	0	0	0	0	0	0	0	0	0	0	517.124594100082	0	0	0	572.294358762252	0	0	9545.84048027989	192676.35729989	0	6120.16589319015	1041.60515682179	0	0	0	0	0	0	1855.17528637327	0	1284.35212133534	0	0	1121.04961793531	278.791210759503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4036.95557954658	0	0	0	0	9858.46914669885	24159.9433408579	0	0	0	0	0	143.441388121644	0	23961.332188074
