"","Gene","Subset","Contrast","log2FC","Pr(>|t|)","FDR"
"High...Low.9097","MPPE1","BrM","High - Low",0.871996171223272,0.124175388570328,0.322004390379776
"High...Low.9098","COA7","BrM","High - Low",0.7352656403439,0.181798067267397,0.40351498668426
"High...Low.9099","PYCR3","BrM","High - Low",0.887826931579013,0.0285314695572137,0.136137537211944
"High...Low.9100","UBE2Z","BrM","High - Low",1.82284008749288,2.92296295225572e-06,0.000252421306802824
"High...Low.9101","C8orf33","BrM","High - Low",1.01179445352333,0.182215323420631,0.403928438386093
"High...Low.9102","CAPN10","BrM","High - Low",-0.0207126926068856,0.923481146762802,0.961200896005625
"High...Low.9103","GPR87","BrM","High - Low",0.686508409961565,0.350350121321381,0.585349982710672
"High...Low.9104","TAS2R7","BrM","High - Low",-0.74631744514777,0.190318187526432,0.41386810797353
"High...Low.9105","TAS2R13","BrM","High - Low",-0.314485648701034,0.586956638434991,0.764929983391292
"High...Low.9106","TAS2R10","BrM","High - Low",-0.283990235494034,0.518534040541923,0.718618046331532
"High...Low.9107","AACS","BrM","High - Low",-0.0207767977967347,0.949883570114428,0.974704422743538
"High...Low.9108","KCTD14","BrM","High - Low",-0.639257972497314,0.308441274423725,0.544228936687149
"High...Low.9109","ZNF747","BrM","High - Low",0.238831899346681,0.711872164586795,0.845538968835452
"High...Low.9110","DDRGK1","BrM","High - Low",0.26415257685925,0.310980130563976,0.546559299822867
"High...Low.9111","MRPS34","BrM","High - Low",0.0943399179629277,0.697323757818057,0.836166912820315
"High...Low.9112","MRPL34","BrM","High - Low",-0.119476250302811,0.694845029418609,0.834410468803978
"High...Low.9113","RASL11B","BrM","High - Low",-0.475147863157358,0.420863512295995,0.64277712438901
"High...Low.9114","LRRC61","BrM","High - Low",-0.426371952214874,0.262743820411871,0.498148498584985
"High...Low.9115","L1CAM","BrM","High - Low",-0.617248012113592,0.499057696348776,0.703468797369463
"High...Low.9116","EBF1","BrM","High - Low",-1.11723439832799,0.14941785599025,0.359847788828302
"High...Low.9117","CDK11A","BrM","High - Low",0.0587768763820155,0.773001021186317,0.879744390031003
"High...Low.9118","HOXB9","BrM","High - Low",-1.17165060152379,0.120946302178903,0.316564783439261
"High...Low.9119","NEUROG2","BrM","High - Low",-0.217503175900679,0.690232189267557,0.832372065154135
