feature	X1552	X6602	X16971	X1545	X8007	X6952	X13165	X6956	X1543	X1564	X9450	X6939	X1536	X8163	X9467	X1469	X8059	X5089	X2043	X17130	X16988	X17168	X17153	X8071	X6936	X969	X8095	X17167	X5266	X5265	X2492	X8235	X2479	X17300	X1466	X8047	X17154	X9463	X16987	X17234	X1468	X9712	X4494	X5273	X1542	X8236	X5868	X15878	X749	X1522	X2502	X9434	X4482	X1395	X3934	X5825	X15888	X8255	X8130	X2048	X1540	X5989	X2524	X748	X17007	X9447	X15872	X17137	X17008	X14348	X1457	X8249	X7285	X1464	X17169	X17132	X2036	X1525	X7298	X2483	X5286	X19351	X2497	X1458	X8053	X5884	X9418	X1411	X3922	X9422	X19850	X1520	X1561	X9649	X15877	X15897	X1526	X8028	X2480	X7282	X1528	X15892	X5285	X5880	X16955	X2016	X17151	X6067	X1524	X6055	X4481	X985	X15494	X6833	X8026	X6001	X19831	X2053	X1341	X19882	X6653	X3931	X19300	X5898	X3920	X19800
02-2020-16-SL	150565	7371	176308	149376	132003	286525	21926	36397	978398	202210	99117	237360	39183	0	140002	0	0	41693	7010	60793	55014	0	110308	24394	186680	19408	1340	0	0	15538	0	43200	0	11831	0	1816	0	0	0	74	751	3465	0	31283	98516	0	93397	4529	5449	95102	313939	395	48924	28097	58571	1631	24086	18871	0	59545	36102	0	0	0	4956	0	55184	22440	1786	0	0	3001	0	0	0	3655	0	8253	0	0	0	28199	46621	54403	0	81062	0	2322	9767	0	3483	44444	5896	0	39027	39930	576	0	0	0	1319	17770	270	17275	0	0	32145	587	31803	846	0	7150	15927	5192	0	0	808	0	0	572	0	0	3037	4761	0	0
02-2020-30-SL	712005	0	1013735	0	22326	493294	329167	103405	0	2991	488160	78513	3584	68095	0	0	229176	0	10810	0	227155	0	65	0	12630	0	112772	0	3395	0	4012	15184	52397	0	0	63142	0	0	12357	0	25408	91918	0	53180	0	0	16565	21855	0	7153	33939	6747	57759	7653	0	0	0	94411	203590	0	0	24950	2896	0	4556	707	0	0	240	0	0	19888	4105	0	2172	11208	0	0	7753	0	0	8377	0	0	2607	0	9203	0	0	5848	0	0	0	3349	0	907	0	0	922	0	0	0	0	0	0	0	507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02-2020-35-SL	86290	0	825147	0	32037	512772	1045	0	24910	0	0	159431	0	0	0	0	0	7148	0	7038	16780	0	0	53628	98548	21502	0	27	0	4058	0	0	0	53124	0	0	0	0	0	0	964	10120	0	0	0	0	12060	0	0	4682	0	0	3071	2497	0	84	0	54518	0	0	1761	0	0	0	0	0	0	25388	0	316	0	3990	0	0	0	2297	0	84878	0	0	0	597	0	0	0	0	0	688	0	0	45	1001	4469	0	0	0	0	0	0	0	0	0	0	1204	11783	0	0	0	0	3437	0	226	0	0	10569	0	0	0	0	0	0	0	0	0	0	0
01.2020.141.SL	127670	1754	60432	23888	78331	149459	8440	18345	60125	0	9199	166628	7812	789754	261996	0	0	94	102	141	27170	0	1174	2308	16029	126	7975	13205	2466	0	97231	116148	12496	0	2196	56849	0	40228	31052	0	0	70403	4021	11261	0	55058	133	0	0	0	78305	1213	0	1364	0	0	0	30815	5271	4187	821	0	3070	0	7045	35430	129	0	6243	4696	9806	27804	0	0	552	0	6334	0	77	5314	0	1340	13033	177	20514	1637	3316	0	0	2635	0	9549	0	0	664	0	0	0	0	723	0	1527	0	0	673	0	6993	0	0	0	2867	0	0	0	0	0	0	0	2256	567	0	0	0	0	0	69
01-2020-46-SL	781657	34320	113750	667757	5564	413688	126610	379127	279097	255995	387783	26932	346003	20815	50	206620	14782	64429	261722	17077	233	0	0	0	313758	20736	64374	21592	114459	86162	41738	4545	122216	0	22885	1495	8340	3886	7998	0	0	91891	90394	99352	110557	35770	331196	0	35844	79799	27300	7500	29368	63361	71467	1541	0	34341	0	19763	53954	2934	300	0	0	44223	0	4178	0	24771	0	2394	11162	2713	13397	12906	0	3708	0	0	91019	30265	6125	0	0	0	0	48101	3421	0	14943	4812	23873	1359	0	0	0	0	0	0	0	3691	0	16066	0	0	0	22686	2983	4025	0	0	0	4594	0	0	0	0	1296	0	0	0	939	0	0	0
GBM.BM.291.SL	480317	222	530694	679746	0	461158	101670	121368	777505	242177	0	68457	9972	0	1433	0	3025	0	1035	12567	25846	0	11067	0	54338	6633	6097	9652	715	24316	0	6520	75691	0	249773	13124	15616	6361	129387	0	27362	0	0	7215	7422	8516	46887	0	33248	59362	147068	0	11171	8107	13	1638	271	9687	0	25225	1586	0	4501	0	4513	0	0	29269	112	4091	18731	2225	0	121	4954	6829	7346	32022	0	54148	0	13901	1724	0	0	0	2924	8205	656	0	229	3488	26573	0	0	5924	17985	238	0	339	0	444	0	1224	4404	0	0	0	274	0	0	0	1099	0	721	0	0	900	1704	9	682	1487	64	0	0	626
01-2020-42-SL	498762	560	350165	775336	211	25166	6971	0	852	110377	287987	99613	0	185441	266586	0	0	12641	4857	0	23264	0	0	535	13171	0	4399	1952	0	689	95784	6153	9421	0	0	0	0	18916	6103	0	983	145932	0	0	11804	4944	1433	851	14297	14721	1398	8563	25899	15687	0	0	7564	17732	0	17108	7962	0	3142	984	12469	19614	8554	0	885	12481	4393	37	0	22694	1062	4401	1461	31379	0	88631	0	1367	72776	564	0	9149	574	2444	0	397	1029	23404	42668	49646	10367	484	0	356	0	279	0	34164	1046	0	0	2254	1810	0	823	490	7062	197	836	0	0	316	222	234	0	2928	975	1725	2054	1780	4224	20
01.2020.090.SL	414996	0	541423	38042	317245	751831	54904	3589	98591	142	14085	181967	0	3029	66562	0	0	3270	0	23843	24637	0	2334	38235	349651	74164	12872	110352	0	4491	3095	3042	3138	0	820	9655	0	45403	74013	0	0	15027	0	4303	7450	27615	11731	13059	0	16461	6249	404	47022	4813	0	0	12794	11178	120	0	0	0	0	450	267	0	0	8567	986	819	0	15158	0	0	0	251	0	8925	0	5052	0	6020	6607	1353	594	191	285	698	0	5687	686	7421	6639	0	0	0	3644	0	77	0	0	3281	0	0	0	4695	371	0	0	0	1503	208	2929	0	0	0	0	0	175	0	0	0	189	0	0	290
02-2020-37-SL	346878	92583	315602	632025	33417	430237	598457	118337	149134	184608	4219	319395	25464	48956	204106	0	9452	51325	23767	39609	80029	0	2451	60042	312751	71029	38541	26189	2044	40595	42452	7354	17940	0	0	39482	13044	16635	22107	0	57298	102952	9122	326605	123994	27283	66235	101024	27403	73342	56189	3362	42691	27154	120260	1337	43911	14193	71333	13780	8198	8268	3381	1891	164507	1036	85531	4853	5450	18185	1987	16515	0	0	0	20408	24837	9942	146	10679	0	31222	40682	9773	25574	6252	2896	0	5442	9340	50718	5687	11927	14398	19202	0	0	402	18868	0	0	1974	17291	12150	0	2438	10601	0	1402	6817	12213	0	1150	11347	0	2763	5732	0	5152	1890	0	964	1728	0	0	0
01-2020-14-SL	623981	414	35054	70106	146333	51485	24442	90085	0	19867	13996	74388	7163	8913	771	0	10690	922	1553	540	6328	0	220	1126	21778	3395	4836	104	0	0	264	1541	5429	9907	544	2203	0	0	19648	2760	12148	12810	4058	0	634	13570	6916	5182	14266	26922	1662	2771	2789	8723	10099	2963	2707	3761	0	0	44468	0	0	6916	1127	4207	0	8213	0	2190	7028	2352	0	0	212	564	1401	14775	622	1491	163	305	3515	0	8868	0	11647	14779	1459	99	52	382	24168	106	1255	4018	40241	2816	0	596	11104	0	0	0	0	8038	1337	0	0	0	0	2760	81	26	10634	0	0	1558	976	0	811	1447	0	88	2835	429
