Algorithm Name,ROI,Total Cells,DAPI Positive Cells,CD56,CD8,CD4,Foxp3,GZMB,CD16,CD8+ GZMB - Cells,CD8+ GZMB+ Cells,CD8- CD4+ Cells,CD4+ FOXP3- Cells,CD4+ FOXP3+ Cells,CD8- CD16+ GZMB- Cells,CD8- CD16+ GZMB+ Cells,CD16+ CD56+ Cells,CD16+ CD56- Cells,CD16+ CD56+ GZMB+ Cells,CD16+ CD56- GZMB- Cells,DAPI Avg Cell Intensity,CD56 Avg Cell Intensity,CD8 Avg Cell Intensity,CD4 Avg Cell Intensity,Foxp3 Avg Cell Intensity,GZMB Avg Cell Intensity,CD16 Avg Cell Intensity
Lymphoid-BM-041924 - HighPlex FL v4.2.3,39,259,259,0,6,21,0,8,23,3,3,20,21,0,22,0,0,23,0,22,54.377048,3.28708,2.518547,16.537273,0.079365,2.275949,5.168441
Lymphoid-BM-041924 - HighPlex FL v4.2.3,40,385,385,0,3,14,0,1,1,3,0,14,14,0,1,0,0,1,0,1,71.818489,1.429797,0.866726,7.836015,0.000069,0.294652,2.10575
Lymphoid-BM-041924 - HighPlex FL v4.2.3,41,505,505,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,82.868515,0.003517,0.00928,0.013225,0,0.157702,0.004987
Lymphoid-BM-041924 - HighPlex FL v4.2.3,42,416,416,0,0,0,0,0,8,0,0,0,0,0,8,0,0,8,0,8,89.155891,0,0.004291,0.000099,0,0.154038,2.207211
Lymphoid-BM-041924 - HighPlex FL v4.2.3,43,417,417,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,84.686035,0.000622,0.023421,0.000269,0,1.033709,0.135121
Lymphoid-BM-041924 - HighPlex FL v4.2.3,44,363,363,0,0,0,0,0,10,0,0,0,0,0,10,0,0,10,0,10,114.808998,0.061705,0.185641,0.191795,0.000161,0.269578,2.550292
Lymphoid-BM-041924 - HighPlex FL v4.2.3,45,439,439,4,19,7,1,0,4,19,0,0,6,1,4,0,0,4,0,4,87.250549,4.867858,5.747267,5.162912,0.388212,0.061718,4.283922
Lymphoid-BM-041924 - HighPlex FL v4.2.3,46,472,472,0,40,8,1,0,0,40,0,0,7,1,0,0,0,0,0,0,100.068855,3.047745,7.389775,6.924672,0.334978,0.037011,1.174076
Lymphoid-BM-041924 - HighPlex FL v4.2.3,47,427,427,0,0,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,86.355843,0.423518,0.271078,1.409495,0.000008,0.611544,1.013257
Lymphoid-BM-041924 - HighPlex FL v4.2.3,48,400,400,0,9,1,0,0,6,9,0,0,1,0,6,0,0,6,0,6,80.773933,1.667669,3.178269,2.984107,0.004578,0.112171,2.893717
