Algorithm Name,ROI,Total Cells,DAPI Positive Cells,IBA1,CD163,CD206,ARG1,CD11b,CD11c,IBA1+ CD163+ Cells,IBA1+ CD206+ Cells,IBA1+ ARG1+ Cells,IBA1+ CD11b+ Cells,IBA1+ CD11c+ Cells,IBA1+ CD163+ CD206+ ARG1+ Cells,IBA1+ CD163+ CD206+ ARG1- Cells,CD11b+ CD11c+ Cells,CD11b+ CD11c+ CD206+ Cells,CD11b+ CD11c- Cells,CD11b+ ARG1+ Cells,IBA1+ CD163- CD206- ARG1- Cells,CD11b+ CD163- CD206- Cells,IBA1+ CD11b+ CD163+ CD206+ Cells,DAPI Avg Cell Intensity,IBA1 Avg Cell Intensity,CD163 Avg Cell Intensity,CD206 Avg Cell Intensity,ARG1 Avg Cell Intensity,CD11b Avg Cell Intensity,CD11c Avg Cell Intensity
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,43,420,403,26,67,31,0,76,36,21,10,0,20,7,0,8,19,12,57,0,3,1,8,42.533382,5.039397,22.297325,6.743736,0.000837,1.4626,4.410725
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,42,289,286,35,38,30,0,224,2,26,18,0,31,2,0,16,2,0,222,0,7,4,16,50.940323,8.407786,19.860434,9.427967,0.018439,7.447339,1.004499
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,41,597,590,56,45,76,18,291,12,28,34,2,47,8,2,22,9,9,282,15,18,10,24,56.990349,5.8877,12.55289,12.591317,1.794574,4.204794,1.325809
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,40,309,304,1,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,62.541691,0.552623,0.548285,0.111105,0.186424,0.000823,2.300702
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,4,233,230,83,114,29,1,121,84,77,28,0,73,70,0,28,72,25,49,1,6,4,26,58.88781,30.632915,77.014244,12.964239,0.211144,5.938888,31.194324
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,39,242,236,17,23,18,0,2,9,7,3,0,2,3,0,1,0,0,2,0,8,0,1,40.978394,5.086438,18.634439,6.459854,0.00612,0.143975,2.263858
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,38,532,522,54,382,161,8,33,242,53,34,1,8,46,1,33,23,17,10,3,1,0,7,57.227352,8.112324,114.543732,22.937338,0.691318,0.479363,23.238562
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,37,396,387,36,236,55,0,146,123,36,12,0,30,26,0,12,81,26,65,0,0,0,12,47.797485,6.642981,83.916656,10.578705,0.001967,3.647219,15.180311
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,36,504,495,26,344,166,1,272,48,26,15,0,24,13,0,15,41,30,231,1,0,0,15,59.227211,6.053309,95.946495,23.30916,0.049405,7.087058,6.606953
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,35,411,409,63,248,97,3,233,83,62,36,1,61,30,1,35,74,40,159,3,1,0,36,49.535744,9.435207,93.191147,18.148767,0.089968,8.029716,10.816278
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,34,397,395,40,72,15,4,58,8,37,13,1,30,5,0,13,2,0,56,3,3,0,13,70.373161,6.182094,29.060204,2.601746,0.719484,2.143445,0.930377
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,33,310,300,1,297,10,51,284,100,1,0,1,1,1,0,0,92,4,192,51,0,0,0,72.378387,0.545332,146.255768,7.187032,8.353422,28.121473,21.082485
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,32,641,628,0,597,22,57,542,76,0,0,0,0,0,0,0,64,8,478,56,0,0,0,66.304939,0.038565,115.597519,4.539433,2.232373,12.930478,8.406654
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,31,442,421,1,51,1,5,81,59,0,0,0,0,1,0,0,8,1,73,4,1,0,0,66.686691,0.118744,27.121294,0.326781,0.613141,1.451826,9.675466
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,30,57,54,3,14,9,25,5,9,2,2,2,2,1,1,1,1,1,4,4,0,1,1,26.086012,4.551333,41.395931,14.190585,27.498718,0.893927,10.399222
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,3,412,409,31,131,74,12,135,62,22,11,2,22,12,2,9,48,26,87,12,9,1,11,89.273476,6.175134,42.961243,13.935991,1.77353,3.969078,9.654055
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,29,150,141,0,4,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.417574,0.000228,7.230634,5.056985,0.000311,0.001402,3.808275
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,28,410,404,96,247,90,0,226,141,92,49,0,88,58,0,49,121,51,105,0,4,0,48,50.798683,12.713481,90.544067,14.793131,0.00729,7.09266,17.69154
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,27,505,497,75,380,166,1,352,191,75,49,1,74,55,1,48,175,96,177,1,0,0,49,55.262436,9.417707,102.107605,22.873547,0.09732,9.766433,18.131119
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,26,397,390,58,261,152,3,279,82,58,41,0,56,24,0,41,77,53,202,3,0,0,41,54.284306,9.435123,95.852066,26.754566,0.142602,10.83595,11.532633
