"","Protein","Subset","Contrast","log2FC","Pr(>|t|)","FDR"
"High...Low.160","Pro Caspase-8","Glioma","High - Low",0.0501520757470535,0.735234682426898,0.925267058789595
"High...Low.161","TNFAIP3","Glioma","High - Low",0.116826126567832,0.574041864848039,0.91173381530081
"High...Low.162","Aldolase","Glioma","High - Low",-0.144819403236161,0.437127148468662,0.844614151624633
"High...Low.163","SIRT3","Glioma","High - Low",0.154020643177935,0.591726435483538,0.91173381530081
"High...Low.164","Heme Oxygenase 1","Glioma","High - Low",0.222748942721787,0.40285831586127,0.833525486424662
"High...Low.165","ERK1 (phospho T202) + ERK2 (phospho T185)","Glioma","High - Low",0.342494952542166,0.43625246192321,0.844614151624633
"High...Low.166","NKG2D","Glioma","High - Low",0.26541345240675,0.306067652405364,0.754966875933232
"High...Low.167","N Cadherin","Glioma","High - Low",0.0414691549835989,0.886776110422589,0.955651924824343
"High...Low.168","Sonic Hedgehog","Glioma","High - Low",0.374798998955761,0.271277297818666,0.721888559002302
"High...Low.169","EGFR","Glioma","High - Low",0.486388473087237,0.0495048487738876,0.343439888368845
"High...Low.170","HDAC6","Glioma","High - Low",0.578931820535755,0.0757179852763982,0.405820886939019
"High...Low.171","Caspase-3 p12","Glioma","High - Low",0.415166961030893,0.0417756081315418,0.323518081576824
"High...Low.172","HDAC9","Glioma","High - Low",0.224696812321325,0.313466135165638,0.766374190754598
"High...Low.173","Rho","Glioma","High - Low",-0.303617683349561,0.371523573663358,0.808610130914368
"High...Low.174","Dnmt1","Glioma","High - Low",0.356710995486878,0.0865529158131954,0.423854720085207
"High...Low.175","Bad","Glioma","High - Low",0.228321734833465,0.362715404903507,0.808610130914368
"High...Low.176","STAT2","Glioma","High - Low",0.326968560828204,0.262213832534298,0.715714805196075
"High...Low.177","CD20","Glioma","High - Low",0.0154755648376538,0.951757155059198,0.982665539201889
"High...Low.178","p38 (phospho T180)","Glioma","High - Low",0.466949013078539,0.0364856822732078,0.303743304924455
"High...Low.179","HDAC3","Glioma","High - Low",0.590946887886524,0.000602277388228479,0.0257768553850049
"High...Low.180","FADD","Glioma","High - Low",0.355411043726366,0.0330804593172405,0.297724133855164
"High...Low.181","p38 beta/MAPK11 + p38 alpha/MAPK14","Glioma","High - Low",0.198942547888084,0.384884440166833,0.813297556462736
"High...Low.182","FBP2","Glioma","High - Low",0.0459055637781615,0.908207905650913,0.966240359686115
"High...Low.183","MLH1","Glioma","High - Low",0.556777988602917,0.0127586285086407,0.184722751885971
"High...Low.184","TRAF6","Glioma","High - Low",0.270848838887356,0.261334030223848,0.715714805196075
"High...Low.185","TLR7","Glioma","High - Low",0.222252515511895,0.280203550756614,0.721888559002302
"High...Low.186","PI 3 Kinase catalytic subunit alpha/PIK3CA","Glioma","High - Low",-0.0552583004503444,0.866619643791198,0.955577289345924
