Protein,Subset,Contrast,log2FC,Pr(>|t|),FDR
Topoisomerase II alpha,BrM,High - Low,0.684791317,0.000128434,0.000498402
Hexokinase 1,BrM,High - Low,-0.058034289,0.866111571,0.883094151
TROP2,BrM,High - Low,0.154861125,0.585322669,0.626271169
IKK gamma/NEMO,BrM,High - Low,1.022053331,7.00E-05,0.000293426
GLB1/Beta-galactosidase,BrM,High - Low,2.216986147,1.42E-09,5.42E-08
IFNGR1,BrM,High - Low,0.535455425,0.011977249,0.020623079
PP2A alpha + beta,BrM,High - Low,1.828748364,9.58E-08,1.66E-06
RPS6,BrM,High - Low,0.189355375,0.458655319,0.507448438
Histone H3 (acetyl K14),BrM,High - Low,1.580397485,6.50E-06,4.12E-05
HDAC2,BrM,High - Low,1.242640574,1.01E-05,5.96E-05
IDH1,BrM,High - Low,2.028694917,7.40E-07,8.02E-06
Tuberin,BrM,High - Low,-1.172897197,0.126494279,0.161149229
STAT3,BrM,High - Low,0.742421763,0.019342762,0.030295892
Caveolin-1,BrM,High - Low,0.637126402,0.139598014,0.173662601
HuR / ELAVL1,BrM,High - Low,2.095647323,4.03E-07,5.51E-06
Lamin A + Lamin B1 + Lamin C,BrM,High - Low,0.779701818,0.000124825,0.000491736
Bax,BrM,High - Low,0.072601902,0.768228085,0.792616278
Fatty Acid Synthase,BrM,High - Low,1.807185814,4.06E-08,8.11E-07
Insulin Receptor alpha,BrM,High - Low,0.764309192,0.003889362,0.008221415
Hsp27,BrM,High - Low,0.376308621,0.282626226,0.332501443
MEK2,BrM,High - Low,1.13816421,4.73E-05,0.000215696
ENO1 + ENO2 + ENO3,BrM,High - Low,1.305592659,0.000945437,0.002458137
CD276,BrM,High - Low,1.081087051,0.000590919,0.001688341
beta glucuronidase (GUSB),BrM,High - Low,0.085318756,0.801294938,0.823465154
S100A8 + S100A9,BrM,High - Low,0.190499787,0.620038021,0.657999532
Smac/Diablo,BrM,High - Low,0.402554235,0.103208783,0.132842989
Ubiquitin,BrM,High - Low,1.311075581,4.87E-05,0.000218134
alpha smooth muscle Actin,BrM,High - Low,0.775104475,0.243077544,0.289908997
Histone H3 (phospho S10),BrM,High - Low,1.229189912,0.008811799,0.015800468
SMAD1 + SMAD5 + SMAD9 (phospho S463 + S465 + S467),BrM,High - Low,1.428315689,1.92E-05,9.40E-05
Cyclophilin A,BrM,High - Low,1.015270391,0.000647797,0.001817458
Vimentin,BrM,High - Low,0.27857315,0.604388062,0.644020066
E Cadherin,BrM,High - Low,-0.010461001,0.968481012,0.974013314
SDHA,BrM,High - Low,0.892047669,0.000840164,0.002229005
PLCG 2,BrM,High - Low,1.177864818,0.000143404,0.000540365
Cdk4,BrM,High - Low,0.589680291,0.016271027,0.026095807
Cytokeratin 8 (phospho S431),BrM,High - Low,3.937940354,5.40E-06,3.60E-05
S100A9,BrM,High - Low,0.569193438,0.135286611,0.169108263
VEGF Receptor 1,BrM,High - Low,2.764526978,4.87E-10,3.17E-08
CD63,BrM,High - Low,0.598621973,0.128286017,0.161914391
beta Tubulin,BrM,High - Low,1.240422452,0.003863492,0.008221415
Rho A + B + C,BrM,High - Low,0.890503072,0.000541566,0.001582103
Histone H3 (acetyl K18),BrM,High - Low,2.41852723,1.87E-08,5.15E-07
CREB,BrM,High - Low,0.643091391,0.018023039,0.02839994
MRP8,BrM,High - Low,0.318555131,0.438108129,0.48678681
Sumo 1,BrM,High - Low,1.275111262,3.17E-06,2.43E-05
Glucose Transporter GLUT1,BrM,High - Low,-0.575366263,0.347192946,0.397665929
Glucose 6 Phosphate Dehydrogenase,BrM,High - Low,3.602311288,9.35E-10,4.86E-08
Actin,BrM,High - Low,0.677659828,0.016360064,0.026095807
Bid,BrM,High - Low,0.611899258,0.040223217,0.057779206
Hsp90,BrM,High - Low,0.804457359,0.010331242,0.018398102
Lactate Dehydrogenase,BrM,High - Low,1.250051116,0.000506343,0.001496014
MUC1,BrM,High - Low,0.38323653,0.049018754,0.068520839
IKB alpha,BrM,High - Low,0.665863718,0.003266652,0.007073543
Cytokeratin 8,BrM,High - Low,2.315236478,0.000805774,0.002182306
IDH2,BrM,High - Low,2.40613984,2.60E-10,2.26E-08
LAMP1,BrM,High - Low,0.688899146,0.059076562,0.080841611
IKKi/IKKe,BrM,High - Low,0.392101957,0.084413795,0.111415417
Histone H3 (mono methyl K4),BrM,High - Low,1.38875221,1.16E-07,1.87E-06
Calreticulin,BrM,High - Low,-0.670109979,0.015074505,0.025320483
Histone H2A (acetyl K5),BrM,High - Low,2.036766141,1.13E-06,1.05E-05
Histone H3 (di methyl K4),BrM,High - Low,0.704201686,0.055082948,0.075775484
Histone H3 (tri methyl K9),BrM,High - Low,1.571733347,3.48E-08,7.54E-07
GAPDH,BrM,High - Low,0.457212821,0.005655447,0.010973255
Histone H3,BrM,High - Low,0.87462416,1.90E-05,9.40E-05
Histone H3 (di methyl K79),BrM,High - Low,1.645981591,1.21E-06,1.05E-05
