Gene,Subset,Contrast,log2FC,Pr(>|t|),FDR
BRCA1,Glioma,High - Low,0.638186689,0.111651398,0.186246879
RANBP3,Glioma,High - Low,0.73222696,4.63E-06,0.000636015
NSD2,Glioma,High - Low,0.82307522,0.000546806,0.00579703
SH3BGR,Glioma,High - Low,0.59833606,0.275381356,0.377506868
NUP42,Glioma,High - Low,1.540786955,3.38E-05,0.001510813
TTF1,Glioma,High - Low,0.826514116,0.006655644,0.025258651
OGFR,Glioma,High - Low,0.511345992,0.033141708,0.075530788
AP4E1,Glioma,High - Low,0.016165967,0.958712565,0.970516777
ATF6,Glioma,High - Low,0.535873489,0.019080328,0.051160912
PAXIP1,Glioma,High - Low,0.952943258,0.085090322,0.151934604
PHLDA1,Glioma,High - Low,1.133453027,0.024872351,0.061481737
GNA12,Glioma,High - Low,0.690026122,0.002041525,0.012194199
HSP90AB1,Glioma,High - Low,0.678868034,0.002269652,0.012938118
COG2,Glioma,High - Low,0.732828985,0.002030499,0.012156068
CASC3,Glioma,High - Low,1.355934031,0.000505505,0.005575888
KLRK1,Glioma,High - Low,1.197470049,0.00666178,0.025274613
NID2,Glioma,High - Low,-1.006079354,0.11992157,0.196586091
NONO,Glioma,High - Low,1.707042974,0.000191654,0.003404782
TMED3,Glioma,High - Low,0.633682584,0.299617743,0.402940938
RALY,Glioma,High - Low,1.042218631,9.06E-05,0.002416655
RASA3,Glioma,High - Low,0.532169528,0.093509141,0.162949647
GPR161,Glioma,High - Low,1.114762043,0.03384104,0.076615401
BRD3,Glioma,High - Low,0.723910269,0.009853975,0.032921176
DDX42,Glioma,High - Low,0.996415539,6.68E-06,0.00072233
SHOC2,Glioma,High - Low,1.109672716,0.006031951,0.023838313
TARDBP,Glioma,High - Low,0.865361136,7.23E-05,0.002165853
AKR7A3,Glioma,High - Low,0.290669188,0.618548284,0.704047004
ATF5,Glioma,High - Low,0.132517215,0.808348126,0.859413345
COMMD3,Glioma,High - Low,-0.045041653,0.821073872,0.868620644
CD93,Glioma,High - Low,0.227966728,0.579392146,0.668898807
DGAT1,Glioma,High - Low,1.149607184,0.001134448,0.008864939
ELL2,Glioma,High - Low,-0.095157687,0.845396388,0.886210961
ZFPM2,Glioma,High - Low,1.729185649,0.001082402,0.008625619
FRAT2,Glioma,High - Low,0.978166732,0.053059587,0.106046279
GTF3C5,Glioma,High - Low,0.260010333,0.047191484,0.097518639
PGLS,Glioma,High - Low,0.920808767,0.000331016,0.004504059
ABCB10,Glioma,High - Low,0.860120368,0.017842857,0.048863528
MACF1,Glioma,High - Low,0.185103484,0.33335839,0.437779479
ADAT1,Glioma,High - Low,1.219148631,0.010699483,0.034719287
PRDX5,Glioma,High - Low,0.627493861,0.002719371,0.014502942
AP3M1,Glioma,High - Low,0.776257259,0.00045083,0.005278019
APPL1,Glioma,High - Low,0.494242755,0.012473035,0.038317561
ANGPTL2,Glioma,High - Low,2.627308905,0.003402054,0.016497443
DNPEP,Glioma,High - Low,1.404631279,0.009138617,0.031361347
RERE,Glioma,High - Low,0.502804712,0.077547466,0.141588199
BACE1,Glioma,High - Low,0.301583647,0.317277927,0.421995113
BACE2,Glioma,High - Low,0.660582257,0.160291712,0.246297311
ARL2BP,Glioma,High - Low,0.906507431,0.004008032,0.018221236
TMEM59L,Glioma,High - Low,0.503312674,0.503500969,0.601502261
CHIC2,Glioma,High - Low,0.864117219,0.122482699,0.19975909
TPX2,Glioma,High - Low,0.595425063,0.414955077,0.518120049
CA14,Glioma,High - Low,0.9260078,0.156875594,0.242471036
CASP8AP2,Glioma,High - Low,0.325758117,0.094854022,0.164624034
CBX5,Glioma,High - Low,0.964921587,0.001944597,0.011836637
CD2AP,Glioma,High - Low,0.911203608,0.06491561,0.12346602
CDC42EP4,Glioma,High - Low,1.326729451,0.02231479,0.057119754
CIZ1,Glioma,High - Low,0.528386381,0.00090025,0.007744249
CLCA4,Glioma,High - Low,-0.910663817,0.030160095,0.070742766
COPG2,Glioma,High - Low,1.298721601,0.025168232,0.062022899
LMOD1,Glioma,High - Low,0.752850164,0.107250843,0.180632272
DDAH1,Glioma,High - Low,-0.195782439,0.589746118,0.678340149
SERGEF,Glioma,High - Low,1.665081196,8.71E-05,0.002357407
INTS6,Glioma,High - Low,1.282973573,0.013890663,0.041165788
DNAI1,Glioma,High - Low,-0.584979126,0.221408633,0.317869222
DTYMK,Glioma,High - Low,2.238699451,0.007620053,0.027706012
AGO2,Glioma,High - Low,1.153643608,0.015768358,0.045039396
EML2,Glioma,High - Low,-0.445606527,0.095122535,0.164915168
FBXL2,Glioma,High - Low,-0.057738146,0.904032187,0.930103208
FBXL3,Glioma,High - Low,0.547081575,0.016853978,0.047030932
FBXL4,Glioma,High - Low,0.19218198,0.300647068,0.404062006
FBXL6,Glioma,High - Low,1.913380597,5.48E-05,0.001876773
FBXW2,Glioma,High - Low,0.851547584,0.0325029,0.0746067
FBXO10,Glioma,High - Low,1.14005799,0.049227525,0.100488929
FBXO2,Glioma,High - Low,-1.223403413,0.091304943,0.160057381
TSPAN17,Glioma,High - Low,0.823166007,0.015854657,0.045205798
FBXO24,Glioma,High - Low,-0.178897587,0.67809856,0.755025465
FBXW8,Glioma,High - Low,1.823301122,0.000409896,0.005015667
FBXO3,Glioma,High - Low,1.01036014,0.052940291,0.105960135
FBXO5,Glioma,High - Low,0.11271338,0.848760734,0.888954827
FBXO8,Glioma,High - Low,0.559611692,0.013669733,0.04070453
FKBP8,Glioma,High - Low,0.246970284,0.045971169,0.095539765
FOXD4L1,Glioma,High - Low,1.353525311,0.040799885,0.087472227
ALDH1L1,Glioma,High - Low,0.784948795,0.245956042,0.345340747
TIMM10B,Glioma,High - Low,0.679317973,0.003353393,0.016401185
KIAA1549L,Glioma,High - Low,1.17226104,0.078050054,0.142305106
RABGAP1,Glioma,High - Low,0.916949536,0.000157713,0.003152566
GCA,Glioma,High - Low,-0.217118036,0.454784553,0.556130957
B3GAT3,Glioma,High - Low,0.410412595,0.055384306,0.109324565
GNG3,Glioma,High - Low,-0.840170138,0.347036596,0.451216536
GTF3C4,Glioma,High - Low,2.021183214,1.80E-05,0.00114785
HARS2,Glioma,High - Low,0.743596043,0.066422862,0.125657352
TRIM32,Glioma,High - Low,0.676101276,0.091165628,0.159939912
ITGA11,Glioma,High - Low,0.233056797,0.663056274,0.743015731
OGA,Glioma,High - Low,0.719064177,0.000305822,0.004328785
MRAS,Glioma,High - Low,0.492096021,0.310183015,0.414368556
NEK1,Glioma,High - Low,0.947377062,0.040115329,0.086407521
NUBP2,Glioma,High - Low,0.85308488,0.001951949,0.011859338
GTPBP6,Glioma,High - Low,1.029857886,0.000289289,0.004199183
MSRB2,Glioma,High - Low,0.138657528,0.61504172,0.700908804
NT5C2,Glioma,High - Low,0.770757372,0.046811676,0.096902019
PRDM2,Glioma,High - Low,-0.014654307,0.970119478,0.978866702
CAVIN1,Glioma,High - Low,-0.144828828,0.8139249,0.863311627
RAB3GAP1,Glioma,High - Low,0.423193792,0.01235371,0.038111951
RYBP,Glioma,High - Low,0.593038697,0.093522257,0.162949647
SCAP,Glioma,High - Low,0.837373371,4.96E-05,0.00178949
SIRT2,Glioma,High - Low,0.298448509,0.584805551,0.674078624
SIRT1,Glioma,High - Low,0.254742232,0.055259829,0.109177145
SIRT3,Glioma,High - Low,1.200601546,0.009303237,0.03168764
SIRT5,Glioma,High - Low,-0.116582044,0.604227622,0.691111405
DKK1,Glioma,High - Low,-0.260629572,0.288022313,0.390785092
SLC35A3,Glioma,High - Low,0.693427736,0.03104744,0.072216047
SNW1,Glioma,High - Low,0.059853926,0.563576462,0.655378508
SEPHS2,Glioma,High - Low,1.406324527,0.003377732,0.016446503
RHOQ,Glioma,High - Low,0.230819347,0.422573983,0.52567802
TFEC,Glioma,High - Low,0.374963495,0.530041729,0.625266813
XRN2,Glioma,High - Low,0.834329595,0.00253679,0.013891336
ZNF212,Glioma,High - Low,1.109190017,0.002420426,0.013440239
HBP1,Glioma,High - Low,0.913499013,0.008378097,0.029575203
HEY1,Glioma,High - Low,1.495631138,0.001987222,0.011995713
HEY2,Glioma,High - Low,-0.354385201,0.481306488,0.580271257
HACL1,Glioma,High - Low,1.366858575,0.00036545,0.004723434
LAMP5,Glioma,High - Low,0.029497273,0.965823844,0.97587407
HS2ST1,Glioma,High - Low,0.609252462,0.156482529,0.241977767
RHBDD3,Glioma,High - Low,2.35197313,0.000389516,0.004902543
DNAJB5,Glioma,High - Low,1.431386844,0.003620341,0.017112415
HSPBP1,Glioma,High - Low,0.124588139,0.723161568,0.791867058
IL36RN,Glioma,High - Low,-0.095055188,0.892400549,0.921539584
LILRA4,Glioma,High - Low,-0.813593908,0.008879338,0.030755864
ZNF346,Glioma,High - Low,0.20731325,0.202862614,0.296569921
KCNH3,Glioma,High - Low,-0.729156963,0.038928826,0.084681029
ACAP2,Glioma,High - Low,1.937465624,2.94E-05,0.001422687
TRAM2,Glioma,High - Low,0.437765985,0.356214952,0.460325708
KEAP1,Glioma,High - Low,1.663130297,0.000931999,0.007913529
PXDN,Glioma,High - Low,1.255958161,0.010766141,0.034848227
CABIN1,Glioma,High - Low,0.979220764,1.81E-05,0.00114785
MAGI2,Glioma,High - Low,0.79515959,0.183470764,0.273721822
ADGRL2,Glioma,High - Low,0.160048016,0.804583356,0.856614777
FBXL7,Glioma,High - Low,0.995036358,0.051033232,0.103257318
AP2A2,Glioma,High - Low,0.412784307,0.010705151,0.034719287
FAIM2,Glioma,High - Low,-0.205469624,0.706844168,0.778753844
EPB41L3,Glioma,High - Low,-0.409796512,0.462761165,0.563254805
KDM2A,Glioma,High - Low,0.806404131,0.011275025,0.035848445
KIF4A,Glioma,High - Low,-0.106796365,0.784002267,0.840049803
KIN,Glioma,High - Low,0.868830863,0.074519226,0.137642063
KPNA6,Glioma,High - Low,0.633389077,0.21088985,0.305609386
LDOC1,Glioma,High - Low,0.574117113,0.317322667,0.42201175
LETM1,Glioma,High - Low,1.224170347,0.001348735,0.009535093
SLC39A6,Glioma,High - Low,0.782506658,0.000820402,0.007354837
PLA2G15,Glioma,High - Low,0.796825953,0.101601341,0.173240382
LSM5,Glioma,High - Low,1.602289284,0.000851093,0.007498899
MAPK8IP2,Glioma,High - Low,0.422339338,0.588497093,0.677260477
MAPRE1,Glioma,High - Low,1.119603782,1.19E-05,0.000958881
MAPRE3,Glioma,High - Low,0.003599154,0.989974752,0.99293239
PIGN,Glioma,High - Low,0.323712641,0.081463417,0.147117313
DNAJB9,Glioma,High - Low,0.246153257,0.211175014,0.305954903
MMD,Glioma,High - Low,0.058014234,0.811177111,0.861443906
KAT6B,Glioma,High - Low,0.601550834,0.100030526,0.171093749
MYCBP,Glioma,High - Low,0.76272804,0.276534502,0.378712702
MYO10,Glioma,High - Low,1.095340424,0.025375736,0.062381621
TSPAN15,Glioma,High - Low,-0.282016279,0.555555712,0.648354661
NFATC2,Glioma,High - Low,-0.375756296,0.238373014,0.337115779
BAMBI,Glioma,High - Low,-0.823632632,0.195871562,0.288572788
NNT,Glioma,High - Low,1.345772356,0.004381966,0.019363172
NTSR2,Glioma,High - Low,-0.793171434,0.212051332,0.306952801
NUFIP1,Glioma,High - Low,0.981616534,0.0185081,0.050223119
FBXO9,Glioma,High - Low,0.9022745,0.003512702,0.016846817
OR1F1,Glioma,High - Low,0.708594416,0.126008743,0.204096699
OR2F1,Glioma,High - Low,1.053987163,0.003561109,0.01697258
OR8B8,Glioma,High - Low,1.367064134,0.040352793,0.086812212
TTC33,Glioma,High - Low,-0.034076659,0.941085382,0.958308444
OSTF1,Glioma,High - Low,-0.350117211,0.161464174,0.247607684
GMEB2,Glioma,High - Low,1.238088022,0.00277293,0.014688861
NUPR1,Glioma,High - Low,0.05600864,0.921133017,0.943619012
PFAS,Glioma,High - Low,2.323779433,0.000457073,0.005308612
PFDN2,Glioma,High - Low,0.552011039,0.006274403,0.02447877
CDK14,Glioma,High - Low,0.624677778,0.052192353,0.104776829
PHLDA3,Glioma,High - Low,0.590604989,0.045641402,0.095065682
PIP5K1C,Glioma,High - Low,1.386244083,0.046828165,0.09692083
PITPNB,Glioma,High - Low,0.747901752,0.002635374,0.014243952
PLXNB2,Glioma,High - Low,0.349280225,0.122729835,0.200012662
ICMT,Glioma,High - Low,0.220799525,0.31461699,0.419300533
PRDM4,Glioma,High - Low,0.959502724,0.005309657,0.021861428
PICK1,Glioma,High - Low,-0.005542275,0.991450246,0.993651107
PRND,Glioma,High - Low,-0.321745268,0.414670537,0.517912939
H2AZ2,Glioma,High - Low,1.127571245,0.005685897,0.022899246
RAB3GAP2,Glioma,High - Low,1.271392835,0.00141085,0.009747894
PITPNC1,Glioma,High - Low,0.921126034,0.004480249,0.019610928
RGS17,Glioma,High - Low,0.979207842,0.109976114,0.184018788
RLF,Glioma,High - Low,0.969623178,0.007189982,0.026660558
RPS6KC1,Glioma,High - Low,0.434263711,0.032514346,0.0746067
SF3B3,Glioma,High - Low,0.899262954,0.000122146,0.002822948
SEC14L2,Glioma,High - Low,0.521563173,0.151239236,0.235622956
SEC22A,Glioma,High - Low,0.735275895,0.015809466,0.045112413
SEMA3E,Glioma,High - Low,1.549883233,0.039458608,0.085432948
SLC17A5,Glioma,High - Low,0.174813469,0.598178721,0.686170843
SHC2,Glioma,High - Low,1.325411222,0.033962692,0.076787001
SNAPIN,Glioma,High - Low,0.931744951,0.03765886,0.082660092
SPON2,Glioma,High - Low,0.263948436,0.48787155,0.586673604
STAT5B,Glioma,High - Low,1.71580083,3.43E-05,0.001512467
STEAP1,Glioma,High - Low,-0.01582883,0.977778973,0.984546651
SYNGR4,Glioma,High - Low,0.203087218,0.672925783,0.750990221
TIMM13,Glioma,High - Low,1.620505618,8.13E-05,0.002263891
TIMM9,Glioma,High - Low,0.720559877,0.004379029,0.019357401
ATP6V0A2,Glioma,High - Low,1.49807758,0.002694688,0.014430082
PRPF6,Glioma,High - Low,0.939172499,0.016532351,0.046442772
TNPO3,Glioma,High - Low,1.069720645,5.37E-05,0.001860242
DNAAF11,Glioma,High - Low,-0.083406186,0.888694038,0.918581435
TXN2,Glioma,High - Low,1.061967232,9.34E-05,0.002446957
UCK2,Glioma,High - Low,1.70004998,1.77E-05,0.001133939
USP21,Glioma,High - Low,1.034558555,0.001107646,0.008762784
VAX2,Glioma,High - Low,1.425963984,0.008640385,0.030183714
WBP2,Glioma,High - Low,0.265202548,0.198472601,0.291584578
YWHAG,Glioma,High - Low,0.306845774,0.313133559,0.417766981
ZNF281,Glioma,High - Low,0.082026974,0.763332339,0.823989758
HMMR,Glioma,High - Low,0.013592752,0.97935744,0.985562537
ACAN,Glioma,High - Low,0.849982535,0.283961084,0.386436178
FLRT2,Glioma,High - Low,0.404814592,0.568610861,0.65976799
PDCD6,Glioma,High - Low,0.695453655,0.000106283,0.002616912
STK39,Glioma,High - Low,0.673351621,0.158988224,0.24497469
ATXN10,Glioma,High - Low,0.593474614,0.005329336,0.021935555
PRELID1,Glioma,High - Low,0.790889385,0.000135023,0.002934234
DNAJC15,Glioma,High - Low,1.405175862,0.040905294,0.087583486
PPP2R3B,Glioma,High - Low,0.903910127,0.017763447,0.048690787
N6AMT1,Glioma,High - Low,0.95082064,0.031205302,0.072480223
FHOD1,Glioma,High - Low,-0.234826486,0.630289036,0.714862643
CFAP20,Glioma,High - Low,0.433952468,0.34405742,0.448476049
VPS4A,Glioma,High - Low,0.887816887,0.002760336,0.014655134
NXT1,Glioma,High - Low,0.913602123,0.04530003,0.094580337
ZNF214,Glioma,High - Low,0.333313037,0.543834128,0.637973322
TBK1,Glioma,High - Low,1.379598906,0.000610202,0.006150404
ZNF180,Glioma,High - Low,0.233466014,0.572944457,0.663502721
SGK3,Glioma,High - Low,-0.158941013,0.666202374,0.74558404
PYCARD,Glioma,High - Low,-0.640993724,0.354649121,0.458745401
SAP30BP,Glioma,High - Low,1.134855176,0.000704063,0.006658448
PPARGC1A,Glioma,High - Low,0.544519299,0.24858632,0.348168933
DDX25,Glioma,High - Low,1.223502943,0.002196138,0.012779573
PRSS50,Glioma,High - Low,-0.401116869,0.32583188,0.430399193
PCSK1N,Glioma,High - Low,0.343765915,0.469869004,0.56926019
SLCO3A1,Glioma,High - Low,-0.847819598,0.070916011,0.132359705
SHPK,Glioma,High - Low,1.614577876,0.006020107,0.023836093
RACGAP1,Glioma,High - Low,1.29616686,0.0293307,0.069206497
FLRT1,Glioma,High - Low,1.244699913,0.00766711,0.027769148
FLRT3,Glioma,High - Low,0.166514056,0.731942837,0.798743754
MAT2B,Glioma,High - Low,0.109694548,0.537677652,0.632223933
GNL2,Glioma,High - Low,0.807141934,0.089248938,0.157399831
KIR3DL1,Glioma,High - Low,0.992530791,0.146549386,0.229639876
CPSF1,Glioma,High - Low,1.506178306,0.000253555,0.003938644
TRA2A,Glioma,High - Low,0.66242582,0.000732931,0.006824388
GPSM2,Glioma,High - Low,0.433317844,0.053798543,0.107098119
SAC3D1,Glioma,High - Low,1.888055172,0.000559924,0.005870793
FAM216A,Glioma,High - Low,1.124384379,0.012812421,0.039048658
CCDC106,Glioma,High - Low,0.583559401,0.370378093,0.475008362
EEF2K,Glioma,High - Low,1.883409377,0.001848776,0.011466615
ZDHHC1,Glioma,High - Low,0.513074864,0.233113571,0.331108667
ST8SIA5,Glioma,High - Low,0.383902496,0.654151442,0.73517638
SNX15,Glioma,High - Low,1.129860559,0.009630812,0.032382184
YPEL1,Glioma,High - Low,0.590280968,0.163487537,0.250034146
BLNK,Glioma,High - Low,-0.495629147,0.426743985,0.529672651
PRRC2B,Glioma,High - Low,0.748603404,1.71E-05,0.001120464
UBIAD1,Glioma,High - Low,0.644778237,0.138177163,0.21939772
HCFC2,Glioma,High - Low,0.858531246,0.045005387,0.094115242
SNX8,Glioma,High - Low,1.74285921,0.003937282,0.018024765
ATG4B,Glioma,High - Low,0.605163067,1.44E-05,0.001039509
PARVB,Glioma,High - Low,0.482819895,0.431039127,0.533723784
PYCR2,Glioma,High - Low,0.463885222,0.010956721,0.035178115
PAXBP1,Glioma,High - Low,0.974843482,0.000529745,0.005703871
NME7,Glioma,High - Low,1.851345685,0.000741902,0.006889162
HILPDA,Glioma,High - Low,1.398137071,0.007749028,0.027944984
EPN1,Glioma,High - Low,0.150520056,0.377631565,0.482300527
GMPPA,Glioma,High - Low,0.763567169,0.191339301,0.283234083
SEC61A1,Glioma,High - Low,1.070812498,0.000207083,0.00353061
TIMM22,Glioma,High - Low,0.554502039,0.268205365,0.369662614
ALG5,Glioma,High - Low,0.290491262,0.189742871,0.281125201
ALG6,Glioma,High - Low,0.080823659,0.825925627,0.87193508
TFPT,Glioma,High - Low,0.175903313,0.713564392,0.783849197
KCNJ14,Glioma,High - Low,0.055818325,0.906206224,0.931681044
DSE,Glioma,High - Low,0.95178343,0.16890233,0.256368908
CNOT7,Glioma,High - Low,0.796319466,0.000523524,0.005665896
PKN3,Glioma,High - Low,0.663966873,0.263488758,0.364562856
ZNF221,Glioma,High - Low,1.172380022,0.039067718,0.084814066
ZNF225,Glioma,High - Low,0.511013771,0.368716495,0.473712596
PNMA3,Glioma,High - Low,-0.627050353,0.268718241,0.370233392
ANAPC4,Glioma,High - Low,1.039097768,0.019901392,0.052778797
OSGIN1,Glioma,High - Low,0.419866348,0.432714755,0.535241784
ZDHHC8,Glioma,High - Low,0.981212132,0.008952332,0.030918725
ABT1,Glioma,High - Low,0.599611592,0.248985028,0.348584364
SERTAD1,Glioma,High - Low,0.728216488,0.283723769,0.386233656
PDZRN4,Glioma,High - Low,0.730793873,0.095301488,0.165112598
VPREB3,Glioma,High - Low,-1.187718454,0.024216385,0.060358868
POMT2,Glioma,High - Low,0.851613034,0.018476531,0.050168647
CYTH4,Glioma,High - Low,0.245837068,0.75461903,0.816958105
PREB,Glioma,High - Low,1.349222542,0.007635896,0.027732811
CEMIP2,Glioma,High - Low,-0.357409021,0.547530721,0.641332951
NRBP1,Glioma,High - Low,1.440079694,0.003529081,0.016891684
MRM2,Glioma,High - Low,1.907370533,0.006765328,0.025563764
ZNF224,Glioma,High - Low,0.345171811,0.270836527,0.372460196
CDIP1,Glioma,High - Low,0.461441575,0.200721949,0.294163026
RAB3IL1,Glioma,High - Low,0.566646485,0.14726268,0.230580037
FADS1,Glioma,High - Low,0.856857128,0.019213164,0.051412551
AK2,Glioma,High - Low,0.661485718,0.012907071,0.039282261
ARHGAP6,Glioma,High - Low,0.661386893,0.262889657,0.363890949
KLRC4,Glioma,High - Low,1.247528161,0.062740579,0.120307909
NCKAP1,Glioma,High - Low,1.022813045,1.47E-05,0.001039509
LRP12,Glioma,High - Low,0.731568554,0.012382399,0.03816392
STOML2,Glioma,High - Low,0.651836682,0.107493976,0.180911285
ST6GALNAC6,Glioma,High - Low,-0.152345661,0.615832596,0.701565838
UBQLN2,Glioma,High - Low,0.61096169,0.003782422,0.017633548
MKRN1,Glioma,High - Low,2.098901415,5.66E-05,0.001897272
BAZ1A,Glioma,High - Low,1.426416163,0.008554478,0.029971576
BAZ2A,Glioma,High - Low,1.780920464,0.000595546,0.006077545
BAZ2B,Glioma,High - Low,1.288907134,0.018733661,0.05057876
SPANXA1,Glioma,High - Low,-0.305340123,0.08409987,0.150709066
CLIC4,Glioma,High - Low,0.812500593,0.010710378,0.034719287
DDAH2,Glioma,High - Low,1.163632042,0.06754054,0.12729355
BNIP1,Glioma,High - Low,0.842962122,0.080389163,0.145679627
EWSR1,Glioma,High - Low,0.759478504,1.13E-07,8.24E-05
DIO2,Glioma,High - Low,0.232320402,0.653713489,0.73493652
VCL,Glioma,High - Low,0.041145264,0.868262032,0.903128673
DHX38,Glioma,High - Low,1.27827524,0.000731161,0.006816557
CCDC22,Glioma,High - Low,1.054013026,0.003280227,0.01613374
SOCS5,Glioma,High - Low,0.291231903,0.307613974,0.4115665
SNRNP200,Glioma,High - Low,1.608286425,0.003759867,0.017543815
DEXI,Glioma,High - Low,0.156646183,0.230039058,0.327665512
SACM1L,Glioma,High - Low,0.977507872,2.68E-05,0.001348137
MRPS28,Glioma,High - Low,0.868671615,0.003135923,0.015707208
WDR37,Glioma,High - Low,0.38442574,0.163192927,0.24972979
OSTM1,Glioma,High - Low,0.703435119,0.029352989,0.069226251
GIT1,Glioma,High - Low,0.47837591,0.035432043,0.079192854
SLC27A6,Glioma,High - Low,-0.502804354,0.105625197,0.178307207
ASF1A,Glioma,High - Low,1.234019968,0.017452749,0.048178123
SNX24,Glioma,High - Low,0.672371551,0.070228858,0.131360943
C11orf54,Glioma,High - Low,1.863978817,0.000479689,0.005461368
SPCS1,Glioma,High - Low,0.655965849,0.000601012,0.006100037
UNC50,Glioma,High - Low,0.811487827,0.001724351,0.011050869
MRPS18B,Glioma,High - Low,0.819671117,0.001882445,0.011593062
C19orf53,Glioma,High - Low,0.511323768,0.025242504,0.062159133
MRTFB,Glioma,High - Low,0.131768038,0.785470922,0.841172156
ACAD9,Glioma,High - Low,0.309692115,0.09641242,0.16662194
MRPL42,Glioma,High - Low,1.237087021,0.00018137,0.003335381
TMEM14A,Glioma,High - Low,1.152054702,0.000322075,0.004462744
FLVCR1,Glioma,High - Low,0.760200356,0.074524141,0.137642063
IFT81,Glioma,High - Low,1.759319041,0.000526837,0.00568194
HIGD1A,Glioma,High - Low,0.43301161,0.018723796,0.050577813
MAGEH1,Glioma,High - Low,0.751372555,0.079638458,0.144671681
NOB1,Glioma,High - Low,1.842862642,0.008000343,0.028561934
NTMT1,Glioma,High - Low,0.514670912,0.05557905,0.109544408
MACROD1,Glioma,High - Low,0.822002432,0.004413945,0.019438877
NCOA6,Glioma,High - Low,1.176419064,0.001470867,0.009967941
FAM32A,Glioma,High - Low,1.232831252,0.000806334,0.007270893
MRPL13,Glioma,High - Low,0.569296434,0.020452222,0.053879464
KLF15,Glioma,High - Low,2.301714484,0.006028675,0.023836093
NUP58,Glioma,High - Low,0.553206401,0.004170983,0.018727941
PRDX3,Glioma,High - Low,0.889872565,0.0002034,0.003518297
ATAD2,Glioma,High - Low,0.927213341,0.039867841,0.086065893
TRPS1,Glioma,High - Low,0.013087714,0.971984252,0.980370527
SMARCAL1,Glioma,High - Low,1.510807475,0.005705702,0.022957825
CNTNAP2,Glioma,High - Low,-0.249933173,0.678318186,0.755077369
NUDT5,Glioma,High - Low,1.018100548,0.000138454,0.002947597
CD274,Glioma,High - Low,0.45297795,0.453167502,0.5546716
LAT2,Glioma,High - Low,0.455614562,0.468292637,0.568185202
ZC3H7A,Glioma,High - Low,0.518827446,0.001775808,0.011277117
ZBTB44,Glioma,High - Low,1.268796762,0.000895358,0.007718172
CCDC113,Glioma,High - Low,0.909630845,0.097987708,0.168676448
SETD2,Glioma,High - Low,1.654272219,0.000151927,0.003112967
MKRN2,Glioma,High - Low,1.592753621,1.52E-05,0.001057572
FXYD5,Glioma,High - Low,-0.074184465,0.934090849,0.953057424
CCDC59,Glioma,High - Low,1.459976084,0.009312953,0.031704236
METTL5,Glioma,High - Low,0.529403157,0.046884249,0.097006237
CHMP4A,Glioma,High - Low,1.00756423,0.000670603,0.006494238
BABAM1,Glioma,High - Low,0.717092948,4.63E-05,0.001712278
THYN1,Glioma,High - Low,0.490487177,0.02234347,0.057148477
MRPL15,Glioma,High - Low,1.588398135,0.005175677,0.021444666
UBE2T,Glioma,High - Low,0.860117493,0.145085729,0.227770677
TIMM21,Glioma,High - Low,1.129275379,0.014249265,0.041953143
STXBP6,Glioma,High - Low,-0.830587488,0.054291427,0.107833381
LGALSL,Glioma,High - Low,-0.018879623,0.965571704,0.975706593
ORMDL2,Glioma,High - Low,0.574493492,0.042614614,0.090356783
DYNLRB1,Glioma,High - Low,0.342645948,0.067573601,0.127319205
CNIH4,Glioma,High - Low,1.076504742,0.000867726,0.007584201
TMEM208,Glioma,High - Low,1.142182795,0.003230244,0.016020299
SSU72,Glioma,High - Low,0.321001567,0.14281659,0.225153235
SCN8A,Glioma,High - Low,0.588086353,0.290143126,0.393010961
AP2A1,Glioma,High - Low,0.083506509,0.711304669,0.782614456
TMEM258,Glioma,High - Low,0.578820948,0.017098101,0.047529817
ETV2,Glioma,High - Low,0.62436815,0.138723686,0.220078664
HOXD9,Glioma,High - Low,1.018467936,0.091261295,0.160057381
TM4SF1,Glioma,High - Low,-0.166193892,0.752772279,0.815425453
NDUFA8,Glioma,High - Low,0.344918899,0.098957852,0.169788383
PPP2R1A,Glioma,High - Low,0.539054444,0.012344281,0.038109801
MOK,Glioma,High - Low,0.295883647,0.313337966,0.41794356
SLC6A11,Glioma,High - Low,0.73243926,0.304480956,0.408125425
SRP68,Glioma,High - Low,0.688960222,0.000432131,0.005171741
VAMP2,Glioma,High - Low,0.093168738,0.628391464,0.713204702
UBTF,Glioma,High - Low,0.719177523,0.000504125,0.005570045
HSD17B8,Glioma,High - Low,1.072670202,0.115615249,0.191033626
UBL4A,Glioma,High - Low,1.30382303,0.003119797,0.01565595
GNPAT,Glioma,High - Low,0.778617729,0.020602273,0.054116685
KSR1,Glioma,High - Low,0.835313002,0.07344863,0.136116477
EIF2B2,Glioma,High - Low,1.554090847,0.004446448,0.019536023
LIMD1,Glioma,High - Low,1.386022637,0.004000658,0.018200352
ADAMTS3,Glioma,High - Low,-0.395160238,0.453368159,0.554709776
RNF7,Glioma,High - Low,0.942271038,0.00016281,0.00318636
RAPGEF2,Glioma,High - Low,0.502156175,0.083175436,0.149546924
RBX1,Glioma,High - Low,0.489485707,0.001358545,0.009547213
SLC25A15,Glioma,High - Low,1.337272854,0.025261138,0.06219332
TENM1,Glioma,High - Low,0.525617833,0.451255316,0.552796206
PFDN6,Glioma,High - Low,0.903179288,0.003054101,0.015529876
TICAM1,Glioma,High - Low,1.311830495,0.005509695,0.02240324
