Gene,Subset,Contrast,log2FC,Pr(>|t|),FDR
SLC37A4,Glioma,High - Low,0.818482817,0.108130459,0.181716352
TRAF3IP2,Glioma,High - Low,1.180652783,0.001390116,0.009665844
FLNB,Glioma,High - Low,-0.267079565,0.461995553,0.562636757
BRD8,Glioma,High - Low,0.77183813,8.41E-06,0.000798644
FAM180B,Glioma,High - Low,-0.00953511,0.974098664,0.981973654
MTF2,Glioma,High - Low,1.251415194,0.015134549,0.043884827
ANKRD33B,Glioma,High - Low,-0.36440088,0.325745241,0.430371588
C5orf63,Glioma,High - Low,0.840488012,0.095230598,0.165080659
CFAP44,Glioma,High - Low,1.709057106,6.67E-05,0.002078006
SUMF1,Glioma,High - Low,0.529761939,0.116911839,0.192641166
ZNF605,Glioma,High - Low,0.703017633,0.051357246,0.103640633
CC2D2A,Glioma,High - Low,1.306645622,0.009318006,0.031713192
ARHGAP4,Glioma,High - Low,-0.113959134,0.827163606,0.872757925
NPAS3,Glioma,High - Low,0.891058749,0.102708313,0.174644149
PRKAR1B,Glioma,High - Low,0.507426511,0.586064147,0.67511331
ACIN1,Glioma,High - Low,0.980084459,0.000614505,0.006170284
FXYD6,Glioma,High - Low,2.1969496,0.002268163,0.012938118
L1TD1,Glioma,High - Low,0.785227242,0.199625114,0.292949071
TMEM41B,Glioma,High - Low,0.479894412,0.142031403,0.224077257
HERC6,Glioma,High - Low,1.309296012,0.026251574,0.063910722
LDHA,Glioma,High - Low,-0.136163836,0.792394495,0.846993315
ZNF268,Glioma,High - Low,0.861987576,0.040466831,0.086991509
MKS1,Glioma,High - Low,1.407144322,0.020839282,0.054537021
DAG1,Glioma,High - Low,0.851023785,0.009044526,0.031154954
STARD3,Glioma,High - Low,0.516036222,0.001915351,0.011729508
HES7,Glioma,High - Low,0.435592153,0.330531658,0.434852391
PLCE1,Glioma,High - Low,0.934707889,0.011990419,0.037321887
GDPD1,Glioma,High - Low,1.050574807,0.055051096,0.108879758
BIRC2,Glioma,High - Low,0.644318938,0.031481356,0.072966081
EPB41,Glioma,High - Low,0.837333377,0.128793962,0.207500539
LCORL,Glioma,High - Low,1.340766441,0.001904861,0.011687135
NDUFS2,Glioma,High - Low,0.754738999,3.41E-05,0.001512467
CARNS1,Glioma,High - Low,-1.22399532,0.322384963,0.427058854
CEP120,Glioma,High - Low,0.565461203,0.093463072,0.162900959
HPSE2,Glioma,High - Low,-0.507843143,0.322821218,0.42754382
HAUS4,Glioma,High - Low,0.99296839,0.043762748,0.092179161
ARHGAP25,Glioma,High - Low,0.118193678,0.828176794,0.873334307
RGMA,Glioma,High - Low,1.153490695,0.013539531,0.040454451
SSX2IP,Glioma,High - Low,-0.145750836,0.70830829,0.780038728
DHX40,Glioma,High - Low,0.80154116,0.000111798,0.002685823
PIGX,Glioma,High - Low,1.566904435,0.002216967,0.012843693
SLC26A11,Glioma,High - Low,0.760833562,0.118794425,0.195031398
SHMT2,Glioma,High - Low,1.284798054,0.000386977,0.004896034
MTUS1,Glioma,High - Low,-0.195018011,0.642443476,0.724381022
SMOC2,Glioma,High - Low,0.123131223,0.799387733,0.852780794
MPP1,Glioma,High - Low,0.183187903,0.622827648,0.708056126
EIF2B3,Glioma,High - Low,-0.038134042,0.901259729,0.928031142
PABIR2,Glioma,High - Low,0.442141931,0.028954912,0.068591762
AFF1,Glioma,High - Low,0.640023877,0.039561574,0.085559909
FAM104B,Glioma,High - Low,1.428415769,0.004117079,0.018584841
XIAP,Glioma,High - Low,0.866580925,7.37E-06,0.000741828
CAAP1,Glioma,High - Low,0.47031809,0.037159823,0.081875105
SV2B,Glioma,High - Low,-1.658126641,0.012569779,0.038515357
NEU4,Glioma,High - Low,1.934740075,0.018841636,0.050759988
RAB35,Glioma,High - Low,2.353609771,0.000158151,0.003153398
CADM2,Glioma,High - Low,0.700589006,0.297748797,0.400907548
FAM229A,Glioma,High - Low,0.022096148,0.96200861,0.97300724
FLI1,Glioma,High - Low,-0.670231447,0.305853883,0.409672111
CFAP61,Glioma,High - Low,0.670056999,0.145266334,0.228026869
DMAC2,Glioma,High - Low,1.153108787,0.086298154,0.153415035
CMSS1,Glioma,High - Low,1.376190322,0.00298998,0.015316137
TNFAIP8L1,Glioma,High - Low,0.390498894,0.545653958,0.639821536
TMEM178A,Glioma,High - Low,-0.029740849,0.93414814,0.953057424
KCTD7,Glioma,High - Low,0.161804379,0.459143854,0.559945089
BIRC5,Glioma,High - Low,0.687775318,0.003132322,0.015695173
TBC1D17,Glioma,High - Low,0.213458292,0.388537521,0.493320575
GAREM2,Glioma,High - Low,0.539348341,0.232504354,0.330493922
WWTR1,Glioma,High - Low,0.3839661,0.555226675,0.648060727
KLHL13,Glioma,High - Low,1.622196092,0.000145978,0.003048318
EDN1,Glioma,High - Low,-0.454866669,0.292193337,0.395256469
TESC,Glioma,High - Low,0.377798562,0.546222886,0.640259287
TTC39B,Glioma,High - Low,0.718488276,0.086832189,0.154155099
PLA2G7,Glioma,High - Low,-0.81064172,0.030790355,0.071796638
PCDH11X,Glioma,High - Low,-0.130646384,0.757240015,0.818977658
CUL7,Glioma,High - Low,0.431198778,0.503371597,0.601445913
ZIC4,Glioma,High - Low,-0.073441289,0.878135151,0.910470663
SLC35A1,Glioma,High - Low,0.91168841,0.02392947,0.059906034
BEX2,Glioma,High - Low,0.044832222,0.942944398,0.959581145
RIMS1,Glioma,High - Low,0.180122397,0.79102574,0.845737385
TSPAN3,Glioma,High - Low,1.179191985,0.004032088,0.018300672
NDC1,Glioma,High - Low,0.566056189,0.15197074,0.236481209
IFT46,Glioma,High - Low,0.392547636,0.405701951,0.509235739
