feature	X1814	X1934	X1830	X1867	X1861	X4837	X6602	X9226	X1815	X17244	X1871	X4584	X4725	X2303	X8002	X1949	X4758	X4742	X1836	X4761	X1812	X15342	X15106	X4749	X1855	X14874	X10068	X17248	X4811	X4987	X4862	X1844	X8007	X2318	X4868	X4933	X4608	X4540	X2301	X2295	X4925	X1877	X15286	X1790	X4037	X4198	X14809	X13976	X4826	X15078	X4938	X4581	X15271	X4285	X4532	X15234	X4820	X15300	X4874	X14027	X5075	X9286	X4699	X5089	X14993	X1965	X5082	X5090	X4041	X15254	X4951	X15249	X15132	X8071	X2290	X15346	X4577	X4910	X4575	X4914	X5087	X4262	X4557	X4753	X5117	X15236	X15452	X5792	X4716	X4714	X9712	X15120	X2328	X14546	X9262	X4964	X6754	X15126	X14853	X4705	X4959	X15265	X4871	X2325	X15154	X14987	X5825	X4936	X4721	X4644	X4768	X14963	X4652	X4940	X15143	X5045	X4815	X5190	X4993	X5043	X4552	X25431	X15124	X14797	X4121	X6747	X4046	X3813	X49188	X15350	X14837
02-2020-41	829099.185462493	0	416283.771710678	0	0	224.490686228696	0	0	0	0	547165.267000725	48312.9877338233	67068.4671237696	0	22514.4254989427	0	0	0	0	0	0	0	0	0	228181.77597769	0	34757.8235186798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29498.8167582815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	910.55273803936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1831.84399962616	0	0	0	0	0	0	0	0	0	5030.7205615365	0	0	0	0	0	5141.71616268627	0	0	0	0	0	0	0	0	0	0	0	0	839.734026713607	71.8370195931826	0	0	0	0	0
GBM.BM.298	3585109.35523865	0	272644.45131075	930802.849650748	559361.919953129	468176.112786771	81703.0729015183	0	0	20614.246136071	27730.4996011484	7471.01005855725	0	0	2228083.48511415	0	25538.1642008587	86306.2875573765	1070326.50570682	12347.0812437869	1619261.25434005	1027922.10093527	300370.640382209	0	254969.555370231	431457.727729185	24714.8530300853	20820.7205082179	322266.83804806	82878.5543479576	2396.22345462265	0	89127.9602923935	1048697.12982878	231565.103365879	581310.706081197	223664.333497238	43715.6679032219	0	0	49109.002651241	0	223057.841969867	0	35582.129431325	0	5822.66350513451	137614.522456411	73522.9807089704	81088.3913677368	0	233067.322962814	28726.6630124873	260308.577444157	135686.422526113	0	308777.035383477	82102.6590037733	33300.566066454	0	0	0	3419.97425597699	62675.1016913353	4113.538483084	0	3140.65193207063	8871.93220777898	1612.56915699646	82518.1940658809	81258.2262375193	7233.93092561203	127642.112018797	21098.3186202483	0	9763.78080062198	49634.4562204414	0	877.1927918973	7901.20092161056	592.69783236304	15726.1054677097	0	12822.5326685843	0	45570.4888287915	0	0	1721.62555815126	0	0	0	0	21123.7507454188	85199.3435330068	162687.149450759	0	3104.01242970637	102442.755451566	0	6932.62490028711	3470.83850631796	0	0	37372.7234645149	0	0	0	23196.6844732979	183.197511821303	0	15284.7072274626	704.771604300779	9933.61567040455	37150.7311854844	0	9861.19877161401	0	0	16071.3788958717	2010.86210034442	4393.72291292834	11415.5757777967	11928.5288108963	6724.42631626431	22279.8348082534	153.023803991912	693.564227107005	0	0	615.543639719579
01-2020-56	1063165.69150348	26606.3526885968	102566.7274975	0	60581.1916456561	59738.459557951	1797475.50890116	857.184084921819	0	9375.95900685954	653614.155375712	0	0	8447.41818567974	115116.932205557	508728.818653013	250280.591050476	63179.38977029	283286.242944183	125350.978547164	0	773865.385404996	98844.6607768026	40476.43120497	0	931065.178631154	764983.955677899	34778.0538648746	11320.8816948025	0	0	0	1407.94066635604	149102.158535616	202936.525605588	169772.579179866	21007.5586418234	27730.8987220295	0	199922.832560971	0	37483.2870938955	28613.8254269937	76820.720268216	9093.24181130577	660.275622842834	0	18753.0470760017	4366.30965912758	329587.506464896	0	97159.8740387621	20687.3565784886	0	21279.4368394646	0	17516.9496890517	32218.4696703043	0	0	55097.7877641607	54013.4363479872	0	172.746529232137	15449.6366496789	223767.724718876	27233.4338803322	6780.24481924724	0	3540.96513057403	60535.5775294405	118.777352125626	85546.7910252323	0	19448.775254517	12768.7911659613	0	447.560288807967	10200.8519105001	19340.8369003039	0	41928.6311128025	42919.4961719798	0	59469.0652973315	957.896440526437	8939.23771596418	0	12700.1441791815	119800.282553628	0	0	0	7657.9778377117	860.345459312995	32019.5288961167	927.863383810262	12742.3711085493	903.701450963414	12977.441875779	8069.63394593417	336.008935290744	13492.5200890842	61666.6721241121	66243.8906176225	52034.4159791108	0	10996.1633823374	17910.3149882966	0	16045.3299099591	0	2257.89875266946	8970.85145987594	19219.1239862437	633.178128061322	946.605817700807	0	1063.57667017433	2504.93758009424	1337.93880483714	7667.91358579826	1047.54398576194	48.3238656936958	8443.57937391903	0	114.486915451887	2105.24953206694	0	4818.16038460928	0
GBM.BM.305	380476.021810059	140569.477899939	19906.2940767871	0	122238.573046327	92772.6643270474	274281.268036685	0	173692.540173018	25162.9799455336	70835.831262181	1037.73306638499	467.53622068367	62208.9797218427	20583.9801658607	171808.329315076	3491.09107038561	85051.9135179487	350203.104005773	2617.74096798594	169733.283062163	512489.817805409	166121.686472841	32529.3521553893	0	82891.001834295	2096.25018568767	82910.7361875703	33202.8394458936	20.9939928461459	6718.0777107667	26237.8723792563	15593.7080663318	277376.412401992	0	176125.324064029	167105.045097754	85073.7472705087	1130.3165748365	39897.1939447442	23431.6053555119	30552.7677289246	364679.93165269	39915.2487785919	0	25724.7791940965	2487.36827241137	81387.8319465109	0	39195.7846437545	19647.0182651372	99007.2503825673	19543.9377602626	0	51937.0389020804	1796.03608798779	147025.970459843	11370.5564654011	140998.175233858	158.714585916863	0	0	1025.97643039115	12812.2139541459	212115.116060249	9592.78515118946	202670.758438481	66290.8417509189	0	52610.3162526563	2908.92764876198	3063.02355625269	10433.3846247491	379.361450729857	86634.4406986912	65399.0169348146	46242.4183425634	1263.83836933799	37866.8648965934	310.71109412296	19509.7175519234	82834.1081136819	0	0	127976.02135125	554.871230923637	62390.9976398188	33268.3407035736	3095.77418509268	0	293.286080060659	30687.5491629969	0	1846.84155067546	5349.89919698337	73239.6434430647	17003.0348060936	680.205368215128	646.405039732833	60383.7619837988	67756.4323915083	6169.29473776845	59643.7237359722	64290.7440524666	2855.39296700431	0	0	50197.6865947773	25820.091921618	6687.21654128287	4199.21844908611	20841.3665181545	0	5658.30095189325	1055.57796030422	154.935667204557	6687.0066013544	10886.6449302974	11335.496497348	1428.01139339485	10533.3160306968	17420.1854439465	3084.64736888422	15364.033784595	716.524975838961	0	163.543204271477	2902.8393908366	1040.46228545499	3486.05251210253	2614.17198920209
01-2020-43	0	0	0	0	0	2022.60995510737	106886.651528727	0	0	0	0	47518.9252949917	0	0	21264.7765507553	0	18693.2663119089	347820.664703294	0	0	0	55307.1779911287	0	0	0	88880.6054523768	9880.93502789188	231451.614788859	0	0	0	0	171612.724814228	0	0	0	133982.033753029	0	0	0	0	0	0	0	693810.688566672	0	69829.6780513295	0	0	25282.9893991371	0	0	15929.0570372819	0	0	0	0	0	0	0	0	0	180467.756452764	0	0	0	0	0	0	0	0	0	298625.476773188	4443.39159210252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153885.873363583	46822.946012352	0	110893.915568258	0	0	0	0	0	0	0	373.719342120163	0	0	7449.20458204555	0	0	60138.1574165629	0	0	0	0	0	0	0	0	0	0	21256.7474242644	0	0	0	0	0	0	0	0
GBM.BM.277	0	59399.0214070872	0	0	172846.722210494	548961.337095141	6365.76641145145	0	550576.334182648	0	0	4559.49170428106	0	968778.873604393	6931.09804290208	29076.5596409844	3202.60133071575	0	0	0	188672.70185818	8850.72245061395	115659.436835223	4046.3481641214	0	850243.18811793	0	0	95346.2259173516	0	0	182419.812856851	2485.90062000035	68940.9408857948	6753.04455496817	0	0	0	485668.753474454	64627.276344563	133266.659797876	231905.694515957	20416.1702291964	0	0	178804.665845206	6105.06210020604	640.189662849904	0	6916.69318512493	1218.74542603038	73904.7131886738	7358.52087202725	0	94207.5337173287	24.0868113650646	312158.935515792	44387.5065868344	7412.59812499391	0	0	0	0	213.947559772045	4513.91567885501	0	0	17018.5129554655	0	12604.4867002127	0	18464.9023634167	146.646175075541	592.724475748159	0	0	27166.8533320699	8826.39949403942	9752.79715075657	14552.9208234788	0	0	0	0	0	324.69966300945	0	0	0	1301.8685397608	0	0	0	0	0	64366.0997428987	0	0	632.8691613566	452.926511747	0	0	1429.85924328889	1429.38695286996	813.047956175662	0	0	0	0	0	2136.87800041637	150.896788845846	0	0	782.349078945678	0	5233.45013208395	0	8196.60022040582	637.592065545829	6110.49344002365	1750.54443773749	0	3386.08615846727	0	258.342859150791	148.771481960693	1271.40580774027	0	0	324.69966300945
02-2020-40	66357.1846511827	114444.473905661	0	0	0	0	0	0	0	0	0	0	57502150.6269527	606.749293617491	0	0	38715266.3083215	1859041.31187932	128794.576246773	44343077.8873294	0	0	50225.3581938923	0	0	1224853.46687268	0	0	0	0	0	0	90723.4658075677	270648.708718075	0	11788.2719902827	0	0	93670.5338051383	124576.224014956	0	0	0	0	637404.579356927	0	0	10818243.5957882	0	0	0	0	0	15216.8870462799	0	0	0	0	0	11686781.1322487	0	0	0	0	0	86110.244987841	0	0	0	0	0	0	0	8802.68022803788	0	0	0	0	0	0	0	0	2648.50882134619	0	0	0	0	0	0	0	0	0	0	365.975764404201	0	0	0	0	0	2658.13976251472	0	0	0	0	10102.8572857896	0	0	0	17114.1824564807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2282.53305694199	0	0	0
01-2020-28	2120042.21786017	1500994.26683807	47687.036089632	44908.5990853009	39208.0452423821	103603.692005278	5126.58675633303	0	0	0	5874.6998200415	5594.86265593939	5832.19767011739	50016.003455385	95987.5324140093	171499.936195993	458494.763245501	152.706839550346	365735.889724842	8037.04371308322	334759.344934577	0	1938.92551202471	1581620.46911888	0	179757.013163109	3626.97550193099	0	13286.6234165418	0	143356.366567041	43943.0856441045	147.064961241835	134750.62152046	0	182262.383257308	121273.678742311	4439.40597835648	35991.0462308695	23495.4141531809	0	123089.61130721	25752.165476585	48388.1335007695	817.696229513427	0	0	0	41920.2842078933	77772.916357594	7204.67859996766	142490.526309295	3229.03501857073	0	42646.9581340294	0	107490.570034621	7137.3521854861	4682.38287084299	0	0	167536.328621655	214.391375723392	6264.74167376984	23909.9041462461	72016.3198568107	0	6326.05008472232	0	0	0	2204.46991774526	18943.9228590953	0	574.343211806349	0	452.854765563094	0	0	3526.92619326008	0	0	0	243418.839620677	0	0	1276.19287338503	0	0	0	0	10191.8651017136	0	2739.31998139204	2229.29418230271	32981.6683411101	0	0	16831.9797456096	124120.946662006	89283.4764826167	0	0	1392.79169176091	2879.23856344309	2058.53333216513	0	65626.3284845919	48980.1545979425	0	419.003495712032	280.965539763813	0	33888.8823731186	39455.1595122948	0	0	37478.997603434	0	0	0	595.406224158121	2303.01472553391	0	618.725987833297	0	162.862220505664	24.0720141163106	0	0	1006.13496501767
02-2020-50	1607312.91720841	68246.3471177737	22785.4906564479	2943.2513748642	14227.9896371253	30573.2942623405	21165.8552860297	0	0	0	4370.40356454691	6354.53336890052	172.01125320001	138093.269535502	1624.57687016809	39277.8637266015	0	0	880336.416283284	0	206217.72632611	67787.0229505419	295768.996651447	113.419184736532	0	79478.3760493689	3077.61310615996	0	90586.396868192	710.870035454488	0	11902.8963500264	461.441952838878	0	512.504116921508	18488.0330405904	102455.408648505	20299.9162822321	49351.2286215936	120822.021980954	59884.6236123532	56621.351301303	42609.3757961032	32825.2062912381	0	210982.979251628	0	59191.1664807795	67889.8532072429	9519.91692299975	10822.1197618628	45375.6744180175	11427.3358264735	0	70871.460032547	39787.3088198683	162777.943262507	13502.2951024211	98299.8426683238	4423.11289521285	0	0	0	15409.0080773591	298.372461091126	134818.231748856	8467.84809528806	95061.5131655351	0	29279.3272563941	2071.90025229287	198981.488216115	2425.57044868086	841.702124071733	34336.8345956934	0	45997.1268389494	54.8271162730539	8517.73371181118	37179.6088089757	28010.0677491973	0	0	0	0	18017.8846358112	2035.19196843624	0	1672.10939157219	0	0	14153.8671408764	17694.8046759704	6981.86852762997	3181.85521993234	110240.859159278	0	336.963221042975	1086.89463547312	3848.95768617314	0	5927.91722382306	0	6520.42657479109	4720.30880874447	0	0	1362.20676439789	10594.575463854	0	0	0	13693.8370451089	3798.36614111432	4010.61532084949	0	2868.65825959142	0	7600.49723441906	1526.21749419325	0	193.189109271147	689.45686987145	843.819909678847	0	638.159396276919	0	151.304016152677	965.23961782003	73.4165677132739	253.663653829837
GBM.BM.279	5291545.16230424	0	0	0	0	973945.297076243	3066.069252475	152144.566497884	0	299.480477621382	4344026.26012156	40189.7710648162	5215.0325663984	494493.171750231	132193.906691242	0	107101.175567708	2697.86945845891	669732.51887647	4070.55901310876	0	217394.829994592	110406.489847631	0	3546070.28394555	154857.706915541	63297.2774925034	35409.9608355843	24285.9154458631	139339.86720967	452427.617863826	979756.745438018	56358.3233098822	0	22604.4131607482	1308090.00369233	95755.7012696038	195922.164587801	129227.947060182	63576.396691193	0	0	0	72964.6430519812	624.412553907471	4656.79416901917	20992.4785786501	7919.68911783457	367885.04257927	67719.9169538072	0	116010.9318736	79267.3072679847	165211.417252344	132538.351659838	3128.84986251461	115090.432388559	0	165983.449078507	0	0	0	14249.5017057471	78671.7398592305	0	0	2782.7081206746	0	9870.97834879541	0	45749.2485998103	3497.0496565307	99941.6408633259	11655.9838018135	19180.324753723	0	113268.946310789	35412.5059954507	32465.2108700777	818.693090381399	0	56376.9878155696	0	110881.586356039	0	0	37174.6050096706	228778.481690693	0	0	0	19263.4666426943	0	0	185371.628554658	164034.705007412	68911.9001579377	3594.61411807874	21246.146178675	40645.3546809144	11315.7807663286	0	0	0	49969.1236584186	0	0	6648.80595784355	119750.620104067	0	0	3224.71755081834	0	13060.9120481053	13215.3184133379	0	0	0	3334.15942507658	26674.9721738569	0	5974.33859322882	13021.8862634861	26212.6014647814	9538.41079290991	4708.54575297074	946.799470327089	173.070870920006	0	0	290.148224777656
