feature	X1814	X1934	X1830	X1867	X1861	X4837	X6602	X9226	X1815	X17244	X1871	X4584	X4725	X2303	X8002	X1949	X4758	X4742	X1836	X4761	X1812	X15342	X15106	X4749	X1855	X14874	X10068	X17248	X4811	X4987	X4862	X1844	X8007	X2318	X4868	X4933	X4608	X4540	X2301	X2295	X4925	X1877	X15286	X1790	X4037	X4198	X14809	X13976	X4826	X15078	X4938	X4581	X15271	X4285	X4532	X15234	X4820	X15300	X4874	X14027	X5075	X9286	X4699	X5089	X14993	X1965	X5082	X5090	X4041	X15254	X4951	X15249	X15132	X8071	X2290	X15346	X4577	X4910	X4575	X4914	X5087	X4262	X4557	X4753	X5117	X15236	X15452	X5792	X4716	X4714	X9712	X15120	X2328	X14546	X9262	X4964	X6754	X15126	X14853	X4705	X4959	X15265	X4871	X2325	X15154	X14987	X5825	X4936	X4721	X4644	X4768	X14963	X4652	X4940	X15143	X5045	X4815	X5190	X4993	X5043	X4552	X25431	X15124	X14797	X4121	X6747	X4046	X3813	X49188	X15350	X14837
SRR1568840	196170	37311	4683	0	16168	2302	0	1560	0	0	567269	0	0	4292	0	0	0	0	245938	0	31813	9800	2312	0	0	4866	0	0	0	0	0	42450	0	33453	1343	31757	3790	0	27701	4191	2596	0	265	0	0	32861	0	15696	3302	3273	1447	0	1691	12242	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	73232	0	4166	106	0	0	0	254	0	1896	28450	0	0	10246	0	0	0	0	13334	0	0	0	1098	3297	0	0	45	0	0	1038	0	0	0	0	4998	0	0	0	0	4268	727	0	0	0	0	0	1305	0	374	2750	0	0	0	0	0	0	0	0	0	0	232	0
SRR527876	544194	80475	0	212909	107411	13545	0	2230	40365	8536	267141	0	0	445753	0	0	0	0	317482	0	0	26808	15337	0	0	20316	0	212	345	0	0	0	0	0	0	27813	3055	2563	0	101757	7103	33472	31138	13453	0	467	0	87532	0	7604	19837	1563	0	39201	3699	0	1268	2677	0	2246	0	0	0	0	2427	57860	0	7472	0	48250	21408	13657	0	0	79187	10010	393	0	1833	26149	0	1779	0	0	31161	0	1389	37	0	0	0	0	0	725	20392	3807	3632	0	822	0	0	0	631	0	502	3227	6914	3582	3097	0	0	0	3992	2950	1436	0	0	0	4656	0	0	0	1133	0	0	21	0	0	0	171	0
SRR1568845	317521	0	542356	50892	22238	1082	3440	2773	0	0	152404	198	0	0	0	84335	0	0	194097	0	0	9256	0	0	0	557	0	0	0	0	0	40357	0	30252	0	0	2984	0	46	14970	14909	0	1976	5389	0	0	0	0	0	2176	0	0	0	8355	0	0	0	1547	0	685	0	0	0	325	0	0	0	0	0	0	0	0	3274	0	0	0	0	0	0	0	0	0	0	0	0	0	1399	3118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	6130	0	2910	807	0	0	0	0	1324	0	0	0	1041	0	0	0	0	0	0	0	0	0	0	0	0
SRR1565838	307838	25176	505541	10738	111910	8654	72	69582	0	0	338015	0	0	329872	0	109342	0	0	223507	0	107646	61660	54543	0	0	7772	0	0	0	0	0	0	0	539699	0	33413	4975	1874	53853	0	31287	143376	83161	0	0	0	0	40694	0	18729	0	503	3512	32694	0	12341	3035	3714	1495	25704	641	0	0	2953	0	62471	19060	1481	0	91504	342	0	0	0	152196	0	0	0	0	1295	0	15115	0	0	3118	0	2333	0	0	0	0	0	0	239	3196	568	1467	0	0	374	0	605	2997	0	2286	0	0	0	0	16073	0	0	6452	2950	2471	0	0	0	2240	0	0	0	1448	0	0	0	0	0	0	1126	0
SRR1568833	531698	21026	85844	8524	17792	1017	0	5976	37547	476	99810	0	0	16326	0	0	0	0	83994	0	90064	14999	27285	0	0	31787	0	0	0	0	0	2062	0	37489	0	35521	0	0	8825	33333	127	50125	3361	18660	0	13611	0	18695	0	1636	400	0	0	5043	0	85	0	0	1776	0	0	0	0	0	0	0	239	0	0	1566	0	7697	0	0	19103	0	0	807	0	257	0	13861	0	0	642	0	0	7591	0	0	0	0	0	0	2529	243	382	0	0	0	0	0	0	1617	0	0	0	864	0	3337	0	0	0	34	0	896	0	0	783	0	0	0	0	0	0	0	0	0	0	0	0
SRR527907	0	10984	0	66281	22474	2337	986	10391	240893	0	16747	0	0	37901	0	168988	0	0	0	0	0	9071	19823	0	6904	9184	0	0	1304	0	0	522060	0	217418	0	12629	629	0	33004	119782	4455	0	1153	0	0	4321	0	0	0	514	0	0	587	2869	0	212	0	1058	1785	2402	0	0	0	0	0	72149	0	0	0	54150	19085	42169	0	0	0	107	1105	0	0	30518	202	0	241	0	88	327	0	19100	0	0	1127	0	3298	0	38302	25908	0	0	0	0	0	0	160	0	0	0	760	0	673	4538	0	0	104	2402	0	0	0	0	17108	0	0	0	0	0	0	0	0	0	558	0	0
SRR1568831	0	70639	0	370394	0	8238	0	0	487779	0	86728	0	0	0	0	61845	0	0	285813	0	0	14363	1470	0	0	94	0	0	0	0	0	0	0	0	0	1222	516	2807	68821	0	0	94090	0	0	0	0	0	0	0	2209	0	0	190	0	967	0	465	0	0	0	0	0	0	0	0	0	810	0	1099	0	4230	0	4711	0	0	0	295	0	0	1935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	6592	0	1259	0	0	0	1038	1584	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR549433	486157	0	0	133716	0	2750	1123	9204	0	0	348545	8536	0	33603	0	0	0	0	168040	0	150453	405217	318919	17013	0	29885	0	0	0	0	0	12454	0	38915	0	373971	102577	0	2429	0	13092	17344	33395	9902	0	12228	0	932	0	1221	4007	1851	1994	0	170	5423	0	158	41	0	7282	216	0	0	0	0	1658	0	0	31397	27854	15946	0	128	0	0	25433	983	288	7783	0	0	0	0	0	0	0	0	0	0	0	0	904	669	503	3261	0	0	80	4697	5184	0	2326	2219	0	0	0	0	1553	0	0	0	0	6882	0	40	0	0	2356	0	0	0	0	0	0	0	0	643	0	0	0
SRR527892	472926	26190	137847	348728	33239	2616	12070	0	0	45686	0	0	0	308783	0	182247	0	0	272246	0	0	104978	88139	0	202626	16103	11233	10005	3767	0	0	73205	0	0	0	74875	6943	3228	0	0	11566	0	36333	55899	39	0	0	116584	0	5514	22179	1356	22668	20754	2668	0	5854	15215	9673	6035	0	0	0	6394	0	189239	6870	3407	390	0	1235	304	4670	106	224188	0	0	0	821	4053	0	20345	0	0	2852	0	0	0	456	0	0	1009	71229	4439	0	0	0	708	441	0	0	436	27451	0	2459	0	21114	0	2946	2361	0	364	0	8338	2081	3155	0	188	1634	0	0	0	517	0	1269	0	0	0	701	0	0
SRR527903	56212	4115	1162	7505	20088	0	0	0	16082	12247	7094	0	0	0	0	40818	0	0	4685	0	0	27245	352268	432	0	73636	0	0	0	0	0	12440	0	0	448	6821	6749	0	0	4030	257	0	0	7862	0	15520	0	20009	779	3663	0	13856	0	1634	0	0	751	0	0	5239	0	0	0	5634	0	12441	0	0	0	37218	0	38398	0	0	1869	4945	7887	7550	478	1335	0	0	0	0	9610	64173	4969	0	0	0	0	0	152	1367	0	3324	0	0	1640	0	0	14607	0	0	2936	0	0	629	0	0	0	0	0	0	1471	0	0	171	796	840	0	0	0	0	0	0	0	0	64	0	0
SRR1031082	454847	44877	28646	27966	17692	2032	2105	0	0	0	269200	0	0	158221	0	62433	0	0	337211	0	0	43202	87984	0	0	12362	0	0	0	0	0	82850	0	203169	0	13520	289	0	110986	0	0	105061	40546	0	0	21105	0	6162	218	5786	194	0	883	18274	0	2525	906	5272	1159	935	1130	0	0	0	0	0	1633	0	0	16733	11949	17867	0	0	21646	0	989	0	0	18559	0	0	3415	0	0	0	0	0	0	0	0	0	0	0	0	1771	0	338	0	0	0	0	0	0	731	0	3072	0	162	3981	0	0	3193	12315	1559	297	0	0	14137	0	0	0	0	0	0	0	0	0	0	0	0
SRR527869	451360	13592	138000	3914	51166	0	0	0	0	1328	343045	0	0	19535	0	46385	0	0	167910	0	83451	42471	30077	0	0	10883	0	410	0	0	0	6011	0	224150	0	9617	0	0	52633	152529	178	22404	4341	13192	0	2393	0	64873	0	0	20034	0	0	0	0	0	0	1238	0	2673	0	51371	0	0	0	0	6022	1875	0	24484	2966	25102	0	0	24737	8273	0	1906	0	1542	866	1291	0	0	7974	0	0	0	0	0	1621	0	0	617	0	583	0	0	0	0	124	0	0	0	1256	25	1857	4187	148	1473	0	0	0	8392	887	135	0	0	5189	0	0	0	199	0	0	0	0	0	0	1654	0
SRR527878	189320	96833	84368	37525	92115	2268	0	2465	0	3458	88080	0	0	448	134	80610	0	0	38653	0	86500	22918	14193	0	0	36307	0	0	881	0	0	6312	0	78546	0	0	3101	0	51202	96928	8143	102924	4128	58752	0	0	0	35491	0	677	21417	0	2309	2397	0	0	0	0	0	5943	0	0	0	0	0	0	161	0	0	0	0	12101	0	0	17727	0	0	0	814	22074	0	3982	0	0	4139	368	0	44150	806	186	786	251	836	0	0	2457	0	834	0	0	236	0	789	1080	0	0	0	0	259	0	0	0	3160	0	1579	0	0	587	28662	0	0	0	0	0	0	0	0	0	0	0	0
SRR1803881	26924	52704	142528	0	0	6834	1072	92545	113088	0	0	0	0	44630	408	0	0	0	284216	0	54527	23479	46347	0	0	95572	0	0	768	11070	1294	0	0	52691	0	98753	64568	0	17228	24589	0	429913	20368	28595	0	0	0	10273	0	10692	0	890	120158	0	0	6721	2038	0	4549	18	1159	10629	715	1589	0	29783	618	0	0	39892	0	8486	6125	0	13435	0	1013	15132	5834	10410	0	40276	0	0	0	0	0	32468	0	0	0	249	0	549	0	14026	2518	2222	4981	3246	141	1317	804	2078	0	0	0	0	3330	0	0	852	0	0	2685	1964	0	0	329	0	3141	0	160	1123	4044	0	1240	0	68	0	0
SRR1031351	0	32914	0	100066	0	46	0	0	227964	3742	331760	0	0	133007	0	130995	0	2169	109421	0	0	21689	8572	0	422242	7460	0	2070	0	0	0	0	0	75448	0	0	26710	0	10168	8219	14581	0	47628	9539	4747	0	0	0	0	54549	0	0	34997	22083	0	0	0	15996	0	0	23	0	535	0	0	0	0	0	0	0	1733	0	75344	0	13740	514	0	0	722	0	0	384	0	0	0	0	12262	7332	0	0	0	0	0	2580	0	0	0	0	0	309	0	0	0	0	609	0	0	0	0	0	0	92	0	665	2606	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0
SRR1568871	419930	7776	0	55276	18878	2281	0	9920	0	0	16081	0	0	23628	0	31188	0	0	275397	0	0	60611	7780	0	0	9016	0	0	413	705	0	82457	0	60244	0	13862	451	0	21824	12596	1616	60630	5044	18724	0	226	0	0	0	1899	0	0	2807	4306	0	0	0	0	184	0	1362	0	0	0	0	0	6809	0	0	0	836	0	0	0	5457	0	199	22109	0	0	0	35636	11700	0	0	0	1451	11037	0	0	0	0	0	0	6771	1267	2885	0	0	434	0	0	0	0	708	0	0	0	0	4160	0	0	0	8213	671	0	0	2528	5566	0	0	0	0	348	34	0	0	0	0	0	0
