Species,Abundance
Meiothermus.ruber,2
Thermus.sp..NEB1569,2
Fusobacterium.nucleatum,2
Leptotrichia.hongkongensis,2
LKT g  Labilithrix.luteola,2
Brevundimonas.pondensis,2
Caulobacter.flavus,2
Phenylobacterium.sp..NIBR.498073,2
Brucella.intermedia,2
Methylobacterium.brachiatum,2
Methylobacterium.radiotolerans,2
Methylobacterium.sp..C1,2
Agrococcus.sp..Marseille-Q4369,2
Methylorubrum.extorquens,2
Methylorubrum.populi,2
Methylorubrum.sp..B1-46,2
Bradyrhizobium.sp..BTAi1,2
Bradyrhizobium.sp..CB1015,2
Bradyrhizobium.sp..sBnM-33,2
Agrobacterium.tumefaciens,2
Paracoccus.yeei,2
Rhodobacter.xanthinilyticus,2
Novosphingobium.olei,2
Sphingobium.sp..AntQ-1,2
Sphingobium.sp..PAMC28499,2
Sphingobium.sp..WTD-1,2
Sphingobium.xenophagum,2
Sphingobium.yanoikuyae,2
Sphingomonas.aerolata,2
Sphingomonas.bisphenolicum,2
Clavibacter.californiensis,2
Sphingomonas.koreensis,2
Sphingomonas.melonis,2
Sphingomonas.sp..AAP5,2
Sphingomonas.sp..AP4-R1,2
Sphingomonas.sp..HMP6,2
Sphingomonas.taxi,2
Sphingopyxis.sp..113P3,2
Sphingopyxis.sp..FD7,2
Sphingopyxis.sp..GC21,2
Sphingopyxis.terrae,2
Curtobacterium.sp..MCPF17 002,2
Achromobacter.xylosoxidans,2
Alcaligenes.faecalis,2
Burkholderia.contaminans,2
Cupriavidus.metallidurans,2
Lautropia.mirabilis,2
Paraburkholderia.fungorum,2
Microbacterium.aurum,2
Ralstonia.insidiosa,2
Ralstonia.mannitolilytica,2
Ralstonia.pickettii,2
Acidovorax.temperans,2
Comamonas.testosteroni,2
Limnohabitans.sp..103DPR2,2
Massilia.sp..NP310,2
Schlegelella.aquatica,2
Microbacterium.lemovicicum,2
LKT g  Tepidimonas.taiwanensis,2
Neisseria.sicca,2
Neisseria.sp..Marseille-Q5346,2
Neisseria.sp..oral.taxon.014,2
Neisseria.subflava,2
Candidatus.Methylopumilus.rimovensis,2
Aeromonas.hydrophila,2
Schaalia.odontolytica,2
Citricoccus.muralis,2
Enterobacter.soli,2
Escherichia.coli,2
Klebsiella.aerogenes,2
Leclercia.adecarboxylata,2
Salmonella.enterica,2
Pantoea.agglomerans,2
Pantoea.piersonii,2
Proteus.mirabilis,2
Serratia.liquefaciens,2
Acinetobacter.baumannii,2
Acinetobacter.guillouiae,2
Acinetobacter.indicus,2
Acinetobacter.johnsonii,2
Acinetobacter.junii,2
Acinetobacter.lwoffii,2
Acinetobacter.nosocomialis,2
Acinetobacter.radioresistens,2
Acinetobacter.schindleri,2
Kocuria.palustris,2
Acinetobacter.seifertii,2
Acinetobacter.sp..Colony158,2
Acinetobacter.sp..TAC-1,2
Acinetobacter.sp..TTH0-4,2
Acinetobacter.sp..Tol.5,2
Acinetobacter.ursingii,2
Moraxella.osloensis,2
Kocuria.rosea,2
Haemophilus.parainfluenzae,2
Halopseudomonas.litoralis,2
Pseudomonas.aeruginosa,2
Pseudomonas.agarici,2
Pseudomonas.azotoformans,2
Pseudomonas.chengduensis,2
Pseudomonas.extremaustralis,2
Pseudomonas.fluorescens,2
Pseudomonas.fragi,2
Pseudomonas.hydrolytica,2
Kocuria.sp..KD4,2
Pseudomonas.luteola,2
Pseudomonas.oleovorans,2
Pseudomonas.sp..273,2
Pseudomonas.sp..J380,2
Pseudomonas.sp..MYb193,2
Pseudomonas.sp..NS1(2017),2
Pseudomonas.sp..Ost2,2
Pseudomonas.tolaasii,2
Micrococcus.luteus,2
Pseudomonas.yamanorum,2
Stutzerimonas.stutzeri,2
Methylophaga.nitratireducenticrescens,2
Pseudoxanthomonas.mexicana,2
Stenotrophomonas.maltophilia,2
Stenotrophomonas.sp..610A2,2
Stenotrophomonas.sp..BIO128-Bstrain,2
Stenotrophomonas.sp..DFS-20110405,2
Micrococcus.lylae,2
Hydrogenophilus.thermoluteolus,2
Desulfovibrio.fairfieldensis,2
Akkermansia.muciniphila,2
Micrococcus.sp..KBS0714,2
Micrococcus.sp..V7,2
Bifidobacterium.adolescentis,2
Rothia.amarae,2
Rothia.dentocariosa,2
Rothia.mucilaginosa,2
Rothia.terrae,2
Micromonospora.sp..HUAS.LYJ1,2
Corynebacterium.accolens,2
Corynebacterium.afermentans,2
Corynebacterium.aquatimens,2
Corynebacterium.aurimucosum,2
Bifidobacterium.catenulatum,2
Corynebacterium.coyleae,2
Corynebacterium.freneyi,2
Corynebacterium.glaucum,2
Corynebacterium.gottingense,2
Corynebacterium.hadale,2
Corynebacterium.jeikeium,2
