feature	X1552	X13165	X9450	X6952	X9467	X16971	X1543	X17167	X8007	X6956	X2043	X1564	X1536	X6939	X1472	X1545	X9712	X17130	X8071	X8235	X6936	X1468	X1466	X15878	X8130	X16987	X1395	X2492	X8047	X2502	X8059	X1522	X8245	X15888	X17153	X8053	X8249	X9649	X7298	X9463	X8255	X2479	X4494	X7285	X19850	X6055	X9447	X17007	X5266	X1525	X2497	X5273	X5989	X6067	X9422	X19351	X9648	X1561	X6001	X9631	X17008	X9733	X2532	X7295	X9634	X19825	X9632	X7284
GBM-BM-396-Or	0	59872.11788912	0	0	123745.410120769	47354.1581603498	0	0	0	1054.85505393954	0	0	0	3190.54681339348	0	0	77456.4996749889	0	0	31048.0736319642	0	0	0	2915.1413066999	0	194467.465707553	18436.5799575245	0	49822.415059962	0	0	0	410.510094882874	0	0	0	0	85058.7309257945	0	128375.34043141	0	0	0	28564.2277414071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2005.78350157961	0	0	0	0	0
GBM-BM-444-Or	0	2844252.41101291	0	0	1067627.16331213	18927.2235379287	0	0	0	32229.4890766335	10236.4100526415	0	0	0	0	0	96384.4154461587	0	0	128689.917468728	0	0	25844.4016180552	0	0	0	0	0	0	36916.9540759867	31165.3078335371	0	0	0	0	0	0	9349.59235006114	0	0	608.103567483651	6942.51572877169	0	34433.8645087618	0	0	0	0	0	0	0	0	0	0	0	0	39982.8095620501	0	0	0	0	0	10616.4747823187	0	0	0	0	0
GBM-BM-460-Or-PreOp	22878.4168907819	0	0	11119.3705243187	624.413162984099	16143.8445039202	1013.44189625013	8746.87184149752	17693.1760240242	0	70.8866654338276	0	0	10242.9535698641	0	5863.24299212717	2749.65644340689	691.908121937839	7562.82710929899	0	3345.57927195826	7821.61431372966	279.137443311197	28505.2579412469	9686.37453648174	392.081269098109	73.2608599698889	289.651733399468	6861.76137986491	0	0	758.724739595562	0	110.230460602842	700.726558786066	9232.56420944604	747.532108211273	0	1662.95368718688	0	1513.37943141502	0	0	105.48207153072	0	0	311.019484224019	856.066715574072	42.7355016491018	1565.95088185637	0	214.016678893518	0	0	192.988098716976	317.463726536185	187.900538996845	960.870445808774	2206.64423594489	0	0	592.531122071277	0	0	0	55.2848156254254	183.491320572731	0
GBM-BM-430-Or	31242.5626952852	0	0	38383.2673761981	20873.0727246736	34314.0265303843	1549.98587484551	774.992937422755	81094.4585269137	3726.09002202303	0	0	2458.01574703021	43187.3789092683	0	0	58254.3396954028	0	11035.7304931099	0	1756.93221780853	0	5032.17484980497	17514.4180462788	29060.1234559761	201.66709952009	0	479.355304618434	16899.9141095213	0	0	320.978001330405	0	0	765.490299225473	5459.79356868265	0	0	5965.54509051575	0	2362.98936505739	0	0	1521.47796025366	0	0	0	334.704034282034	0	496.248883635824	0	0	892.192141855896	603.945449871684	469.852666421152	0	0	0	9499.47065121597	0	1765.37900731723	0	1056.90453727545	0	0	0	0	0
02-2020-29-OR	530456.280345311	335484.608690381	0	89786.399243152	3547.01148842533	641.026172606988	77863.3124326621	41161.0027943976	13839.042815282	10904.5674473478	0	3518.52143630946	0	38148.1797831447	0	242877.694287759	66866.1523159378	31346.1798404817	918.804180736682	133376.178980427	95826.2902917157	0	0	4252.14027829302	0	189658.276935321	225655.457783718	94651.0756419362	0	124273.607329408	0	27727.9432217667	0	17706.5673900108	0	0	0	0	0	0	3254.9884542377	0	0	0	1545.58532728574	0	0	0	0	0	133376.178980427	0	0	0	0	0	192.307851782096	0	0	0	0	0	1331.90993641674	0	0	0	0	0
01-2020-29-OR	63262.4453050736	185185.802796998	0	1784.58123433992	0	0	0	0	20793.2497368897	0	0	0	0	58012.3224479188	0	0	29631.7241082549	0	0	0	0	0	0	88845.2808063853	0	4087.26669800433	805.939912282545	4743.53205514869	0	4831.80166458916	0	0	0	183263.060434838	0	0	0	0	0	0	0	0	0	26810.934415266	0	0	0	1585.01516082234	0	9126.31005432329	24350.8987782512	0	0	0	0	0	0	0	0	0	3523.10875940655	0	0	0	0	0	0	0
GBM-BM-279-OR	50326.1679830789	34806.1444715339	3871.10678183607	0	13286.3504029454	23338.7693012489	236.715954935263	0	0	0	0	0	0	18497.6610499413	0	0	68195.5528518762	0	0	0	0	0	7110.37774410809	82864.8227810224	3351.39957250451	1614.29602350589	0	1868.81017054155	4358.77724538691	17162.7966424116	0	0	0	0	491.230101970922	379.101491738429	0	0	0	0	0	121.027706282691	0	0	0	0	0	0	0	379.101491738429	0	0	0	0	23214.1819565461	0	0	0	0	0	0	747.52406821662	0	0	0	0	0	0
GBM-BM-291-OR	2995.06885593211	1506923.46404252	0	0	0	67877.009914776	0	0	0	0	0	0	0	16186.8328056556	0	0	0	0	0	0	0	0	1103699.69964051	0	0	510978.938297451	0	0	6124.74754808588	157224.288706908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBM-BM-260-OR	0	1306107.92836592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12173.8810080874	0	62791.596778556	0	0	0	0	0	0	0	0	0	0	0	0	0	54205.8070149575	0	0	0	0	0	0	0	0	0	0	15078.5263012451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBM-BM-286-Or	52011.6367651262	31530.6721199825	1401.88069543792	17195.161221119	21624.3590329511	24488.6667661548	46.5741094829874	0	11061.3510022095	0	0	0	0	20522.8813436784	0	0	2922.52537005746	0	3325.3914170853	0	0	0	1332.01953121344	0	2025.97376250995	24076.4858972304	0	0	1217.91296298012	1082.84804547946	0	0	0	458.754978407426	0	0	731.213518882903	2594.1778982024	0	0	6075.59258205571	0	0	0	0	0	0	0	0	1117.7786275917	0	0	0	0	0	0	0	1816.39026983651	0	0	0	0	0	0	0	0	0	0
GBM-BM-428-Or	12005.8645262805	0	0	0	0	0	24364.2764875379	0	866.32816786149	0	0	0	0	32949.347984332	0	0	0	0	27.6743720289087	0	10047.0002800603	0	0	20915.8090860226	3630.15567005294	0	146.794495109864	0	0	0	0	12195.9754297834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1514.87106019113	0	1985.33538468258	0	0	0	0	0	0	0	2290.95671056705	891.59607275745	0	0	0	0	0	0	0	0	0
GBM-BM-464-Or-PreOp	95136.597656203	88485.1891597161	13361.8214231846	5777.07012154548	6066.72823348926	73648.2569812622	1855.95753208425	19090.6151927394	5460.59181405134	7209.26856393419	20147.3308974232	799.241827400442	0	14493.6336754094	0	305.750229273995	53050.3467985931	2118.79544847768	4720.35441686167	1308.8255428571	11650.6929470722	0	4323.41552271649	8700.47143653367	33262.4065215446	146620.645034656	5031.46868524574	1662.85212412173	35429.4783220129	0	917.250687821984	2290.44469999993	0	1587.75557658074	0	493.491598126448	3207.69538782191	5369.40314918015	8121.15521264611	88120.4345002313	788.513749180302	0	0	98682.2275079593	0	0	2676.65551592497	2086.61121381726	0	40820.3376276333	2971.67766697883	1834.50137564397	10518.8806948474	4688.17018220125	0	3840.65200281018	0	64609.8510807942	38368.9717543313	0	19530.4663997652	6442.21097119417	1914.96196229502	2102.70333114747	17148.8330348941	0	0	32168.1425430903
GBM-BM-259-OR	133210.974139936	0	0	2512.54741333519	0	444.291920650734	0	0	0	5591.95003577648	0	0	0	0	0	0	4979.13359349961	0	0	0	0	0	26780.0785274994	29139.4218302654	0	0	59427.8744897999	10188.073352853	0	16254.9561313941	0	0	0	23317.6656286351	0	0	0	0	0	0	0	4044.58851902737	0	0	0	0	12271.6492565944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBM-BM-379-Or	0	9724.52160559233	26899.015695469	0	12059.5056069351	5636.92608324166	0	1664.70624095733	13603.3420878229	1939.41024111531	4384.27584252129	0	0	0	0	0	1296.60288074564	0	0	0	0	0	0	39908.9971429507	4104.07776236015	4428.22848254656	0	0	12911.0880074248	0	5510.56224316899	0	0	0	0	0	0	0	175.810560101104	0	0	0	785.65344045181	8801.51616506153	0	0	0	2499.80640143758	1950.39840112163	0	0	0	13317.6499276586	2477.83008142494	0	0	0	0	35315.9462603093	0	0	0	0	0	0	0	0	5494.08000315951
01-2020-108-OR-ab	0	0	0	0	0	38624.4167381838	0	0	0	45061.8195278811	0	0	0	0	0	0	15255.762775584	0	0	0	0	0	0	0	0	0	0	0	0	0	4409.17999294336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR514211	6312.67493779392	1182.09210435475	37308.0392155941	10182.0564260485	19696.9885644854	433516.214943505	3822.09780408034	2338.11756230577	8322.23151519699	4982.06356904588	0	1063.88289391927	2757.00250800276	48398.4879587582	0	3072.5301697036	2505773.98856694	2541.80112490228	9269.72380191825	0	2313.86951913952	22788.3109676429	0	83191.7019974725	5907.42951637795	575.284824119309	0	2154.13553478184	3777.84512530194	18813.1473910756	118220.425155439	815.340451465196	0	1361.22452324543	4788.68542479503	0	181.557223207306	14830.1032004792	784.121095888648	0	51871.110840705	5908.64191853626	4168.84482135774	57817.6403266885	1293.33000237992	1831.93966121028	6258.11684066985	397.364807386941	149.731666551601	137.001443889319	126.999126083241	1381.22915885758	24946.9930105184	2657.88863156071	3509.90424831486	8471.35698066943	39.09996960558	0	2723.35834810959	268.547078066232	58.498404138581	253.392051087325	56941.6797673077	0	0	0	1326.9741622731	0
SRR513822	134.266530173518	541.809231814333	2032.97039708381	0	57654.1575129191	259411.327953373	0	0	565.159932714075	1706.2430118382	6328.22237118094	0	689.028103893177	12148.7494251433	2511.84219287931	0	1040234.8680578	0	4589.50729090403	2391.44014136501	0	4874.27638547042	0	10761.2069951164	36353.7576085847	729.162121064609	1265.86338705712	1662.2780203004	5421.55843780813	2761.22038139452	358936.940726545	0	3703.82250287084	0	3458.45771607277	1018.12704469892	5683.15925882556	37964.4086886146	1649.50810574586	0	54528.8121393693	4104.98024723438	1538.22742177052	217516.157137518	0	0	519.735522370045	85.1935728139035	55.6403419876671	0	0	0	21871.9447943258	902.832959006442	3702.72793876616	318.335727109768	4670.68746200079	0	3743.95652004227	656.738462805252	345.517402375874	1972.95179867744	15504.3181153765	211.250872202356	3042.70578364689	352.996923757823	0	0
SRR062041	0	51568.3712347472	0	52.234020158303	4510.42996290031	7408.30197014428	0	0	1895.15739805125	0	776.813633123481	0	0	91637.6684761833	0	0	6014.94832130613	0	77.6813633123481	0	3614.41561710788	0	0	306740.488600392	66821.5980102052	19281.0501076649	0	139958.601568781	100842.910028697	84135.6131365241	0	0	0	88493.3590405001	745.116065335109	9621.77437992946	12710.7246831371	2338.47690247172	0	0	0	21078.4361346506	0	86.6102556471008	0	28073.3303896958	22927.6097371779	1691214.80045625	0	161.166506642285	111483.024579405	0	0	0	40960.8471410611	724.579612965178	0	5735.02754661163	91195.2418609963	0	20386.893423324	12366.5158836324	5280.54692677272	555.823547838353	0	0	0	0
SRR061999	0	104.279464362022	4151.62617491301	0	1025.95785510344	29.8717215620376	0	0	259.069294274399	952.093234513671	8304.88171645667	386.703013675832	28834.3581405196	299.803460040814	25048.7963352941	0	99704.7459853487	0	0	0	0	0	1738809.01474896	0	334.563281494821	0	289330.434461163	471271.486784591	72.2352539591091	733.214983795468	14.6642996759094	0	404215.98934434	0	0	0	0	58557.2642169572	57.0278320729809	0	0	722.352539591091	1854.76234789743	100566.680932966	20.6386439883169	0	0	0	0	0	0	0	34389.4121066381	6254.05225067024	120.030008458369	6214.40432932426	211253.90113115	0	10213.956285376	74.9508650102034	368.77998073861	0	31864.4369513306	247.663727859803	53790.8237000764	6932.4118912336	0	381.271791573644
