feature	X1525	X1522	X1568	X1552	X1545	X1543	X1540	X1564	X1561	X1536	X1468	X2016	X2043	X2492	X2502	X2497	X2483	X2479	X9712	X9418	X13165	X9467	X9450	X9447	X8007	X8095	X8163	X8130	X8047	X8071	X8249	X8255	X8235	X8236	X4482	X6936	X6956	X6952	X6939	X5868	X969	X17130	X15888	X15878	X17167	X15892	X16971	X16988	X16987
01-2020-41-OR	6961.98602634149	24744.1484775233	6537.63896784738	58551.8112710732	0	91188.815036587	61836.1227904658	6125.41611102452	18257.700583399	0	0	0	0	0	615.640018196219	14593.4974116404	169.738823397645	259.996769172583	0	0	0	0	0	0	20782.2287980592	0	0	0	0	9056.77864843147	0	1126.20362190818	0	0	5660.65504695955	17830.6592578669	0	96553.1007093602	103560.889275349	5354.85573813998	208.805695449484	3152.29243452769	0	44551.0526078056	63233.1002496987	1139.67495709847	90826.4361199682	39700.0248057824	0
01-2020-42-OR	3310.37340916153	0	4080.49500087618	55994.7363289249	44230.2669390748	0	0	3166.69400772222	3850.6079585733	0	0	0	0	45442.9210872225	0	33224.4247888243	63356.8688586747	1511.50730314146	40425.6363889621	0	0	359911.153429395	46483.1599536431	0	0	0	1537789.13925274	0	0	0	0	2747.15015551946	30758.8862601258	17810.4986024159	0	0	0	0	67000.5784791754	0	0	0	0	0	0	15816.2285104384	45241.7699252075	9333.41391749708	0
01-2020-43-OR	0	0	0	43162.3357846026	0	596.311521325139	0	0	0	31910.759652585	0	0	84337.6139590567	5932.03708836148	2782.78709951731	0	1653.61522851727	22714.2245289126	12855.9843294592	4785.38377211086	71.2207028727093	30653.3905164141	668179.685133054	23901.6678840812	5081.92088043541	1146.00585531541	92.586913734522	0	1487.21776816921	199.417968043586	0	78077.9616374808	9084.52438188167	0	1132.40917567608	8209.80465841776	121628.126522272	33526.1746859251	9494.36715386735	1664.62206441578	0	385.886717383043	3620.60154967446	0	0	0	900188.894272127	11691.2021070228	782.780270664595
01-2020-44-OR	4284.86871561774	197.646221063385	4647.22012090061	54433.796421585	17214.2256768475	1394.9262140435	3467.67760929798	866.60266158561	4047.94664293279	1146.60147475874	951.489179606423	2612.47761431218	3048.31287101605	1184.61036342477	43758.3665582512	798.186661986746	0	366.152294149476	9967.19757119005	9685.93179506139	158785.93329123	52883.0337640108	0	231.854220862817	55193.9741949057	5843.2331509252	56036.5045603362	16575.6763472581	37888.5271852598	13536.2322169308	7326.84677185612	4853.73508265274	0	0	197.646221063385	15887.7154624029	0	59637.2132799653	19696.2061067396	722.168884654675	249.5917022403	4754.91197212105	1493.7493245752	35311.5245337025	110069.940687972	0	32056.6967009344	1236.55584460169	0
01-2020-46-OR	0	0	0	1764.69652148204	0	0	0	0	0	6773.50027414121	0	0	8570.8008883989	1467.18417490423	0	0	0	1279.71064144425	11982.0040950512	0	34442.1485058769	0	14007.5333587385	2640.93151482762	0	1642.43117357335	21889.5727872518	0	0	0	0	0	0	13763.0026629211	0	0	17659.1917496112	2111.11500722331	4438.23212908531	0	0	0	0	0	0	0	0	0	0
01-2020-49-OR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10543.2732130919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92014.0207688019	1520.34660753049	0	0	0	0	0	0	0	0	44784.1228957351	90857.2353065504	0
01-2020-50-OR	0	3100.91887598038	782.932176752497	118828.081252209	84429.8110791478	61554.4177111616	4121.26798596106	32397.4434991381	28832.5648147118	5282.97985007761	1689.10367762344	8171.85459485419	7263.8707509815	7631.77638033511	2491.9716273951	4683.09431650105	0	16649.9951570028	10109.2492637163	1939.20701186382	6210.89946696946	20474.0388906782	0	0	5563.89301534761	125.051667120191	24667.8005967089	0	0	0	0	2669.58124156581	0	0	6651.29881639274	8267.90877394651	7742.32930344136	115752.535178253	41903.1825432743	4284.37885611783	690.502683663661	5855.68023862805	0	29535.7538993876	19741.8523179744	791.993891761207	24517.3761275643	34586.7538452423	0
01-2020-52-OR	11849.3234002135	0	0	0	0	0	95931.75835336	0	0	0	0	30271.4960569754	0	0	0	0	0	0	0	0	59565.02492353	0	0	0	20173.4162303059	0	0	0	2183.36861117178	0	0	0	0	0	0	0	0	0	88198.9945221266	0	0	0	0	0	0	0	0	29702.9104811494	11189.7641322554
01-2020-56-OR	5504.22655667525	933.00648481604	487.824231549155	5405.29716706039	0	18770.9988398547	2839.9557535991	0	0	0	0	0	0	16185.1892768179	0	1780.72901306754	18003.4432307739	11484.3375909806	4110.68670641071	0	625.984241183705	31167.8747660759	266.085944481357	0	9940.69797716249	3063.39971979819	0	1647.68604082686	24157.5335364709	0	3967.40965938229	390.600521065582	0	0	0	0	0	16557.0273274393	201234.318230551	0	574.813867244983	0	0	68541.0102117875	0	0	583.342262901437	89167.7879464866	0
01-2020-58-OR	88.9659163424774	6693.57739163689	1782.72698264811	121707.077884408	0	0	1037.59482508238	11293.2175262169	1205.30069037165	4694.40076578007	5886.06683295747	152.366914195737	14915.936908929	1182.80356210114	0	0	189.862127979923	1431.63543539619	4545.10164180304	0	4183.44326157557	2967.57573822838	31657.549863568	818.418257234821	318.368451585724	0	311.551139988599	697.070110806001	1114.97131170975	4407.73281312098	121.689012008676	4525.33143817138	415.515141844751	1034.52703486367	4183.44326157557	98445.7289838592	80267.0267445463	0	1098.26889829679	3883.48155130209	10192.5625688611	27489.1046875061	0	812.623542377265	21983.4438416682	0	54581.1009744797	2230.96522015906	3171.75422056227
02-2020-49-OR	488.779391882047	6811.5219841177	0	21367.282590073	32021.7764901807	72958.1716139532	0	62092.9196274376	309.410807705149	16690.2467576603	2703.98140646673	0	22725.999615213	0	5977.45806769512	1013.43250059947	16286.6674432623	3600.82432735122	3627.72961497776	578.463683970495	0	20954.7348464661	6224.08987093835	0	0	0	11062.5574291102	0	0	2986.48692654535	0	699.537478289902	654.695332245677	0	1591.89618456997	22829.1365511147	3842.97191599004	134477.111772025	35559.82181307	2838.50784459941	0	273.537090869769	4457.30931679591	73110.6349105035	27380.6143746035	3443.87681619644	43559.6606673596	149261.567322806	15609.5510379945
01.2020.030.Or	0	1756.34913437365	16.872144917835	42580.3555838591	0	1066.44301352608	759.86379489713	13995.0326936144	0	1320.75973448272	1090.51668371373	0	0	5693.73163617476	10922.0389820551	4701.36145399527	2680.4077054224	1780.4228045613	23911.5329901395	7476.00626151972	17151.5640983035	157348.183198675	5643.3209592861	0	839.492088594717	12898.3432739552	368.923851679002	0	61044.4491020513	0	96.9119543451254	1268.0857210807	0	0	0	4380.17342696185	9500.45789379507	64807.7604501879	27867.2279419124	2113.75054562096	126.952602613466	6.58425167525268	852.043318350667	4320.91516188457	4375.64675393511	560.278665991033	47753.5198219592	163035.330583175	7427.85892114443
01.2020.090.Or	12985.0911874096	10541.1249530223	1569.10250443063	270942.102440463	12089.3388571591	47690.3947086637	0	366.656372217777	5354.36262592555	340.60705891008	0	1515.77513662148	364.690386307762	7256.94549034246	14507.7472747161	17637.8425916986	25833.7921023119	6702.04596724076	21231.419086967	2195.02326853162	118896.192635254	79753.6589150965	4397.4189842258	873.389240524114	313555.584284752	13927.2899347842	2912.60812568706	1442.29641323467	14179.6733759824	46643.5072115807	15086.7301252155	13156.1319615809	7840.84330561688	32365.5345400976	21852.6706345317	177406.145051446	3185.38867070162	565348.738213431	331990.634162962	5498.12534559539	15953.4841632933	22320.0837846378	65532.9455832425	40490.9543061892	163197.71913153	10279.4030787516	718784.108560544	57480.5130440603	128164.587459781
01.2020.108.Or.ab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7507.74267377946	0	0	0	0	0	0	0	0	0	0	5543.0997311082	0	0	0	0	0	0	0	0	0	912.155651954513	0	0
01.2020.141.Or	0	0	0	11828.1374200519	0	0	0	0	0	0	0	0	0	11301.54226094	16243.4352926055	0	0	0	0	0	0	213352.054080182	0	0	0	0	2345900.41920365	0	0	0	0	0	432010.567071415	0	0	0	0	9559.72750387754	262325.403877589	0	0	0	0	0	0	0	0	22522.0698820166	0
01.2020.64.Or	1249.69366194267	5641.38315979731	388.9352723393	32858.1990968803	0	0	6206.11353181222	0	0	0	0	0	0	45500.8725865044	144943.515110259	15497.2944346156	0	18155.6260325599	13052.1030093349	3279.0795794414	1040046.1644588	317296.036655173	3846.54251777251	0	2062.63214101252	4279.19885117103	0	0	22407.4992205689	1413.19221319537	8299.71475774168	0	0	187190.356641887	2528.99012564418	681.319868172825	0	13365.4372802593	193060.364516806	320.165686714904	23.2268136877099	0	5297.53523167533	71636.5031178105	0	3785.97063109672	1287.94959036948	91903.0366296358	25615.9875035085
GBM.BM.257.Or	0	0	0	6587.89025083207	0	0	0	0	0	1802.45598646017	0	0	50272.9736798636	0	0	0	0	3627.94655421696	34851.3215017795	0	560938.123735184	4652.98542191636	39829.6703845105	2386.9584868618	0	0	17958.335443374	0	28551.3635171551	0	0	0	0	13480.9887038443	0	0	43699.4800423419	0	124709.223139877	0	0	0	0	0	0	0	3342.89361067134	12455.9498361449	1163.24635547909
GBM.BM.259.Or	0	0	36803.9296490528	98858.78691504	0	0	0	0	0	0	0	0	0	0	11345.9059649612	0	0	665.665930147658	0	0	0	0	0	3624.18117524836	0	0	8224.67238137996	0	0	0	0	0	0	0	0	0	3076.85585490473	355.021829412085	0	0	0	0	8505.73132966452	11124.0173215786	0	0	0	8712.82739682157	0
GBM.BM.260.Or	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20073.1640676718	0	0	0	0	2956620.65290259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54223.6120269576	138948.005819079
GBM.BM.265.Or	0	0	0	6299.54585828607	0	0	3200.37169105698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375.274150861754	0	0	0	0	0	0	248.777246076893	0	10250.4658510666	0	0	0	1054.14087320717	0	0	0	44961.2165240323	140259.768025454	0
GBM.BM.270.Or	0	18109.5025081972	0	31695.9004984273	0	224284.48012039	0	0	0	4459.03788173536	0	0	0	0	0	0	0	0	27288.1159256774	0	0	0	0	0	68102.8343144352	0	3711.59379236401	0	40613.976261898	75867.7106257329	0	7188.27658521131	0	0	0	8414.08489178032	0	52816.5349095205	56434.1643020779	0	0	0	0	71617.9570890216	0	0	353468.445418252	51945.2286567677	0
GBM.BM.279.Or	2793.1509369076	0	0	315247.816681186	0	276.405561464815	0	0	0	0	0	0	0	1178.3605515079	92086.6949511726	0	0	0	252401.920600765	41751.7874423168	217923.963723312	53564.4882796552	12190.9400267113	0	0	15376.8778141215	7332.02120938246	2807.69859803733	10663.43560809	0	0	0	0	0	0	0	0	0	121531.16107774	0	0	0	0	439150.246523072	0	0	86485.8454162276	103724.823854954	10721.6262526089
GBM.BM.281.Or	0	6462.5534319918	0	38348.3492803755	80407.6590959241	72026.3703872235	0	5956.51335901365	0	0	0	0	0	0	0	0	0	0	8265.32119197647	0	109647.287062693	36614.1077802733	1312.54143928708	0	42270.1598459562	363.716302453046	0	0	1454.86520981218	19603.7815771432	0	3916.53931482048	0	0	511.31132373834	24521.8585363996	0	266356.300912354	5508.45704439758	19403.474048256	11665.2779322984	12224.0305128785	0	12777.5118426983	18164.7301196115	0	81293.2292236359	86870.2125279159	0
GBM.BM.282.Or	0	0	0	0	0	0	0	0	0	0	0	0	0	52683.6584672095	21585.9712683805	5609.22271065528	20818.1875146116	0	1168.79182898571	19106.5676813689	221473.825736841	278001.293315275	2327.80297321004	0	18421.9197480719	0	0	0	0	0	0	0	0	154970.059701792	0	0	0	0	300144.763615055	0	0	0	0	41602.1426325584	0	0	3222.73562887692	37763.2238637141	415.679102358935
GBM.BM.284.Or	1757.76880538187	469.423638084437	1497.35861199196	75969.5342466357	0	0	637.319683822666	6906.00979970206	0	402.607864780448	12081.6623933265	928.567926429799	3960.976099457	55325.1735206596	15797.6473240022	395.754964954398	4098.034095978	13244.9421387985	334.078866519946	12042.2582193267	0	430165.088205952	8064.14987030454	1745.77623068628	568.790685562165	3972.96867415259	26488.1710526404	74559.5501074259	33195.446757387	0	1533.33633607873	1094.75074721152	21103.5050143215	0	0	904.582777038623	10740.2072523771	11557.4155566336	134154.080219715	746.966081039469	0	0	2561.27130998625	449418.31026724	0	2646.93255781188	15902.1540463494	128779.693531135	0
GBM.BM.288.Or	0	0	0	53433.1398767436	36340.9495260229	0	0	0	0	0	0	0	3682.75599274669	0	3174.02693669159	0	0	0	1390.71040867236	0	30349.5589582435	0	0	0	2618.29573958792	0	36288.4177213215	0	0	0	0	3027.49084989311	25939.6521951572	6400.58567808452	2681.88687159481	0	7553.52054968765	20697.5310523286	48381.7921299357	0	0	0	0	0	132.711927666547	0	96213.3827264205	11255.630365219	3135.31929112218
GBM.BM.295.Or	0	0	0	25667.5571848557	17652.7267796394	0	0	0	0	1706.81550322161	0	0	0	1473.99179866047	2214.33767935129	24205.2903209573	0	184.248974832559	43795.9813176992	0	202147.925242201	358134.782326126	3227.70704093037	0	56912.833335097	1246.19306614021	943.01975300664	0	46944.9637966556	0	2944.63361596034	7321.38426357376	0	0	211.048825717294	3349.98136059197	10646.2407639613	84789.7032272631	188528.576020715	0	0	4763.67349476179	81891.9693503511	56829.0838010822	6426.9392402957	1514.19157498757	130186.975635325	52072.1102690416	9838.89525605863
GBM.BM.305.Or	0	0	0	0	0	0	0	0	0	0	0	0	34109.4204398455	0	0	0	0	0	237.914459749289	0	60768.3617454369	22113.5229430129	0	0	0	0	111957.536032547	0	0	0	0	0	0	0	0	0	0	0	763.830633931928	0	0	0	0	21324.6486817389	0	0	0	0	8464.74604160629
GBM.BM.308.Or	7519.36299951015	0	0	614.836857416622	0	34.8713441519875	0	0	1448.07844925885	17151.1953210696	0	1079.17633480888	19092.9785901645	1549.02181390934	3778.9525057338	0	0	0	5953.82318047619	0	0	0	0	2420.80541770903	0	2793.37819996447	507552.414132178	761.663569635517	956.208963325553	0	0	2554.78479260877	29831.517255074	0	0	0	28860.6256205265	0	5494.98970479214	0	0	0	2474.03010088838	18079.8742758542	0	431.303467143004	16240.8697053125	112561.02825481	18650.6631196051
