feature	X1524	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1542	X1541	X1564	X1561	X1560	X1526	X1536	X1457	X1458	X1456	X1528	X1411	X1485	X1464	X1466	X1469	X1468	X2016	X2037	X2036	X2043	X2048	X2053	X1341	X2532	X2489	X2492	X2502	X2497	X2483	X2480	X2479	X2476	X9712	X9649	X9738	X9418	X13165	X9247	X9434	X9422	X9467	X9450	X9463	X9447	X19351	X19300	X3607	X5989	X6001	X6055	X6067	X8007	X8095	X8163	X8130	X8047	X8053	X8028	X8026	X8071	X8059	X8249	X8255	X8235	X8236	X6833	X6602	X7285	X7298	X4482	X4481	X4494	X4479	X5266	X5265	X4799	X7281	X5286	X5285	X5273	X7282	X3936	X3934	X3920	X3922	X3931	X6653	X6649	X749	X748	X6936	X6956	X6952	X6939	X5868	X5825	X5884	X5880	X5898	X19880	X19882	X19831	X19850	X19800	X14348	X969	X985	X17008	X17007	X16955	X15897	X17130	X15888	X15878	X15873	X15872	X15877	X17167	X17168	X17169	X17153	X17154	X17151	X17132	X17137	X15892	X17300	X15494	X16971	X16988	X16987
GBM.BM.259.SL	212	19773	67324	392	24167	1008972	50007	0	2589	10851	0	265886	10689	8259	967	22719	1596	1970	31225	0	0	259	0	9851	0	22715	1404	0	3198	35462	21946	2589	1709	0	0	17397	10096	5172	2050	1004	20166	0	12545	0	0	1594	1533	2504	738	0	782	97408	0	14247	31660	170	1236	11518	1799	13319	7285	79240	12090	14322	345	0	0	0	0	47095	315	0	7258	0	4000	4676	12766	0	2464	80964	572	24061	123014	3519	7368	28626	0	13134	12769	40003	373	0	9921	2743	17906	731	0	208	36593	3375	206225	54277	568707	7290	9387	410	1125	9450	221	0	751	4553	9873	573	1728	149630	0	2162	3456	0	2210	41669	9217	510	8368	2018	1901	23737	106078	0	158	0	0	34929	1976	0	3134	0	83637	3462	1279
GBM.BM.265.SL	0	4991	78098	0	1343	285254	0	0	11407	0	0	5849	1861	0	0	0	0	0	0	1768	0	150	0	0	0	0	2354	0	0	0	0	0	0	0	0	1299	0	231	4469	0	358	0	0	0	0	0	0	0	0	2089	0	0	803	0	948	0	0	0	0	0	0	753	0	756	0	121	15251	0	1028	37835	0	323	944	0	0	896	968	123	0	0	0	0	5300	17565	0	1816	652	6845	0	0	0	0	0	0	3203	0	0	0	0	0	0	31882	0	18096	19011	2118	0	1256	0	0	272	0	1081	359	1495	7647	1818	284	0	45	0	23195	3108	2451	0	0	0	20542	14479	0	0	0	2283	0	149	0	0	0	108581	131018	4601
GBM.BM.279.SL	0	82477	116311	15569	34472	556292	461	987503	11478	254993	4777	63913	21448	4529	4081	9007	0	0	0	0	4058	0	46812	5146	0	20657	3900	526	2776	0	3105	0	0	366	0	5716	21379	715	0	0	6183	0	122483	0	0	9494	17506	0	3060	4915	8893	21160	0	0	8045	0	613	588	3167	3508	1102	95832	33080	382	1593	5317	181	1909	0	68476	0	37	13875	0	0	412	5285	0	0	40140	0	3505	0	1161	45746	43642	0	0	3646	43608	211	666	0	1417	13376	0	172	0	1173	12524	291834	49353	317394	45761	93054	450	0	9385	2791	0	0	0	334	0	45	102434	892	642	633	0	0	55757	438	23755	4181	0	0	0	0	14723	16895	202875	3547	5519	12585	0	31360	0	184954	17287	6887
GBM.BM.281.SL	0	761	326210	1024	7417	431493	1936472	1063972	0	0	0	282004	0	0	0	39	0	0	0	0	0	0	0	0	0	42129	408	0	0	291	0	0	1104	0	0	0	0	0	0	404	917	0	11374	0	0	0	30637	0	0	0	13416	18743	0	0	26807	0	0	0	0	19214	4014	369173	25902	0	4775	2067	0	0	0	56106	0	0	14852	2421	0	22291	44707	0	0	118836	0	0	805	0	84268	39271	0	278	1428	21247	0	0	6535	0	7296	0	0	0	2775	0	494356	0	1548111	6072	358870	0	0	36937	0	0	0	233	50487	0	0	703536	226	0	0	0	0	344192	300	9379	0	0	0	458426	0	0	1931	194432	0	14089	20744	0	131809	0	482441	31692	599
GBM.BM.282.SL	0	921	1679	0	0	52521	16827	19982	0	0	0	7896	381	0	0	0	0	0	0	0	0	0	0	0	0	513	0	0	100	0	0	0	0	207	0	31191	11532	4338	11418	0	1219	13471	6238	7540	0	5838	42194	0	408	0	73645	79187	0	0	0	0	0	0	0	0	0	4323	1018	0	450	0	0	0	0	0	0	0	2312	0	68279	2832	0	0	1254	32	0	282	0	0	0	0	0	0	0	864	0	0	2086	0	0	0	0	0	553	0	968	0	44120	85280	671	0	0	0	0	0	0	0	911	0	0	0	0	0	0	825	0	0	706	8489	0	5702	0	1698	0	0	1510	0	0	0	1578	0	209	0	37866	15077	2502
GBM.BM.284.SL	1098	3465	204946	33882	39931	1961068	0	0	2656	359	0	476853	0	0	406	9785	5826	0	30392	160	13386	70	29200	0	11983	144059	4005	0	0	5138	17925	0	0	2052	0	67213	22327	2032	7034	0	24198	0	13234	0	0	20601	0	14929	0	936	191368	150440	0	6265	50698	139	68	20664	16444	1192	3818	274620	38324	43756	9851	11878	5964	3543	2099	74874	12441	4397	16100	5492	0	11966	34669	520	18141	12380	346	4351	0	13559	0	8200	0	6635	3801	7884	0	0	244692	0	53187	0	0	226	14813	0	196676	42252	356335	47162	29902	330	2055	21222	0	183	48	3385	70224	0	1449	43042	0	12583	14223	0	1143	84328	4333	40712	0	592	2927	40304	207921	109591	3218	19166	1441	32793	9752	1340	0	0	79296	24306	0
GBM.BM.291.SL	274	32022	59362	3488	8107	480317	679746	777505	1586	7422	0	242177	26573	0	17985	9972	18731	0	0	0	8205	0	121	249773	0	27362	0	5761	7346	1035	25225	900	1704	4501	0	0	147068	1724	54148	0	75691	0	0	0	0	2924	101670	0	0	0	1433	0	6361	0	13901	64	136	0	0	0	0	0	6097	0	0	13124	0	238	721	0	3025	2225	9687	6520	8516	0	222	0	0	11171	0	0	0	715	24316	0	0	0	0	7215	339	2282	13	0	656	1487	682	0	33248	0	54338	121368	461158	68457	46887	1638	0	1224	0	451	9	0	229	626	4091	6633	0	112	4513	4404	5924	12567	271	0	0	0	0	9652	0	4954	11067	15616	0	6829	29269	444	0	1099	530694	25846	129387
GBM.BM.295.SL	0	24346	82325	7463	17473	422749	2560481	78063	4329	0	0	69997	15831	0	9924	29506	2440	3031	0	850	3201	0	0	0	0	2903	0	0	0	0	0	1345	5315	232	0	15823	7341	61440	19731	371	7441	0	113093	257	0	0	193757	0	10155	25137	1123804	51685	0	0	18962	2028	215	0	690	0	0	509811	8100	120	0	56966	0	856	9951	0	0	6492	32068	0	0	0	4410	0	0	29280	7554	1171	0	0	3299	3530	0	0	0	0	505	0	15756	0	0	1140	0	0	4445	0	304306	31916	978846	85301	62712	0	1028	14561	0	0	77	0	1090	114	22692	30029	0	0	0	0	0	161071	18090	3852	0	15396	3052	69746	0	18820	493	12369	32	4150	3608	2561	0	536	1567881	45106	10805
GBM.BM.305.SL	0	14587	7427	1097	8275	81570	4942	0	4797	0	0	72870	7466	12039	149	32736	35083	1713	84435	0	31514	1735	0	0	2519	0	19421	4231	3407	102289	27030	258	0	388	0	11963	3345	1720	0	0	8282	0	22625	339	3235	0	22643	0	0	0	68479	34685	0	6585	566	0	0	47826	4505	0	2563	4031	4925	4813	9532	4912	0	0	1905	0	25904	1462	4533	2454	26593	5011	33704	5611	18195	0	0	0	212	2465	0	5901	115	5161	0	4095	144	927	9731	1733	4424	1022	1560	7496	24761	9742	1613	76698	0	31852	56	815	583	84	0	3452	198	0	1393	0	504	4327	416	8010	4692	0	743	7771	0	3762	0	0	0	141	13018	0	3078	0	0	629	0	125	0	0	14405	8613	30277
GBM.BM.308.SL.ab	0	252	0	0	0	5376	0	0	0	0	0	1736	0	0	0	6338	0	0	0	0	0	0	0	0	173	0	0	0	0	5012	0	0	0	0	0	0	0	0	0	0	0	0	1260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	1397	19198	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6885	0	0	0	0	0	0	0	0	0	0	455	0	0	0	0	0	0	4243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3399	3282	0
