Gene,B cell-like,Endothelial,Ly-like,Myeloid,Pericyte/vSMC,T11,T16,T9,T17,T18,T10,T1,T13,T3,T14,T15,T2,T4,T12,T5,T6,T7,T8
PIAS1,0.408119934,0.872363118,0.437366507,0.688192282,0.548316046,0.610421035,0.530092363,0.748544815,0.381443783,0.690928208,0.433486851,0.863182038,0.736094582,0.426138068,0.386718004,1,0.445359036,0.55199862,0.651773453,0.476636434,0.424342759,0.406509513,0.462316096
PIAS2,0.313804606,1,0.123427086,0.396938646,0.37238141,0.366189026,0.291790024,0.371580649,0.447913049,0.799217508,0.616912306,0.392193571,0.526787059,0.514006304,0.237455017,0.973005561,0.358681061,0.39688926,0.244687049,0.377731642,0.461121245,0.427051278,0.446716959
PIAS3,0.751396843,0.863718179,0.650445031,0.58771217,0.903156275,0.655372509,0.709325386,0.64242849,0.914843502,0.095184258,0.576482236,0.432871229,0.881009334,0.809549908,0.604055711,1,0.771533836,0.744779478,0.507308999,0.622143587,0.675584833,0.654071022,0.699710488
PIAS4,0.643158958,0.550000569,0.326835911,0.462570536,0.294101081,0.97102762,0.349535224,0.488484217,0.632309053,0.531798242,0.587523997,0.629508486,0.652493949,0.988242745,0.434341879,0.910007943,0.556429072,0.974512923,1,0.555853429,0.711319792,0.400308498,0.447636596
PICALM,0.137341123,1,0.449413101,0.577045673,0.551129314,0.202360893,0.321914977,0.111660092,0.217635306,0.188873406,0.2965571,0.211735545,0.200292186,0.240925398,0.253266222,0.324847404,0.217485806,0.235538016,0.344272146,0.285156657,0.381115097,0.284363131,0.461483334
PIDD1,0.296690257,0.181290043,0.219145996,0.315944916,0.254977756,1,0.176586656,0.568432732,0.344216547,0.127757464,0.415795989,0.469614385,0.677065075,0.535149128,0.348944198,0.202472827,0.378702649,0.481143013,0.196511001,0.287983048,0.274650072,0.347624662,0.336800215
PIGF,0.33443764,0.361011358,0.333302329,0.418695502,0.333588296,0.401690337,0.227038489,0.520731866,0.560333357,0.246525875,0.374719033,0.416339435,0.482434536,0.448490703,0.41566879,1,0.32759763,0.666652152,0.332334875,0.364186886,0.449054087,0.361934017,0.435440347
PIGR,0.371361831,0.24768872,0.623363775,0.70757929,0.422325844,1,0.168817318,0.288709523,0.494865696,0.275627272,0.345931193,0.301272818,0.330010897,0.480881241,0.561899587,0.280637654,0.357083578,0.630999255,0.484211968,0.441377992,0.428377169,0.501844274,0.610981633
PIK3AP1,0.579281791,0.177271942,0.150226337,0.968796425,0.264081561,0.306311003,0.077667561,0.323517186,0.149268334,0.474183607,0.231973022,0.665259896,0.382866621,0.324591885,0.363770416,1,0.289853298,0.324244345,0.364010534,0.427403996,0.45048265,0.414980938,0.324172213
PIK3C2A,0.516443684,0.995041451,0.967602807,0.459224786,0.739044152,0.157009151,0.568687429,0.857700309,0.786147933,0.285016389,0.655292522,0.247089447,1,0.68674412,0.623809501,0.267838326,0.426164803,0.990497143,0.891281945,0.512912802,0.682253982,0.495597346,0.920736582
