"","contrast","ratio","SE","df","null","z.ratio","p.value","fold_change","modelest_cpc_1","modelest_cpc_2","counts_1","propnz_1","ncells_1","counts_2","propnz_2","ncells_2","term","target","msg"
"347","16Spos_tumor / 16Sneg_tumor",0.962377384885066,0.723216121886598,Inf,1,-0.0510301651590042,0.959301483534087,0.962377384885066,0.0174161568964015,0.018097013884508,2,0.0294117647058824,68,114,0.0163134624180515,6559,"DE_tumor_bg","AZGP1",NA
"348","16Spos_tumor / 16Sneg_tumor",1.24888840941826,0.636447265224165,Inf,1,0.436124583854196,0.662746341481422,1.24888840941826,0.0350480437153676,0.028063390973172,5,0.0735294117647059,68,227,0.0311023021802104,6559,"DE_tumor_bg","AZI2",NA
"349","16Spos_tumor / 16Sneg_tumor",1.34413409247652,0.962239114741676,Inf,1,0.413127738139323,0.679513027798526,1.34413409247652,0.0127862808497274,0.0095126527340506,2,0.0294117647058824,68,83,0.0125019057783199,6559,"DE_tumor_bg","AZU1",NA
"350","16Spos_tumor / 16Sneg_tumor",0.636212286516088,0.645227089308614,Inf,1,-0.445904745264276,0.655666054380508,0.636212286516088,0.0131912037161594,0.0207339656836789,1,0.0147058823529412,68,87,0.0129592925750877,6559,"DE_tumor_bg","B3GNT5",NA
"351","16Spos_tumor / 16Sneg_tumor",0.748404921467669,0.456543643656016,Inf,1,-0.475082860093996,0.634727914690389,0.748404921467669,0.0345895228610316,0.0462176582072702,3,0.0441176470588235,68,227,0.0318646135081567,6559,"DE_tumor_bg","B3GNT7",NA
"352","16Spos_tumor / 16Sneg_tumor",2.33686896384326,1.20871290267849,Inf,1,1.64105336887682,0.100786337295519,2.33686896384326,0.0148620515492087,0.00635981382745836,4,0.0441176470588235,68,96,0.0144839152309803,6559,"DE_tumor_bg","B4GALT6",NA
"353","16Spos_tumor / 16Sneg_tumor",0.2461874466322,0.252751870121097,Inf,1,-1.36525835477806,0.172171863146991,0.2461874466322,0.0345939858367773,0.140518886360847,1,0.0147058823529412,68,229,0.0315596889769782,6559,"DE_tumor_bg","BABAM1",NA
"354","16Spos_tumor / 16Sneg_tumor",0.66896128126339,0.491683956861986,Inf,1,-0.546981237557772,0.584391622310562,0.66896128126339,0.0258156853714191,0.0385907018753969,2,0.0294117647058824,68,167,0.0242415002286934,6559,"DE_tumor_bg","BABAM2",NA
"355","16Spos_tumor / 16Sneg_tumor",0.533989782880194,0.545212188760554,Inf,1,-0.614464891089128,0.538908166507883,0.533989782880194,0.0142240247072997,0.026637260043777,1,0.0147058823529412,68,101,0.0147888397621589,6559,"DE_tumor_bg","BACE2",NA
"356","16Spos_tumor / 16Sneg_tumor",8.99243694565972e-08,0.000106066697847883,Inf,1,-0.0137551153618351,0.989025351894908,8.99243694565972e-08,0.0214951014415686,239035.331261827,0,0,68,165,0.0234791889007471,6559,"DE_tumor_bg","BACH2",NA
"357","16Spos_tumor / 16Sneg_tumor",1.11933416079949,0.530017101453105,Inf,1,0.238081049226254,0.81181823271437,1.11933416079949,0.0384941869439398,0.0343902547532767,5,0.0588235294117647,68,241,0.0347613965543528,6559,"DE_tumor_bg","BAD",NA
