Gene,B cell-like,Endothelial,Ly-like,Myeloid,Pericyte/vSMC,T-P2,T-P3,T-P4,T-P6,T-P7,T-P8,T-P10,T-P12,T-P13,T-P16,T-P17,T-P18,T-P21,T-P22,T-P25,T-P26,T-P27,T-P32
TMEM119,0.382393887,0.074616679,0.258177402,1,0.376604826,0.938181568,0.280189526,0.342846675,0.34611317,0.384152461,0.174230905,0.541506618,0.407119065,0.386214688,0.410568526,0.444601321,0.336268029,0.390514762,0.315449949,0.243258015,0.298808517,0.303891381,0.524013718
RBFOX3,0.051438142,0.153144693,0.188809515,0.353773451,0.151559369,0.605414724,0.467704094,0.81910142,0.57093192,0.68822142,0.191266183,1,0.538532246,0.583326275,0.625711912,0.726592973,0.450713005,0.943911926,0.839414712,0.490615474,0.715587316,0.766391022,0.654030542
TJP1,0.362403739,0.848379697,1,0.157373177,0.657597501,0.74044409,0.604176096,0.299931355,0.253422718,0.556504775,0.258090648,0.199212035,0.445715699,0.382317982,0.312110204,0.451611536,0.308241562,0.650904077,0.796222267,0.50209084,0.328501822,0.273579767,0.359996779
SLC2A1,0.062905947,1,0.500821348,0.055844498,0.151603044,0.092908179,0.122367896,0.082466383,0.118064639,0.103414603,0.059822159,0.020358738,0.132111703,0.077865115,0.114823254,0.094770801,0.101020249,0.083927367,0.136046168,0.067494545,0.116757507,0.081118427,0.068979357
ABCB1,0.017044143,1,0.744809448,0.050368004,0.190106194,0.148342617,0.139102609,0.056237503,0.082946524,0.11486064,0.024886759,0.067601384,0.131899238,0.114572332,0.122227718,0.080634334,0.072580215,0.094176257,0.091355139,0.085626072,0.097673131,0.095062792,0.086412867
PDGFRB,0.588443028,0.105702602,0.243239005,0.077601005,1,0.242626498,0.076717155,0.107034921,0.091647919,0.074055583,0.061242164,0.069178149,0.112114265,0.103197681,0.099052702,0.066957627,0.103175637,0.098484772,0.072480033,0.068677395,0.101963233,0.077936088,0.096875288
S100A8,0.51834228,0.211167742,0.40023503,0.548549117,0.269583033,0.919702277,0.707962994,0.469289434,0.545899307,0.432976128,0.231671818,0.544094189,0.274562255,0.446618825,0.37462958,0.292683549,0.377999363,1,0.802297139,0.337548939,0.624517004,0.508745863,0.577427623
MHC I,0.466534298,0.556216602,0.967208671,0.649471507,0.400052784,0.400405993,0.315385729,0.130566891,0.596036364,0.10695468,0.143805453,0.10445063,0.067270654,0.110409509,0.095439735,0.066891849,1,0.085841506,0.120944286,0.139486542,0.127057485,0.098335309,0.094764977
CD1C,0.403637851,0.218578788,0.419382039,0.467023254,0.164906737,0.858445699,0.192984854,0.490791133,0.428730643,0.180468222,0.141738324,0.31318919,0.425600013,0.554431356,0.524209247,0.605883712,0.593354121,0.876502018,0.325788535,0.728499415,0.370278913,0.375292939,1
CLEC10A,0.5621939,0.090695178,0.312757523,0.635290497,0.240559118,1,0.571217939,0.689584198,0.428651512,0.270231528,0.3751576,0.308683507,0.408320406,0.524857581,0.365807685,0.281270277,0.402968667,0.629426777,0.624204593,0.220389164,0.452556471,0.373374287,0.560810047
ITGAX,0.168520722,0.011493123,0.126044438,1,0.097562488,0.116796516,0.273297616,0.250477258,0.184111769,0.392891721,0.089309761,0.070163962,0.258108835,0.416643786,0.371948533,0.081882454,0.164161569,0.307239618,0.221385978,0.255790117,0.185206858,0.176034745,0.302974402
CEACAM8,0.526525369,0.523291618,0.287649573,0.48557776,0.214495592,0.229955759,0.419614878,1,0.489705761,0.305792437,0.178872933,0.589239496,0.418132069,0.979719021,0.478789739,0.436642827,0.5052511,0.517532066,0.723762068,0.42630942,0.590030232,0.417229651,0.481737072
ELANE,0.264665615,0.156353204,0.237681997,0.423703997,0.325042862,0.606382957,0.305016854,1,0.303512348,0.639491054,0.389599361,0.503750785,0.759678672,0.480735745,0.566829991,0.382680804,0.594983849,0.451377793,0.383966763,0.361034544,0.453429141,0.410109285,0.687912037
NCAM1,0.009924623,0.026501601,0.078277415,0.058719629,0.037887856,0.041501326,0.508748765,0.161625168,0.294044491,0.203508549,1,0.170038244,0.273514044,0.252364118,0.499489271,0.498469521,0.253168085,0.107584948,0.160647602,0.270688441,0.301947053,0.387239145,0.25763598
KLRC1/2,0.236505398,0.17745862,0.291676452,0.203610737,0.465152153,0.054304188,0.49259016,0.399508182,0.388785512,1,0.200375599,0.994073018,0.678031061,0.311641089,0.486523595,0.946085917,0.40966995,0.238627074,0.33800571,0.436062877,0.500580577,0.578170969,0.508226828
